Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Min(Orders.Ship Date),Sum(Orders.Profit),Sum(Orders.Quantity)
Central,Office Supplies,Art,5765.339999999998,2014-01-12T18:30:00.000Z,1195.1590999999994,678
East,Office Supplies,Art,7485.763999999997,2014-01-11T18:30:00.000Z,1899.944300000001,849
South,Office Supplies,Art,4655.622000000001,2014-01-06T18:30:00.000Z,1058.5865999999987,547
West,Office Supplies,Art,9212.066000000004,2014-01-17T18:30:00.000Z,2374.0969999999993,926
Central,Office Supplies,Paper,17491.90199999999,2014-01-06T18:30:00.000Z,6971.900499999996,1225
East,Office Supplies,Paper,20172.601999999988,2014-01-17T18:30:00.000Z,9015.370999999994,1400
South,Office Supplies,Paper,14166.535999999995,2014-01-09T18:30:00.000Z,5952.5045999999975,854
West,Office Supplies,Paper,26663.71799999999,2014-01-07T18:30:00.000Z,12119.236399999996,1702
Central,Office Supplies,Binders,56925.82599999997,2014-01-07T18:30:00.000Z,-1047.4529000000293,1476
East,Office Supplies,Binders,53497.99700000003,2014-01-17T18:30:00.000Z,11267.934599999993,1652
South,Office Supplies,Binders,37030.34100000003,2014-01-09T18:30:00.000Z,3900.664000000001,981
West,Office Supplies,Binders,56369.089000000014,2014-01-19T18:30:00.000Z,16229.393799999983,1871
Central,Office Supplies,Labels,2451.471999999999,2014-01-07T18:30:00.000Z,1073.0794,284
East,Office Supplies,Labels,2602.933999999999,2014-01-17T18:30:00.000Z,1129.2800000000002,420
South,Office Supplies,Labels,2353.1799999999994,2014-01-14T18:30:00.000Z,1040.7722999999999,216
West,Office Supplies,Labels,5078.726000000002,2014-03-29T18:30:00.000Z,2303.1222999999995,480
Central,Office Supplies,Storage,46595.99200000001,2014-01-07T18:30:00.000Z,1983.154099999998,730
East,Office Supplies,Storage,71612.584,2014-02-09T18:30:00.000Z,8389.371199999985,907
South,Office Supplies,Storage,35768.06,2014-01-14T18:30:00.000Z,2274.296499999999,488
West,Office Supplies,Storage,70532.85200000001,2014-01-17T18:30:00.000Z,8645.322199999995,1039
Central,Office Supplies,Fasteners,778.0300000000003,2014-01-26T18:30:00.000Z,236.61859999999993,227
East,Office Supplies,Fasteners,819.7179999999998,2014-03-15T18:30:00.000Z,263.9908,298
South,Office Supplies,Fasteners,503.31599999999986,2014-01-09T18:30:00.000Z,173.7181,126
West,Office Supplies,Fasteners,923.2160000000002,2014-02-05T18:30:00.000Z,275.1907,263
Central,Office Supplies,Envelopes,4636.872000000001,2014-03-31T18:30:00.000Z,1777.5282999999997,206
East,Office Supplies,Envelopes,4375.874,2014-03-07T18:30:00.000Z,1812.4089999999994,267
South,Office Supplies,Envelopes,3345.5560000000014,2014-01-14T18:30:00.000Z,1465.4769999999999,206
West,Office Supplies,Envelopes,4118.1,2014-01-19T18:30:00.000Z,1908.7623999999998,227
Central,Office Supplies,Appliances,23650.842999999997,2014-01-25T18:30:00.000Z,-2762.4755,475
East,Office Supplies,Appliances,34188.466,2014-05-01T18:30:00.000Z,8391.4134,474
South,Office Supplies,Appliances,19525.325999999997,2014-03-12T18:30:00.000Z,4123.939600000001,293
West,Office Supplies,Appliances,30236.335999999978,2014-01-20T18:30:00.000Z,8261.269900000001,492
Central,Office Supplies,Supplies,9467.372000000003,2014-09-18T18:30:00.000Z,-661.8881000000002,122
East,Office Supplies,Supplies,10760.115999999998,2014-03-07T18:30:00.000Z,-1155.1351999999997,195
South,Office Supplies,Supplies,8318.928,2014-04-08T18:30:00.000Z,1.877300000000048,92
West,Office Supplies,Supplies,18127.122,2014-02-17T18:30:00.000Z,626.0464999999994,238
Central,Furniture,Chairs,85230.64599999994,2014-02-14T18:30:00.000Z,6592.722100000003,615
East,Furniture,Chairs,96260.683,2014-03-31T18:30:00.000Z,9357.77059999999,676
South,Furniture,Chairs,45176.445999999974,2014-01-09T18:30:00.000Z,6612.0893000000015,331
West,Furniture,Chairs,101781.32799999994,2014-02-17T18:30:00.000Z,4027.584299999993,734
Central,Furniture,Furnishings,15254.369999999979,2014-01-11T18:30:00.000Z,-3906.2168000000006,758
East,Furniture,Furnishings,29071.37999999999,2014-01-13T18:30:00.000Z,5881.4071,1015
South,Furniture,Furnishings,17306.68400000001,2014-01-14T18:30:00.000Z,3442.6829000000007,615
West,Furniture,Furnishings,30072.72999999998,2014-01-24T18:30:00.000Z,7641.270400000003,1175
Central,Furniture,Bookcases,24157.176799999994,2014-01-28T18:30:00.000Z,-1997.9043000000006,192
East,Furniture,Bookcases,43819.33399999997,2014-01-14T18:30:00.000Z,-1167.6318000000008,252
South,Furniture,Bookcases,10899.361999999997,2014-08-09T18:30:00.000Z,1339.4917999999996,118
West,Furniture,Bookcases,36004.1235,2014-01-17T18:30:00.000Z,-1646.5117000000016,306
Central,Furniture,Tables,39154.97099999998,2014-03-06T18:30:00.000Z,-3559.6504000000027,262
East,Furniture,Tables,39139.80699999999,2014-03-20T18:30:00.000Z,-11025.380100000006,271
South,Furniture,Tables,43916.19199999999,2014-02-14T18:30:00.000Z,-4623.0579000000025,227
West,Furniture,Tables,84754.562,2014-02-01T18:30:00.000Z,1482.6072999999951,481
Central,Technology,Phones,72403.28199999996,2014-03-31T18:30:00.000Z,12323.026700000004,713
East,Technology,Phones,100614.98200000008,2014-01-17T18:30:00.000Z,12314.685999999994,982
South,Technology,Phones,58304.43799999998,2014-01-09T18:30:00.000Z,10767.275300000007,526
West,Technology,Phones,99595.77600000003,2014-03-25T18:30:00.000Z,9179.099400000003,1072
Central,Technology,Accessories,33956.07600000001,2014-01-12T18:30:00.000Z,7251.630600000004,716
East,Technology,Accessories,45033.37199999999,2014-02-11T18:30:00.000Z,11195.8644,724
South,Technology,Accessories,27276.753999999983,2014-01-14T18:30:00.000Z,7004.542399999999,504
West,Technology,Accessories,61114.11600000001,2014-02-17T18:30:00.000Z,16484.598299999994,1032
Central,Technology,Machines,26797.384,2014-03-16T18:30:00.000Z,-1486.0666000000037,66
East,Technology,Machines,66106.165,2014-06-22T18:30:00.000Z,6928.642899999998,165
South,Technology,Machines,53890.96,2014-03-22T18:30:00.000Z,-1438.8930000000028,62
West,Technology,Machines,42444.122,2014-03-23T18:30:00.000Z,-618.9264000000023,147
Central,Technology,Copiers,37259.57,2014-06-02T18:30:00.000Z,15608.841299999996,49
East,Technology,Copiers,53219.46199999999,2014-05-09T18:30:00.000Z,17022.841799999995,71
South,Technology,Copiers,9299.756000000001,2014-05-03T18:30:00.000Z,3658.9067,26
West,Technology,Copiers,49749.24199999999,2014-08-14T18:30:00.000Z,19327.235099999998,88
