Orders.Region,Orders.Category,Orders.Sub-Category,Min(Orders.Ship Date),Sum(Orders.Sales),Sum(Orders.Profit)
Central,Office Supplies,Art,2014-01-12T18:30:00.000Z,5765.339999999998,1195.1590999999994
East,Office Supplies,Art,2014-01-11T18:30:00.000Z,7485.763999999997,1899.944300000001
South,Office Supplies,Art,2014-01-06T18:30:00.000Z,4655.622000000001,1058.5865999999987
West,Office Supplies,Art,2014-01-17T18:30:00.000Z,9212.066000000004,2374.0969999999993
Central,Office Supplies,Paper,2014-01-06T18:30:00.000Z,17491.90199999999,6971.900499999996
East,Office Supplies,Paper,2014-01-17T18:30:00.000Z,20172.601999999988,9015.370999999994
South,Office Supplies,Paper,2014-01-09T18:30:00.000Z,14166.535999999995,5952.5045999999975
West,Office Supplies,Paper,2014-01-07T18:30:00.000Z,26663.71799999999,12119.236399999996
Central,Office Supplies,Binders,2014-01-07T18:30:00.000Z,56925.82599999997,-1047.4529000000293
East,Office Supplies,Binders,2014-01-17T18:30:00.000Z,53497.99700000003,11267.934599999993
South,Office Supplies,Binders,2014-01-09T18:30:00.000Z,37030.34100000003,3900.664000000001
West,Office Supplies,Binders,2014-01-19T18:30:00.000Z,56369.089000000014,16229.393799999983
Central,Office Supplies,Labels,2014-01-07T18:30:00.000Z,2451.471999999999,1073.0794
East,Office Supplies,Labels,2014-01-17T18:30:00.000Z,2602.933999999999,1129.2800000000002
South,Office Supplies,Labels,2014-01-14T18:30:00.000Z,2353.1799999999994,1040.7722999999999
West,Office Supplies,Labels,2014-03-29T18:30:00.000Z,5078.726000000002,2303.1222999999995
Central,Office Supplies,Storage,2014-01-07T18:30:00.000Z,46595.99200000001,1983.154099999998
East,Office Supplies,Storage,2014-02-09T18:30:00.000Z,71612.584,8389.371199999985
South,Office Supplies,Storage,2014-01-14T18:30:00.000Z,35768.06,2274.296499999999
West,Office Supplies,Storage,2014-01-17T18:30:00.000Z,70532.85200000001,8645.322199999995
Central,Office Supplies,Fasteners,2014-01-26T18:30:00.000Z,778.0300000000003,236.61859999999993
East,Office Supplies,Fasteners,2014-03-15T18:30:00.000Z,819.7179999999998,263.9908
South,Office Supplies,Fasteners,2014-01-09T18:30:00.000Z,503.31599999999986,173.7181
