Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount)
Central,Technology,Copiers,49,15608.841299999996,1.7999999999999998
East,Technology,Copiers,71,17022.841799999995,5
South,Technology,Copiers,26,3658.9067,0.6000000000000001
West,Technology,Copiers,88,19327.235099999998,3.600000000000001
Central,Technology,Phones,713,12323.026700000004,24.399999999999988
East,Technology,Phones,982,12314.685999999994,43.59999999999991
South,Technology,Phones,526,10767.275300000007,14.000000000000002
West,Technology,Phones,1072,9179.099400000003,55.60000000000029
Central,Technology,Accessories,716,7251.630600000004,22.799999999999994
East,Technology,Accessories,724,11195.8644,17.600000000000005
South,Technology,Accessories,504,7004.542399999999,10.999999999999998
West,Technology,Accessories,1032,16484.598299999994,9.399999999999999
Central,Technology,Machines,66,-1486.0666000000037,6.8999999999999995
East,Technology,Machines,165,6928.642899999998,10.499999999999998
South,Technology,Machines,62,-1438.8930000000028,6
West,Technology,Machines,147,-618.9264000000023,11.799999999999999
Central,Office Supplies,Paper,1225,6971.900499999996,41.40000000000002
East,Office Supplies,Paper,1400,9015.370999999994,24.399999999999995
South,Office Supplies,Paper,854,5952.5045999999975,22.799999999999997
West,Office Supplies,Paper,1702,12119.236399999996,14.2
Central,Office Supplies,Binders,1476,-1047.4529000000293,187.20000000000007
East,Office Supplies,Binders,1652,11267.934599999993,155.49999999999983
South,Office Supplies,Binders,981,3900.664000000001,92.4
West,Office Supplies,Binders,1871,16229.393799999983,132.89999999999978
Central,Office Supplies,Storage,730,1983.154099999998,25.999999999999996
East,Office Supplies,Storage,907,8389.371199999985,17.200000000000003
South,Office Supplies,Storage,488,2274.296499999999,11.8
West,Office Supplies,Storage,1039,8645.322199999995,8.2
Central,Office Supplies,Appliances,475,-2762.4755,55.99999999999994
East,Office Supplies,Appliances,474,8391.4134,9.200000000000003
South,Office Supplies,Appliances,293,4123.939600000001,9
West,Office Supplies,Appliances,492,8261.269900000001,4.200000000000001
Central,Office Supplies,Envelopes,206,1777.5282999999997,7.600000000000001
East,Office Supplies,Envelopes,267,1812.4089999999994,6.000000000000001
South,Office Supplies,Envelopes,206,1465.4769999999999,4.000000000000001
West,Office Supplies,Envelopes,227,1908.7623999999998,2.8000000000000003
Central,Office Supplies,Art,678,1195.1590999999994,21.599999999999998
East,Office Supplies,Art,849,1899.944300000001,15.799999999999999
South,Office Supplies,Art,547,1058.5865999999987,14.399999999999999
West,Office Supplies,Art,926,2374.0969999999993,7.800000000000001
Central,Office Supplies,Labels,284,1073.0794,8.600000000000001
East,Office Supplies,Labels,420,1129.2800000000002,7.200000000000002
South,Office Supplies,Labels,216,1040.7722999999999,7.0000000000000036
West,Office Supplies,Labels,480,2303.1222999999995,2.1999999999999997
Central,Office Supplies,Fasteners,227,236.61859999999993,7.400000000000002
East,Office Supplies,Fasteners,298,263.9908,5.6000000000000005
South,Office Supplies,Fasteners,126,173.7181,2.4
West,Office Supplies,Fasteners,263,275.1907,2.4
Central,Office Supplies,Supplies,122,-661.8881000000002,5.200000000000001
East,Office Supplies,Supplies,195,-1155.1351999999997,3.8000000000000007
South,Office Supplies,Supplies,92,1.877300000000048,3.0000000000000004
West,Office Supplies,Supplies,238,626.0464999999994,2.6
Central,Furniture,Chairs,615,6592.722100000003,29.70000000000005
East,Furniture,Chairs,676,9357.77059999999,25.300000000000054
South,Furniture,Chairs,331,6612.0893000000015,8.599999999999998
West,Furniture,Chairs,734,4027.584299999993,41.400000000000084
Central,Furniture,Furnishings,758,-3906.2168000000006,82.79999999999993
East,Furniture,Furnishings,1015,5881.4071,21.999999999999993
South,Furniture,Furnishings,615,3442.6829000000007,17.6
West,Furniture,Furnishings,1175,7641.270400000003,9.999999999999996
Central,Furniture,Bookcases,192,-1997.9043000000006,11.640000000000008
East,Furniture,Bookcases,252,-1167.6318000000008,15.4
South,Furniture,Bookcases,118,1339.4917999999996,2.8000000000000003
West,Furniture,Bookcases,306,-1646.5117000000016,18.3
Central,Furniture,Tables,262,-3559.6504000000027,18.900000000000016
East,Furniture,Tables,271,-11025.380100000006,29.89999999999998
South,Furniture,Tables,227,-4623.0579000000025,11.350000000000001
West,Furniture,Tables,481,1482.6072999999951,23.19999999999998
