Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales)
Consumer,Central,Technology,Phones,356,6416.019599999998,12.999999999999986,37108.786
Corporate,Central,Technology,Phones,210,2391.279699999999,7.200000000000004,17180.796
Home Office,Central,Technology,Phones,147,3515.7274,4.200000000000001,18113.700000000004
Consumer,East,Technology,Phones,514,7328.253600000009,21.999999999999986,51512.03800000001
Corporate,East,Technology,Phones,304,3129.618299999998,13.200000000000006,29865.617999999995
Home Office,East,Technology,Phones,164,1856.8140999999991,8.400000000000002,19237.325999999997
Consumer,South,Technology,Phones,269,5623.9118,6.600000000000003,30846.203999999987
Corporate,South,Technology,Phones,164,3680.2120000000004,5.000000000000002,19274.232000000004
Home Office,South,Technology,Phones,93,1463.1515,2.4,8184.001999999999
Consumer,West,Technology,Phones,550,4537.286500000002,27.799999999999933,51377.15999999996
Corporate,West,Technology,Phones,325,2565.1096000000002,17.59999999999997,24832.767999999993
Home Office,West,Technology,Phones,197,2076.7033,10.199999999999996,23385.848
Consumer,Central,Technology,Machines,28,-1667.0280000000023,2.6999999999999997,11999.761999999999
Corporate,Central,Technology,Machines,23,-361.50440000000134,2.5,11716.734
Home Office,Central,Technology,Machines,15,542.4658,1.7000000000000002,3080.888
Consumer,East,Technology,Machines,77,-1296.0850000000019,6.300000000000001,30668.429
Corporate,East,Technology,Machines,63,2624.602299999999,4.2,23892.036
Home Office,East,Technology,Machines,25,5600.125599999999,0,11545.7
Consumer,South,Technology,Machines,36,2910.558799999999,3,18338.550000000003
Corporate,South,Technology,Machines,15,-2520.117899999999,1.5,12001.155
Home Office,South,Technology,Machines,11,-1829.3339000000021,1.5,23551.254999999997
Consumer,West,Technology,Machines,76,2193.6159999999986,4.800000000000001,18536.084000000003
Corporate,West,Technology,Machines,40,960.0389999999996,3.9000000000000004,12666.83
Home Office,West,Technology,Machines,31,-3772.581400000002,3.0999999999999996,11241.208000000002
Consumer,Central,Technology,Accessories,392,3743.385899999999,13.199999999999985,19062.304
Corporate,Central,Technology,Accessories,195,1462.9337000000003,5.600000000000002,6195.237999999998
Home Office,Central,Technology,Accessories,129,2045.3110000000001,4.000000000000001,8698.534
Consumer,East,Technology,Accessories,354,5240.078300000003,9.999999999999996,22861.055999999993
Corporate,East,Technology,Accessories,222,2933.5910999999996,4.800000000000002,11747.998
Home Office,East,Technology,Accessories,148,3022.1949999999997,2.8000000000000003,10424.318000000001
Consumer,South,Technology,Accessories,265,2788.307200000002,6.600000000000003,11651.563999999993
Corporate,South,Technology,Accessories,129,3085.477699999999,1.9999999999999998,10175.455999999998
Home Office,South,Technology,Accessories,110,1130.7574999999997,2.4,5449.734
Consumer,West,Technology,Accessories,567,8964.151100000001,5.200000000000002,33530.314000000006
Corporate,West,Technology,Accessories,335,5225.477999999999,2.6,20071.872
Home Office,West,Technology,Accessories,130,2294.9692000000005,1.5999999999999999,7511.93
Consumer,Central,Technology,Copiers,14,1482.9615999999999,0.6000000000000001,4519.884
Corporate,Central,Technology,Copiers,29,12789.904299999998,1,29679.741999999995
Home Office,Central,Technology,Copiers,6,1335.9754,0.2,3059.944
Consumer,East,Technology,Copiers,43,8657.932499999999,3.5999999999999996,30399.706
Corporate,East,Technology,Copiers,11,1134.9764999999998,1,4219.914
Home Office,East,Technology,Copiers,17,7229.932799999999,0.4,18599.842
Consumer,South,Technology,Copiers,14,1783.9451999999999,0.4,4439.868
Corporate,South,Technology,Copiers,12,1874.9615000000001,0.2,4859.888
Home Office,South,Technology,Copiers,,,,
Consumer,West,Technology,Copiers,46,12158.871299999999,2.1999999999999997,30459.611999999997
Corporate,West,Technology,Copiers,18,3190.4365999999995,0.8,8069.842000000001
Home Office,West,Technology,Copiers,24,3977.9271999999996,0.6000000000000001,11219.788
Consumer,Central,Furniture,Chairs,307,2920.9012999999986,16.200000000000017,42933.374999999985
