Table5.Year,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC),Sum(Table5.BU),Min(Table5.City),Table5.Region,Table5.Country
2017,293000,350000,404000,359000,362000,California,Americas,USA
2018,341000,133000,242000,275000,317000,California,Americas,USA
2019,286000,259000,392000,321000,208000,California,Americas,USA
2017,297000,381000,280000,233000,379000,Manaus,Americas,Brazil
2018,-44000,273000,160000,280000,323000,Manaus,Americas,Brazil
2019,238000,309000,242000,367000,276000,Manaus,Americas,Brazil
2017,208000,249000,314000,239000,242000,Montreal,Americas,Canada
2018,-18000,166000,251000,279000,237000,Montreal,Americas,Canada
2019,232000,229000,291000,236000,277000,Montreal,Americas,Canada
2017,111000,38000,79000,97000,133000,Chicago,Americas,Other
2018,93000,,147000,67000,56000,Chicago,Americas,Other
2019,85000,37000,113000,125000,77000,Chicago,Americas,Other
2017,0,172000,208000,103000,144000,Lublin,Europe,Poland
2018,182000,173000,221000,180000,136000,Lublin,Europe,Poland
2019,272000,173000,171000,239000,228000,Lublin,Europe,Poland
2017,276000,405000,137000,176000,328000,Gothenburg,Europe,Sweden
2018,345000,247000,325000,,180000,Gothenburg,Europe,Sweden
2019,319000,246000,215000,340000,298000,Gothenburg,Europe,Sweden
2017,118000,192000,251000,88000,176000,Brussels,Europe,Belgium
2018,173000,235000,211000,198000,147000,Brussels,Europe,Belgium
2019,240000,113000,191000,227000,203000,Brussels,Europe,Belgium
2017,0,260000,207000,107000,194000,Berlin,Europe,Germany
2018,100000,126000,84000,91000,118000,Berlin,Europe,Germany
2019,190000,232000,116000,219000,199000,Berlin,Europe,Germany
2017,196000,199000,191000,118000,221000,Marseille,Europe,France
2018,0,0,170000,0,153000,Marseille,Europe,France
2019,152000,158000,142000,175000,242000,Marseille,Europe,France
2017,77000,64000,77000,142000,122000,Finland,Europe,Other
2018,0,131000,129000,41000,120000,Finland,Europe,Other
2019,50000,45000,102000,83000,74000,Finland,Europe,Other
2017,329000,282000,347000,304000,316000,Brisbane,Asia-Pacific,Australia
2018,180000,310000,295000,335000,300000,Brisbane,Asia-Pacific,Australia
2019,217000,139000,269000,80000,390000,Brisbane,Asia-Pacific,Australia
2017,264000,232000,254000,206000,306000,Hiroshima,Asia-Pacific,Japan
2018,187000,265000,410000,249000,408000,Hiroshima,Asia-Pacific,Japan
2019,279000,300000,221000,229000,315000,Hiroshima,Asia-Pacific,Japan
2017,308000,294000,311000,244000,317000,Beijing,Asia-Pacific,China
2018,318000,237000,413000,287000,290000,Beijing,Asia-Pacific,China
2019,321000,295000,256000,145000,305000,Beijing,Asia-Pacific,China
2017,134000,111000,118000,50000,93000,Seoul,Asia-Pacific,Other
2018,78000,52000,55000,78000,130000,Seoul,Asia-Pacific,Other
2019,66000,41000,87000,69000,95000,Seoul,Asia-Pacific,Other
