Orders.Segment,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Profit),Sum(Orders.Sales)
Consumer,2014,Qtr 1,1860.3705,21964.975
Corporate,2014,Qtr 1,941.2655,13991.995
Home Office,2014,Qtr 1,1009.593,38490.826
Consumer,2014,Qtr 2,5340.7592,47851.5226
Corporate,2014,Qtr 2,3523.899,27244.643
Home Office,2014,Qtr 2,2339.411,11442.594
Consumer,2014,Qtr 3,8242.5939,96103.6535
Corporate,2014,Qtr 3,2606.0886,32992.507
Home Office,2014,Qtr 3,1956.0393,14537.0518
Consumer,2014,Qtr 4,8876.1268,100176.6615
Corporate,2014,Qtr 4,6442.0238,54205.7287
Home Office,2014,Qtr 4,6405.8035,25245.34
Consumer,2015,Qtr 1,5450.5404,40962.8916
Corporate,2015,Qtr 1,3530.9729,22279.7394
Home Office,2015,Qtr 1,283.4283,5609.1076
Consumer,2015,Qtr 2,8017.5665,56330.0885
Corporate,2015,Qtr 2,1759.4975,18980.0725
Home Office,2015,Qtr 2,2413.8584,13814.026
Consumer,2015,Qtr 3,9117.991,79398.921
Corporate,2015,Qtr 3,5369.1978,35252.0202
Home Office,2015,Qtr 3,2366.4306,15608.634
Consumer,2015,Qtr 4,5874.0686,89844.0322
Corporate,2015,Qtr 4,10028.6566,52245.4748
Home Office,2015,Qtr 4,7406.3951,40207.5012
Consumer,2016,Qtr 1,6247.2035,46671.867
Corporate,2016,Qtr 1,1630.4084,26578.481
Home Office,2016,Qtr 1,3563.7589,19986.833
Consumer,2016,Qtr 2,6842.6389,70138.694
Corporate,2016,Qtr 2,7199.1363,42418.128
Home Office,2016,Qtr 2,2348.5642,23525.479
Consumer,2016,Qtr 3,10904.2306,79165.2044
Corporate,2016,Qtr 3,3374.75,43915.2018
Home Office,2016,Qtr 3,1544.6242,20706.956
Consumer,2016,Qtr 4,11776.8802,100888.1338
Corporate,2016,Qtr 4,18790.8743,94194.551
Home Office,2016,Qtr 4,7572.1048,41016.069
Consumer,2017,Qtr 1,14375.3701,63842.44
Corporate,2017,Qtr 1,5596.5894,36755.1128
Home Office,2017,Qtr 1,3534.2431,22547.3074
Consumer,2017,Qtr 2,6317.0539,50367.7791
Corporate,2017,Qtr 2,7344.0986,48737.8894
Home Office,2017,Qtr 2,1838.056,34658.7035
Consumer,2017,Qtr 3,10442.3301,94477.72
Corporate,2017,Qtr 3,11096.5999,66309.146
Home Office,2017,Qtr 3,5446.2025,35465.09
Consumer,2017,Qtr 4,14433.485,123216.7608
Corporate,2017,Qtr 4,2745.0754,90045.6762
Home Office,2017,Qtr 4,10270.1656,66791.63
