Orders.Region,CountNonNull(Orders.Postal Code),Sum(Orders.Sales),Orders.Category,Orders.Sub-Category
Central,200,72403.282,Technology,Phones
East,272,100614.9820000001,Technology,Phones
South,140,58304.437999999995,Technology,Phones
Central,21,26797.384,Technology,Machines
East,37,66106.165,Technology,Machines
South,18,53890.95999999999,Technology,Machines
Central,183,33956.076,Technology,Accessories
East,206,45033.371999999974,Technology,Accessories
South,128,27276.753999999994,Technology,Accessories
Central,16,37259.56999999999,Technology,Copiers
East,20,53219.46200000001,Technology,Copiers
South,7,9299.756,Technology,Copiers
Central,154,85230.64599999994,Furniture,Chairs
East,168,96260.683,Furniture,Chairs
South,88,45176.44599999998,Furniture,Chairs
Central,72,39154.97100000002,Furniture,Tables
East,80,39139.80700000001,Furniture,Tables
South,51,43916.192,Furniture,Tables
Central,50,24157.176799999994,Furniture,Bookcases
East,70,43819.33399999998,Furniture,Bookcases
South,28,10899.362,Furniture,Bookcases
Central,205,15254.369999999977,Furniture,Furnishings
East,283,29071.37999999999,Furniture,Furnishings
South,165,17306.684,Furniture,Furnishings
Central,210,45930.111999999994,Office Supplies,Storage
East,242,71612.58400000003,Office Supplies,Storage
South,128,35768.059999999976,Office Supplies,Storage
Central,366,56923.28199999998,Office Supplies,Binders
East,440,53497.99699999999,Office Supplies,Binders
South,246,37030.34100000001,Office Supplies,Binders
Central,123,23582.03299999998,Office Supplies,Appliances
East,126,34188.46599999999,Office Supplies,Appliances
South,81,19525.325999999997,Office Supplies,Appliances
Central,321,17491.902000000002,Office Supplies,Paper
East,378,20172.60199999997,Office Supplies,Paper
South,221,14150.983999999997,Office Supplies,Paper
Central,36,9467.372,Office Supplies,Supplies
East,56,10760.116,Office Supplies,Supplies
South,29,8318.928,Office Supplies,Supplies
Central,176,5765.339999999999,Office Supplies,Art
East,228,7485.7639999999965,Office Supplies,Art
South,142,4655.622000000002,Office Supplies,Art
Central,59,4636.872,Office Supplies,Envelopes
East,74,4375.874,Office Supplies,Envelopes
South,54,3345.5560000000014,Office Supplies,Envelopes
Central,76,2451.472,Office Supplies,Labels
East,107,2602.9339999999997,Office Supplies,Labels
South,65,2353.1799999999994,Office Supplies,Labels
Central,55,778.0300000000002,Office Supplies,Fasteners
East,61,819.7179999999998,Office Supplies,Fasteners
South,29,503.31599999999986,Office Supplies,Fasteners
