Orders.Ship Mode,Orders.Region,Orders.Category,Orders.Sub-Category,CountNonNull(Orders.Row ID),Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales)
First Class,Central,Technology,Copiers,1,107.99459999999999,2,319.98400000000004
Same Day,Central,Technology,Copiers,2,545.9874,4,1559.964
Second Class,Central,Technology,Copiers,2,614.988,3,1439.972
Standard Class,Central,Technology,Copiers,11,14339.871299999999,40,33939.65
First Class,East,Technology,Copiers,5,4596.978099999999,16,15839.894
Same Day,East,Technology,Copiers,1,249.99499999999998,2,799.984
Second Class,East,Technology,Copiers,3,1189.9764,10,3859.924
Standard Class,East,Technology,Copiers,11,10985.892299999996,43,32719.66
First Class,South,Technology,Copiers,,,,
Same Day,South,Technology,Copiers,,,,
Second Class,South,Technology,Copiers,3,2159.964,9,4879.914000000001
Standard Class,South,Technology,Copiers,4,1498.9426999999998,17,4419.842000000001
First Class,West,Technology,Copiers,6,10093.4066,27,23209.752
Same Day,West,Technology,Copiers,2,1784.9724999999999,10,5199.92
Second Class,West,Technology,Copiers,7,2918.9419,22,8719.818000000001
Standard Class,West,Technology,Copiers,10,4529.9141,29,12619.752
First Class,Central,Technology,Phones,34,1587.7695999999992,124,11287.178
Same Day,Central,Technology,Phones,6,367.23620000000005,19,1657.158
Second Class,Central,Technology,Phones,44,2706.497,166,17866.838000000003
Standard Class,Central,Technology,Phones,116,7661.523899999998,404,41592.107999999986
First Class,East,Technology,Phones,44,4481.6808,153,18921.364000000005
Same Day,East,Technology,Phones,14,533.4440000000001,40,5544.956
Second Class,East,Technology,Phones,47,1498.4037999999991,179,14998.749999999996
Standard Class,East,Technology,Phones,167,5801.1574000000055,610,61149.91200000003
First Class,South,Technology,Phones,18,761.7654999999997,59,5079.565999999999
Same Day,South,Technology,Phones,10,488.76430000000005,42,4573.626
Second Class,South,Technology,Phones,30,2607.6603999999993,106,14151.904
Standard Class,South,Technology,Phones,82,6909.0850999999975,319,34499.34199999999
First Class,West,Technology,Phones,42,1569.0541000000007,165,18327.76
Same Day,West,Technology,Phones,12,395.03009999999983,42,4212.496
Second Class,West,Technology,Phones,54,1565.074199999999,207,16237.736
Standard Class,West,Technology,Phones,169,5581.584200000003,654,59906.35999999995
First Class,Central,Technology,Accessories,24,906.2976999999998,98,3077.032
Same Day,Central,Technology,Accessories,9,410.3422999999999,29,2327.298
Second Class,Central,Technology,Accessories,47,1863.0186999999999,198,10479.798
Standard Class,Central,Technology,Accessories,103,4071.9718999999986,391,18071.947999999993
First Class,East,Technology,Accessories,34,1674.8675999999996,117,7745.506000000001
Same Day,East,Technology,Accessories,10,1206.9487,49,4731.130000000001
Second Class,East,Technology,Accessories,43,2339.0010999999995,152,9996.716000000004
Standard Class,East,Technology,Accessories,119,5975.0470000000005,406,22560.01999999999
First Class,South,Technology,Accessories,19,856.1868,74,2581.2520000000004
Same Day,South,Technology,Accessories,7,295.9258,25,1228.3339999999998
Second Class,South,Technology,Accessories,25,2372.7349000000004,102,8377.2
Standard Class,South,Technology,Accessories,77,3479.6949000000004,303,15089.967999999997
First Class,West,Technology,Accessories,51,2470.061,172,8822.902
Same Day,West,Technology,Accessories,15,1953.4742,63,5490.4619999999995
Second Class,West,Technology,Accessories,47,2158.9160999999995,177,8719.271999999997
Standard Class,West,Technology,Accessories,145,9902.146999999997,620,38081.48000000002
First Class,Central,Technology,Machines,2,836.0429999999997,4,3634.892
Same Day,Central,Technology,Machines,1,8.99939999999998,2,209.986
Second Class,Central,Technology,Machines,7,-589.0237000000008,22,8269.021
Standard Class,Central,Technology,Machines,11,-1742.0853000000027,38,14683.484999999997
