Orders.Region,Orders.Category,Sum(Orders.Profit),Sum(Orders.Quantity),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Min(Orders.City)
Central,Technology,33697.431999999986,1544,420,170416.3119999999,Allen
East,Technology,47462.03509999992,1942,535,264973.981,Akron
South,Technology,19991.831400000003,1118,293,148771.90799999997,Alexandria
West,Technology,44303.649599999946,2335,599,251991.83199999962,Albuquerque
Central,Furniture,-2871.04940000001,1827,481,163797.16379999998,Allen
East,Furniture,3046.1658000000093,2214,601,208291.20400000006,Akron
South,Furniture,6771.206099999998,1291,332,117298.68399999996,Alexandria
West,Furniture,11504.950299999988,2696,707,252612.7435000004,Anaheim
Central,Office Supplies,8879.979899999986,5409,1422,167026.41500000015,Aberdeen
East,Office Supplies,41014.57910000001,6462,1712,205516.05499999988,Akron
South,Office Supplies,19986.39280000002,3800,995,125651.31299999994,Alexandria
West,Office Supplies,52609.849,7235,1897,220853.24899999998,Albuquerque
