With Actual budget.Period_MON,With Actual budget.Product,With Actual budget.Account,Sum(With Actual budget.Additional 3),Sum(With Actual budget.Additional 2)
APR,Tea & Coffee,Gross Sales,36928129.739999995,73856259.47999999
AUG,Tea & Coffee,Gross Sales,70044243.21,140088486.42
DEC,Tea & Coffee,Gross Sales,45969675.33,91939350.66
FEB,Tea & Coffee,Gross Sales,70044243.21,140088486.42
JAN,Tea & Coffee,Gross Sales,57492179.879999995,114984359.75999999
APR,Tea & Coffee,Raw Materials,8570342.484,17140684.968
AUG,Tea & Coffee,Raw Materials,20170143.984,40340287.968
DEC,Tea & Coffee,Raw Materials,20754485.136,41508970.272
FEB,Tea & Coffee,Raw Materials,20170143.984,40340287.968
JAN,Tea & Coffee,Raw Materials,15565283.297999999,31130566.595999997
APR,Tea & Coffee,Labor,4614799.794,9229599.588
AUG,Tea & Coffee,Labor,10860846.764999999,21721693.529999997
DEC,Tea & Coffee,Labor,11175491.990999999,22350983.981999997
FEB,Tea & Coffee,Labor,10860846.764999999,21721693.529999997
JAN,Tea & Coffee,Labor,8381306.393999999,16762612.787999999
APR,Tea & Coffee,Pricing Adjustments,1371014.9789999998,2742029.9579999996
AUG,Tea & Coffee,Pricing Adjustments,3843092.7119999994,7686185.423999999
DEC,Tea & Coffee,Pricing Adjustments,21560067.558,43120135.116
FEB,Tea & Coffee,Pricing Adjustments,3843092.7119999994,7686185.423999999
JAN,Tea & Coffee,Pricing Adjustments,2703388.596,5406777.192
APR,Tea & Coffee,Sales Discounts - Other,405393.519,810787.038
AUG,Tea & Coffee,Sales Discounts - Other,2084561.7119999998,4169123.4239999996
DEC,Tea & Coffee,Sales Discounts - Other,824620.863,1649241.726
FEB,Tea & Coffee,Sales Discounts - Other,2084561.7119999998,4169123.4239999996
JAN,Tea & Coffee,Sales Discounts - Other,597241.7699999999,1194483.5399999998
APR,Tea & Coffee,Sales Markdowns,5325.216,10650.432
AUG,Tea & Coffee,Sales Markdowns,1238082.768,2476165.536
DEC,Tea & Coffee,Sales Markdowns,75646.43999999999,151292.87999999998
FEB,Tea & Coffee,Sales Markdowns,1238082.768,2476165.536
JAN,Tea & Coffee,Sales Markdowns,394531.01999999996,789062.0399999999
APR,Tea & Coffee,Sale Allowances,515151.94499999995,1030303.8899999999
AUG,Tea & Coffee,Sale Allowances,235145.748,470291.496
DEC,Tea & Coffee,Sale Allowances,718931.055,1437862.11
FEB,Tea & Coffee,Sale Allowances,235145.748,470291.496
JAN,Tea & Coffee,Sale Allowances,1073039.784,2146079.568
APR,Tea & Coffee,Merchandise Returns,355452.816,710905.632
AUG,Tea & Coffee,Merchandise Returns,395475.42899999995,790950.8579999999
DEC,Tea & Coffee,Merchandise Returns,451271.169,902542.338
FEB,Tea & Coffee,Merchandise Returns,395475.42899999995,790950.8579999999
JAN,Tea & Coffee,Merchandise Returns,438339.222,876678.444
APR,Tea & Coffee,Purchase Price Variance,346214.184,692428.368
AUG,Tea & Coffee,Purchase Price Variance,-180951.82499999998,-361903.64999999997
DEC,Tea & Coffee,Purchase Price Variance,1006838.1749999999,2013676.3499999999
FEB,Tea & Coffee,Purchase Price Variance,-180951.82499999998,-361903.64999999997
JAN,Tea & Coffee,Purchase Price Variance,239309.49,478618.98
APR,Tea & Coffee,Freight,71567.337,143134.674
AUG,Tea & Coffee,Freight,77231.046,154462.092
DEC,Tea & Coffee,Freight,42381.32399999999,84762.64799999999
FEB,Tea & Coffee,Freight,77231.046,154462.092
JAN,Tea & Coffee,Freight,35368.767,70737.534
APR,Tea & Coffee,Other Direct Costs,30671.715,61343.43
AUG,Tea & Coffee,Other Direct Costs,33099.021,66198.042
DEC,Tea & Coffee,Other Direct Costs,18163.422,36326.844
FEB,Tea & Coffee,Other Direct Costs,33099.021,66198.042
JAN,Tea & Coffee,Other Direct Costs,15158.04,30316.08
APR,Sparking Water,Gross Sales,19387083.033,38774166.066
AUG,Sparking Water,Gross Sales,36128629.379999995,72257258.75999999
DEC,Sparking Water,Gross Sales,29615775.201,59231550.402
FEB,Sparking Water,Gross Sales,36128629.379999995,72257258.75999999
JAN,Sparking Water,Gross Sales,29242843.143,58485686.286
APR,Sparking Water,Raw Materials,3918254.025,7836508.05
AUG,Sparking Water,Raw Materials,9354045.87,18708091.74
DEC,Sparking Water,Raw Materials,9214838.967,18429677.934
FEB,Sparking Water,Raw Materials,9354045.87,18708091.74
JAN,Sparking Water,Raw Materials,7813593.173999999,15627186.347999997
APR,Sparking Water,Labor,2109829.086,4219658.172
AUG,Sparking Water,Labor,5036793.932999999,10073587.865999999
DEC,Sparking Water,Labor,4961820.21,9923640.42
FEB,Sparking Water,Labor,5036793.932999999,10073587.865999999
JAN,Sparking Water,Labor,4207319.403,8414638.806
APR,Sparking Water,Pricing Adjustments,704278.0499999999,1408556.0999999999
AUG,Sparking Water,Pricing Adjustments,1891986.4559999998,3783972.9119999995
DEC,Sparking Water,Pricing Adjustments,1975075.704,3950151.408
FEB,Sparking Water,Pricing Adjustments,1891986.4559999998,3783972.9119999995
JAN,Sparking Water,Pricing Adjustments,1470078.1739999999,2940156.3479999998
APR,Sparking Water,Sales Discounts - Other,259292.169,518584.338
AUG,Sparking Water,Sales Discounts - Other,1162064.841,2324129.682
DEC,Sparking Water,Sales Discounts - Other,667532.223,1335064.446
FEB,Sparking Water,Sales Discounts - Other,1162064.841,2324129.682
JAN,Sparking Water,Sales Discounts - Other,576675.183,1153350.366
APR,Sparking Water,Sale Allowances,304548.489,609096.978
AUG,Sparking Water,Sale Allowances,178987.07099999997,357974.14199999993
DEC,Sparking Water,Sale Allowances,480615.9419999999,961231.8839999998
FEB,Sparking Water,Sale Allowances,178987.07099999997,357974.14199999993
JAN,Sparking Water,Sale Allowances,585802.215,1171604.43
APR,Sparking Water,Sales Markdowns,2444.364,4888.728
AUG,Sparking Water,Sales Markdowns,510500.31899999996,1021000.6379999999
DEC,Sparking Water,Sales Markdowns,32599.164,65198.328
FEB,Sparking Water,Sales Markdowns,510500.31899999996,1021000.6379999999
JAN,Sparking Water,Sales Markdowns,182284.77300000002,364569.54600000003
