With Actual budget.Period_MON,With Actual budget.Product,With Actual budget.Account,Sum(With Actual budget.Additional 2),Sum(With Actual budget.Additional 1)
APR,Not assigned,Other Expenses,38244658.356,63741097
AUG,Not assigned,Other Expenses,27253161.498,45421936
DEC,Not assigned,Other Expenses,20392176.191999998,33986960
NOV,Not assigned,Other Expenses,16931281.116,28218802
APR,Not assigned,Wages,17343014.597999997,28905024
AUG,Not assigned,Wages,13471090.962,22451818
DEC,Not assigned,Wages,12985969.877999999,21643283
NOV,Not assigned,Wages,13075408.661999999,21792348
APR,Not assigned,Benefits,14181543.707999999,23635906
AUG,Not assigned,Benefits,10960914.81,18268191
DEC,Not assigned,Benefits,12438065.334,20730109
NOV,Not assigned,Benefits,12843177.288,21405295
APR,Not assigned,Salaries,11724957.114,19541595
AUG,Not assigned,Salaries,9457606.362,15762677
DEC,Not assigned,Salaries,9949482.719999999,16582471
NOV,Not assigned,Salaries,9296467.104,15494112
APR,Not assigned,Bonus,8831925.923999999,14719877
AUG,Not assigned,Bonus,7024247.664,11707079
DEC,Not assigned,Bonus,7781609.856,12969350
NOV,Not assigned,Bonus,8091314.771999999,13485525
APR,Not assigned,IT Expenses,6479353.115999999,10798922
AUG,Not assigned,IT Expenses,8464551.095999999,14107585
DEC,Not assigned,IT Expenses,8573729.988,14289550
NOV,Not assigned,IT Expenses,7241027.01,12068378
APR,Not assigned,Marketing Expenses,6712892.424,11188154
AUG,Not assigned,Marketing Expenses,6509415.576,10849026
DEC,Not assigned,Marketing Expenses,5723016.588,9538361
NOV,Not assigned,Marketing Expenses,5672439.882,9454066
APR,Not assigned,Training,2314430.094,3857383
AUG,Not assigned,Training,1847888.1779999998,3079814
DEC,Not assigned,Training,2049529.8299999998,3415883
NOV,Not assigned,Training,2155349.484,3592249
APR,Not assigned,Equipment,1729244.064,2882073
AUG,Not assigned,Equipment,1397148.99,2328582
DEC,Not assigned,Equipment,1598459.496,2664099
NOV,Not assigned,Equipment,1637455.848,2729093
APR,Not assigned,Computer,1182521.3939999999,1970869
AUG,Not assigned,Computer,933191.088,1555318
DEC,Not assigned,Computer,1070932.656,1784888
NOV,Not assigned,Computer,1081003.638,1801673
APR,Not assigned,Sales Expenses,672251.574,1120419
AUG,Not assigned,Sales Expenses,497071.93799999997,828453
DEC,Not assigned,Sales Expenses,669308.07,1115513
NOV,Not assigned,Sales Expenses,597748.7999999999,996248
APR,Not assigned,Recruiting,593544.8219999999,989241
AUG,Not assigned,Recruiting,452987.388,754979
DEC,Not assigned,Recruiting,515350.41599999997,858917
NOV,Not assigned,Recruiting,535734.222,892890
APR,Not assigned,Tuition,285484.89,475808
AUG,Not assigned,Tuition,229665.912,382777
DEC,Not assigned,Tuition,261453.55199999997,435756
NOV,Not assigned,Tuition,262332.642,437221
APR,Juices,Gross Sales,62197738.85999999,103662898
AUG,Juices,Gross Sales,37225440.192,62042400
DEC,Juices,Gross Sales,39116852.124,65194754
NOV,Juices,Gross Sales,46398397.956,77330663
APR,Juices,Raw Materials,17047228.566,28412048
AUG,Juices,Raw Materials,5096027.021999999,8493378
DEC,Juices,Raw Materials,14295845.814000001,23826410
NOV,Juices,Raw Materials,16621982.465999998,27703304
