With Actual budget.Period_MON,With Actual budget.Product,Sum(With Actual budget.Additional 2)
APR,Tea & Coffee,106428127.45799999
AUG,Tea & Coffee,217601941.14
DEC,Tea & Coffee,205195144.926
FEB,Tea & Coffee,217601941.14
JAN,Tea & Coffee,173870292.522
JUL,Tea & Coffee,173870292.522
JUN,Tea & Coffee,205195144.926
MAR,Tea & Coffee,234233783.16000003
MAY,Tea & Coffee,164026253.91599998
NOV,Tea & Coffee,164026253.91599998
OCT,Tea & Coffee,106428127.45799999
SEP,Tea & Coffee,234233783.16000003
APR,Sparking Water,54196732.794
AUG,Sparking Water,108852712.99799998
DEC,Sparking Water,95381990.43000002
FEB,Sparking Water,108852712.99799998
JAN,Sparking Water,89020799.214
JUL,Sparking Water,89020799.214
JUN,Sparking Water,95381990.43000002
MAR,Sparking Water,115072762.90200002
MAY,Sparking Water,81343726.78799999
NOV,Sparking Water,81343726.78799999
OCT,Sparking Water,54196732.794
SEP,Sparking Water,115072762.90200002
APR,Not assigned,110295822.07799998
AUG,Not assigned,88498941.462
DEC,Not assigned,84009084.57599999
FEB,Not assigned,88498941.462
JAN,Not assigned,71812960.776
JUL,Not assigned,71812960.776
JUN,Not assigned,84009084.57599999
MAR,Not assigned,98962229.682
MAY,Not assigned,79420740.468
NOV,Not assigned,79420740.468
OCT,Not assigned,110295822.07799998
SEP,Not assigned,98962229.682
APR,Juices,92430320.50799999
AUG,Juices,61161165.06
DEC,Juices,75939893.388
FEB,Juices,61161165.06
JAN,Juices,23979562.481999997
JUL,Juices,23979562.481999997
JUN,Juices,75939893.388
MAR,Juices,50991932.418
MAY,Juices,91638090.33
NOV,Juices,91638090.33
OCT,Juices,92430320.50799999
SEP,Juices,50991932.418
APR,Mineral Water,47394943.086
AUG,Mineral Water,31763618.4
DEC,Mineral Water,41786142.012
FEB,Mineral Water,31763618.4
JAN,Mineral Water,14332083.617999999
JUL,Mineral Water,14332083.617999999
JUN,Mineral Water,41786142.012
MAR,Mineral Water,29630642.592
MAY,Mineral Water,44348644.04400001
NOV,Mineral Water,44348644.04400001
OCT,Mineral Water,47394943.086
SEP,Mineral Water,29630642.592
APR,Soda,6066144.479999999
AUG,Soda,3264208.806
DEC,Soda,4043755.1760000004
FEB,Soda,3264208.806
JAN,Soda,1935162.0299999998
JUL,Soda,1935162.0299999998
JUN,Soda,4043755.1760000004
MAR,Soda,3944037.906000001
MAY,Soda,4558457.903999999
NOV,Soda,4558457.903999999
OCT,Soda,6066144.479999999
SEP,Soda,3944037.906000001
