With Actual budget.Period_MON,With Actual budget.Product,With Actual budget.Account,Sum(With Actual budget.Additional 2)
APR,Tea & Coffee,Gross Sales,73856259.47999999
AUG,Tea & Coffee,Gross Sales,140088486.42
DEC,Tea & Coffee,Gross Sales,91939350.66
FEB,Tea & Coffee,Gross Sales,140088486.42
JAN,Tea & Coffee,Gross Sales,114984359.75999999
JUL,Tea & Coffee,Gross Sales,114984359.75999999
JUN,Tea & Coffee,Gross Sales,91939350.66
MAR,Tea & Coffee,Gross Sales,148806016.61999997
MAY,Tea & Coffee,Gross Sales,80007199.67999999
NOV,Tea & Coffee,Gross Sales,80007199.67999999
OCT,Tea & Coffee,Gross Sales,73856259.47999999
SEP,Tea & Coffee,Gross Sales,148806016.61999997
APR,Tea & Coffee,Raw Materials,17140684.968
AUG,Tea & Coffee,Raw Materials,40340287.968
DEC,Tea & Coffee,Raw Materials,41508970.272
FEB,Tea & Coffee,Raw Materials,40340287.968
JAN,Tea & Coffee,Raw Materials,31130566.595999997
JUL,Tea & Coffee,Raw Materials,31130566.595999997
JUN,Tea & Coffee,Raw Materials,41508970.272
MAR,Tea & Coffee,Raw Materials,47075785.104
MAY,Tea & Coffee,Raw Materials,31976323.266
NOV,Tea & Coffee,Raw Materials,31976323.266
OCT,Tea & Coffee,Raw Materials,17140684.968
SEP,Tea & Coffee,Raw Materials,47075785.104
APR,Tea & Coffee,Labor,9229599.588
AUG,Tea & Coffee,Labor,21721693.529999997
DEC,Tea & Coffee,Labor,22350983.981999997
FEB,Tea & Coffee,Labor,21721693.529999997
JAN,Tea & Coffee,Labor,16762612.787999999
JUL,Tea & Coffee,Labor,16762612.787999999
JUN,Tea & Coffee,Labor,22350983.981999997
MAR,Tea & Coffee,Labor,25348499.663999997
MAY,Tea & Coffee,Labor,17218020.222
NOV,Tea & Coffee,Labor,17218020.222
OCT,Tea & Coffee,Labor,9229599.588
SEP,Tea & Coffee,Labor,25348499.663999997
APR,Tea & Coffee,Pricing Adjustments,2742029.9579999996
AUG,Tea & Coffee,Pricing Adjustments,7686185.423999999
DEC,Tea & Coffee,Pricing Adjustments,43120135.116
FEB,Tea & Coffee,Pricing Adjustments,7686185.423999999
JAN,Tea & Coffee,Pricing Adjustments,5406777.192
JUL,Tea & Coffee,Pricing Adjustments,5406777.192
JUN,Tea & Coffee,Pricing Adjustments,43120135.116
MAR,Tea & Coffee,Pricing Adjustments,7234953.918
MAY,Tea & Coffee,Pricing Adjustments,32719171.121999998
NOV,Tea & Coffee,Pricing Adjustments,32719171.121999998
OCT,Tea & Coffee,Pricing Adjustments,2742029.9579999996
SEP,Tea & Coffee,Pricing Adjustments,7234953.918
APR,Tea & Coffee,Sales Discounts - Other,810787.038
AUG,Tea & Coffee,Sales Discounts - Other,4169123.4239999996
DEC,Tea & Coffee,Sales Discounts - Other,1649241.726
FEB,Tea & Coffee,Sales Discounts - Other,4169123.4239999996
JAN,Tea & Coffee,Sales Discounts - Other,1194483.5399999998
JUL,Tea & Coffee,Sales Discounts - Other,1194483.5399999998
JUN,Tea & Coffee,Sales Discounts - Other,1649241.726
MAR,Tea & Coffee,Sales Discounts - Other,2016207.576
MAY,Tea & Coffee,Sales Discounts - Other,1710163.284
NOV,Tea & Coffee,Sales Discounts - Other,1710163.284
OCT,Tea & Coffee,Sales Discounts - Other,810787.038
SEP,Tea & Coffee,Sales Discounts - Other,2016207.576
APR,Tea & Coffee,Sale Allowances,1030303.8899999999
AUG,Tea & Coffee,Sale Allowances,470291.496
DEC,Tea & Coffee,Sale Allowances,1437862.11
FEB,Tea & Coffee,Sale Allowances,470291.496
JAN,Tea & Coffee,Sale Allowances,2146079.568
JUL,Tea & Coffee,Sale Allowances,2146079.568
JUN,Tea & Coffee,Sale Allowances,1437862.11
MAR,Tea & Coffee,Sale Allowances,875955.816
MAY,Tea & Coffee,Sale Allowances,437685.54600000003
NOV,Tea & Coffee,Sale Allowances,437685.54600000003
OCT,Tea & Coffee,Sale Allowances,1030303.8899999999
SEP,Tea & Coffee,Sale Allowances,875955.816
APR,Tea & Coffee,Merchandise Returns,710905.632
AUG,Tea & Coffee,Merchandise Returns,790950.8579999999
DEC,Tea & Coffee,Merchandise Returns,902542.338
FEB,Tea & Coffee,Merchandise Returns,790950.8579999999
JAN,Tea & Coffee,Merchandise Returns,876678.444
JUL,Tea & Coffee,Merchandise Returns,876678.444
JUN,Tea & Coffee,Merchandise Returns,902542.338
MAR,Tea & Coffee,Merchandise Returns,1022835.012
MAY,Tea & Coffee,Merchandise Returns,826847.574
NOV,Tea & Coffee,Merchandise Returns,826847.574
OCT,Tea & Coffee,Merchandise Returns,710905.632
SEP,Tea & Coffee,Merchandise Returns,1022835.012
APR,Tea & Coffee,Sales Markdowns,10650.432
AUG,Tea & Coffee,Sales Markdowns,2476165.536
DEC,Tea & Coffee,Sales Markdowns,151292.87999999998
FEB,Tea & Coffee,Sales Markdowns,2476165.536
JAN,Tea & Coffee,Sales Markdowns,789062.0399999999
JUL,Tea & Coffee,Sales Markdowns,789062.0399999999
JUN,Tea & Coffee,Sales Markdowns,151292.87999999998
MAR,Tea & Coffee,Sales Markdowns,422264.31
MAY,Tea & Coffee,Sales Markdowns,2775.0179999999996
NOV,Tea & Coffee,Sales Markdowns,2775.0179999999996
OCT,Tea & Coffee,Sales Markdowns,10650.432
SEP,Tea & Coffee,Sales Markdowns,422264.31
APR,Tea & Coffee,Purchase Price Variance,692428.368
AUG,Tea & Coffee,Purchase Price Variance,-361903.64999999997
DEC,Tea & Coffee,Purchase Price Variance,2013676.3499999999
FEB,Tea & Coffee,Purchase Price Variance,-361903.64999999997
JAN,Tea & Coffee,Purchase Price Variance,478618.98
JUL,Tea & Coffee,Purchase Price Variance,478618.98
JUN,Tea & Coffee,Purchase Price Variance,2013676.3499999999
MAR,Tea & Coffee,Purchase Price Variance,1387117.458
MAY,Tea & Coffee,Purchase Price Variance,-920799.15
NOV,Tea & Coffee,Purchase Price Variance,-920799.15
OCT,Tea & Coffee,Purchase Price Variance,692428.368
SEP,Tea & Coffee,Purchase Price Variance,1387117.458
APR,Tea & Coffee,Freight,143134.674
AUG,Tea & Coffee,Freight,154462.092
DEC,Tea & Coffee,Freight,84762.64799999999
FEB,Tea & Coffee,Freight,154462.092
JAN,Tea & Coffee,Freight,70737.534
JUL,Tea & Coffee,Freight,70737.534
JUN,Tea & Coffee,Freight,84762.64799999999
MAR,Tea & Coffee,Freight,30903.372
MAY,Tea & Coffee,Freight,34207.146
NOV,Tea & Coffee,Freight,34207.146
OCT,Tea & Coffee,Freight,143134.674
SEP,Tea & Coffee,Freight,30903.372
APR,Tea & Coffee,Other Direct Costs,61343.43
AUG,Tea & Coffee,Other Direct Costs,66198.042
DEC,Tea & Coffee,Other Direct Costs,36326.844
FEB,Tea & Coffee,Other Direct Costs,66198.042
JAN,Tea & Coffee,Other Direct Costs,30316.08
JUL,Tea & Coffee,Other Direct Costs,30316.08
JUN,Tea & Coffee,Other Direct Costs,36326.844
MAR,Tea & Coffee,Other Direct Costs,13244.31
MAY,Tea & Coffee,Other Direct Costs,14660.208
NOV,Tea & Coffee,Other Direct Costs,14660.208
OCT,Tea & Coffee,Other Direct Costs,61343.43
SEP,Tea & Coffee,Other Direct Costs,13244.31
APR,Sparking Water,Gross Sales,38774166.066
AUG,Sparking Water,Gross Sales,72257258.75999999
DEC,Sparking Water,Gross Sales,59231550.402
FEB,Sparking Water,Gross Sales,72257258.75999999
JAN,Sparking Water,Gross Sales,58485686.286
JUL,Sparking Water,Gross Sales,58485686.286
JUN,Sparking Water,Gross Sales,59231550.402
MAR,Sparking Water,Gross Sales,75802568.58
MAY,Sparking Water,Gross Sales,50643871.265999995
NOV,Sparking Water,Gross Sales,50643871.265999995
OCT,Sparking Water,Gross Sales,38774166.066
SEP,Sparking Water,Gross Sales,75802568.58
APR,Sparking Water,Raw Materials,7836508.05
AUG,Sparking Water,Raw Materials,18708091.74
DEC,Sparking Water,Raw Materials,18429677.934
FEB,Sparking Water,Raw Materials,18708091.74
JAN,Sparking Water,Raw Materials,15627186.347999997
JUL,Sparking Water,Raw Materials,15627186.347999997
JUN,Sparking Water,Raw Materials,18429677.934
MAR,Sparking Water,Raw Materials,21275097.468
MAY,Sparking Water,Raw Materials,15937527.27
NOV,Sparking Water,Raw Materials,15937527.27
OCT,Sparking Water,Raw Materials,7836508.05
SEP,Sparking Water,Raw Materials,21275097.468
APR,Sparking Water,Labor,4219658.172
AUG,Sparking Water,Labor,10073587.865999999
DEC,Sparking Water,Labor,9923640.42
FEB,Sparking Water,Labor,10073587.865999999
JAN,Sparking Water,Labor,8414638.806
JUL,Sparking Water,Labor,8414638.806
JUN,Sparking Water,Labor,9923640.42
MAR,Sparking Water,Labor,11455821.702000001
MAY,Sparking Water,Labor,8581745.447999999
NOV,Sparking Water,Labor,8581745.447999999
OCT,Sparking Water,Labor,4219658.172
SEP,Sparking Water,Labor,11455821.702000001
