Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code)
2014,Furniture,Bookcases,Consumer,Central,15,-120.65839999999996,0.9199999999999999,1110.6116,3
2015,Furniture,Bookcases,Consumer,Central,27,-608.6298000000002,1.54,4136.7688,6
2016,Furniture,Bookcases,Consumer,Central,31,-522.1548,1.58,4697.1992,7
2017,Furniture,Bookcases,Consumer,Central,22,-245.68300000000013,2.22,3016.2743999999993,8
2014,Furniture,Bookcases,Consumer,East,29,-395.4879000000005,1.3,6759.801000000001,6
2015,Furniture,Bookcases,Consumer,East,43,-1514.0249000000001,2.3,11367.880000000001,9
2016,Furniture,Bookcases,Consumer,East,35,-446.0228000000002,2.7,3546.9269999999997,11
2017,Furniture,Bookcases,Consumer,East,33,163.46839999999975,2.8,5632.525999999999,13
2014,Furniture,Bookcases,Consumer,South,13,164.70860000000002,0.2,794.2760000000001,2
2015,Furniture,Bookcases,Consumer,South,12,89.2884,0.2,813.6120000000001,2
2016,Furniture,Bookcases,Consumer,South,23,480.5709999999999,0.2,2839.756,5
2017,Furniture,Bookcases,Consumer,South,37,485.444,1,4268.918,10
2014,Furniture,Bookcases,Consumer,West,17,-302.8688,1.4499999999999997,1489.4415,6
2015,Furniture,Bookcases,Consumer,West,64,-1267.6758000000004,4.850000000000001,6704.628000000001,18
2016,Furniture,Bookcases,Consumer,West,27,327.8037999999998,1.5999999999999996,6066.1990000000005,8
2017,Furniture,Bookcases,Consumer,West,68,-723.7162000000001,4.15,5387.9105,17
2014,Furniture,Bookcases,Corporate,Central,3,26.750099999999996,0.32,209.95319999999998,2
2015,Furniture,Bookcases,Corporate,Central,16,-174.12800000000004,0.96,2198.6304,5
2016,Furniture,Bookcases,Corporate,Central,27,54.11400000000006,0.94,3687.7408,5
2017,Furniture,Bookcases,Corporate,Central,28,-289.44820000000004,1.58,2293.1764000000003,6
2014,Furniture,Bookcases,Corporate,East,26,-70.80500000000015,1.7,3485.738,5
2015,Furniture,Bookcases,Corporate,East,23,485.8235999999999,1.4,5934.681999999999,6
2016,Furniture,Bookcases,Corporate,East,16,269.9486,0.7,2042.8160000000003,5
2017,Furniture,Bookcases,Corporate,East,19,279.9958,0.7,1705.696,5
2014,Furniture,Bookcases,Corporate,South,,,,,
2015,Furniture,Bookcases,Corporate,South,7,13.991999999999997,0.4,363.024,2
2016,Furniture,Bookcases,Corporate,South,2,10.858799999999974,0.2,289.568,1
2017,Furniture,Bookcases,Corporate,South,11,43.51579999999999,0.2,501.212,2
2014,Furniture,Bookcases,Corporate,West,25,278.5208999999999,0.75,3325.9764999999998,6
2015,Furniture,Bookcases,Corporate,West,18,277.4451,0.44999999999999996,2649.1865,3
2016,Furniture,Bookcases,Corporate,West,12,-99.43860000000011,1.15,1267.1715,4
2017,Furniture,Bookcases,Corporate,West,38,-468.6947,2.55,4051.353,7
2014,Furniture,Bookcases,Home Office,Central,5,-39.73740000000003,0.32,513.4728,2
2015,Furniture,Bookcases,Home Office,Central,15,-102.43460000000003,0.94,1962.3228,4
2016,Furniture,Bookcases,Home Office,Central,,,,,
2017,Furniture,Bookcases,Home Office,Central,3,24.10579999999998,0.32,331.02639999999997,2
2014,Furniture,Bookcases,Home Office,East,5,40.70739999999998,0.2,617.912,2
2015,Furniture,Bookcases,Home Office,East,15,40.77659999999992,0.9,2350.878,5
2016,Furniture,Bookcases,Home Office,East,8,-22.011600000000016,0.7,374.47800000000007,3
2017,Furniture,Bookcases,Home Office,East,,,,,
2014,Furniture,Bookcases,Home Office,South,,,,,
2015,Furniture,Bookcases,Home Office,South,2,4.337199999999996,0,61.96,1
2016,Furniture,Bookcases,Home Office,South,7,61.293599999999955,0.2,579.9000000000001,2
2017,Furniture,Bookcases,Home Office,South,4,-14.51760000000003,0.2,387.136,1
2014,Furniture,Bookcases,Home Office,West,15,72.69980000000004,0.44999999999999996,1729.495,3
2015,Furniture,Bookcases,Home Office,West,,,,,
2016,Furniture,Bookcases,Home Office,West,9,97.509,0.3,883.711,3
2017,Furniture,Bookcases,Home Office,West,13,161.90380000000005,0.6,2449.051,5
2014,Furniture,Chairs,Consumer,Central,70,577.9794999999997,3.899999999999999,11023.306000000002,17
2015,Furniture,Chairs,Consumer,Central,99,1255.3317999999992,4.199999999999999,13440.148000000001,23
2016,Furniture,Chairs,Consumer,Central,56,322.0644999999999,2.9999999999999996,6618.043000000001,17
2017,Furniture,Chairs,Consumer,Central,82,765.5254999999993,5.099999999999999,11851.878000000002,24
2014,Furniture,Chairs,Consumer,East,71,1494.901,2.7,14298.381000000001,16
2015,Furniture,Chairs,Consumer,East,86,1149.8792000000003,2.8000000000000003,9866.753,21
2016,Furniture,Chairs,Consumer,East,126,1226.2762999999995,5.1,16826.879999999997,30
2017,Furniture,Chairs,Consumer,East,104,1046.3387,4.599999999999999,18653.118999999995,27
2014,Furniture,Chairs,Consumer,South,50,729.7823999999999,1,5961.312,11
2015,Furniture,Chairs,Consumer,South,48,1070.8517999999997,0.6000000000000001,5815.340000000001,11
2016,Furniture,Chairs,Consumer,South,31,910.1379999999999,0.8,4130.094,10
2017,Furniture,Chairs,Consumer,South,66,1306.2624999999998,2.1999999999999997,10897.480000000001,21
2014,Furniture,Chairs,Consumer,West,89,686.3086999999995,5.400000000000002,12922.439999999999,27
2015,Furniture,Chairs,Consumer,West,56,397.0047999999999,3.400000000000001,8760.64,17
2016,Furniture,Chairs,Consumer,West,119,214.8520999999994,6.200000000000003,12582.424000000003,31
2017,Furniture,Chairs,Consumer,West,81,81.83509999999978,5.200000000000002,9214.504000000004,26
2014,Furniture,Chairs,Corporate,Central,25,-231.84699999999987,1.5,3891.2039999999997,6
2015,Furniture,Chairs,Corporate,Central,15,219.14689999999985,0.6,1837.4019999999998,5
2016,Furniture,Chairs,Corporate,Central,91,1293.1130999999993,4.199999999999999,13987.673000000003,20
2017,Furniture,Chairs,Corporate,Central,47,1926.4707,1.2,8273.273000000001,14
2014,Furniture,Chairs,Corporate,East,44,882.9467999999999,0.8,5396.138999999999,9
2015,Furniture,Chairs,Corporate,East,47,592.9418000000001,1.7000000000000002,6039.421,11
2016,Furniture,Chairs,Corporate,East,33,271.0239999999999,1.7,4260.718,10
2017,Furniture,Chairs,Corporate,East,65,973.6752,2.1999999999999997,7808.952,16
2014,Furniture,Chairs,Corporate,South,39,543.5437999999998,0.6000000000000001,3397.228,6
2015,Furniture,Chairs,Corporate,South,25,-101.90270000000027,1.2,3134.476,7
2016,Furniture,Chairs,Corporate,South,19,335.4869999999999,0.6000000000000001,2079.2479999999996,6
2017,Furniture,Chairs,Corporate,South,19,406.8263999999999,1,2755.92,7
2014,Furniture,Chairs,Corporate,West,50,269.6639999999999,2.6,5310.408,13
2015,Furniture,Chairs,Corporate,West,49,111.08749999999964,2.8000000000000003,7319.928000000002,14
2016,Furniture,Chairs,Corporate,West,75,601.6498999999994,4.800000000000002,14118.592000000004,24
2017,Furniture,Chairs,Corporate,West,76,250.82909999999944,4.000000000000001,9530.296,20
2014,Furniture,Chairs,Home Office,Central,41,353.1291999999998,1.8,5839.542,9
2015,Furniture,Chairs,Home Office,Central,31,202.46910000000003,1.2,2630.955,6
2016,Furniture,Chairs,Home Office,Central,19,-110.93960000000003,1.2,2743.908,5
2017,Furniture,Chairs,Home Office,Central,39,20.27839999999982,1.8,3093.314,8
2014,Furniture,Chairs,Home Office,East,29,341.5362,0.9999999999999999,2313.748,7
2015,Furniture,Chairs,Home Office,East,23,735.9805999999998,0.5,4103.098,7
2016,Furniture,Chairs,Home Office,East,16,285.50079999999997,0.5,1922.885,4
