Orders.Region,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code)
Central,2014,Furniture,Bookcases,Consumer,15,-120.65839999999996,0.9199999999999999,1110.6116,3
East,2014,Furniture,Bookcases,Consumer,29,-395.4879000000005,1.3,6759.801000000001,6
South,2014,Furniture,Bookcases,Consumer,13,164.70860000000002,0.2,794.2760000000001,2
West,2014,Furniture,Bookcases,Consumer,17,-302.8688,1.4499999999999997,1489.4415,6
Central,2015,Furniture,Bookcases,Consumer,27,-608.6298000000002,1.54,4136.7688,6
East,2015,Furniture,Bookcases,Consumer,43,-1514.0249000000001,2.3,11367.880000000001,9
South,2015,Furniture,Bookcases,Consumer,12,89.2884,0.2,813.6120000000001,2
West,2015,Furniture,Bookcases,Consumer,64,-1267.6758000000004,4.850000000000001,6704.628000000001,18
Central,2016,Furniture,Bookcases,Consumer,31,-522.1548,1.58,4697.1992,7
East,2016,Furniture,Bookcases,Consumer,35,-446.0228000000002,2.7,3546.9269999999997,11
South,2016,Furniture,Bookcases,Consumer,23,480.5709999999999,0.2,2839.756,5
West,2016,Furniture,Bookcases,Consumer,27,327.8037999999998,1.5999999999999996,6066.1990000000005,8
Central,2017,Furniture,Bookcases,Consumer,22,-245.68300000000013,2.22,3016.2743999999993,8
East,2017,Furniture,Bookcases,Consumer,33,163.46839999999975,2.8,5632.525999999999,13
South,2017,Furniture,Bookcases,Consumer,37,485.444,1,4268.918,10
West,2017,Furniture,Bookcases,Consumer,68,-723.7162000000001,4.15,5387.9105,17
Central,2014,Furniture,Bookcases,Corporate,3,26.750099999999996,0.32,209.95319999999998,2
East,2014,Furniture,Bookcases,Corporate,26,-70.80500000000015,1.7,3485.738,5
South,2014,Furniture,Bookcases,Corporate,,,,,
West,2014,Furniture,Bookcases,Corporate,25,278.5208999999999,0.75,3325.9764999999998,6
Central,2015,Furniture,Bookcases,Corporate,16,-174.12800000000004,0.96,2198.6304,5
East,2015,Furniture,Bookcases,Corporate,23,485.8235999999999,1.4,5934.681999999999,6
South,2015,Furniture,Bookcases,Corporate,7,13.991999999999997,0.4,363.024,2
West,2015,Furniture,Bookcases,Corporate,18,277.4451,0.44999999999999996,2649.1865,3
Central,2016,Furniture,Bookcases,Corporate,27,54.11400000000006,0.94,3687.7408,5
East,2016,Furniture,Bookcases,Corporate,16,269.9486,0.7,2042.8160000000003,5
South,2016,Furniture,Bookcases,Corporate,2,10.858799999999974,0.2,289.568,1
West,2016,Furniture,Bookcases,Corporate,12,-99.43860000000011,1.15,1267.1715,4
Central,2017,Furniture,Bookcases,Corporate,28,-289.44820000000004,1.58,2293.1764000000003,6
East,2017,Furniture,Bookcases,Corporate,19,279.9958,0.7,1705.696,5
South,2017,Furniture,Bookcases,Corporate,11,43.51579999999999,0.2,501.212,2
West,2017,Furniture,Bookcases,Corporate,38,-468.6947,2.55,4051.353,7
Central,2014,Furniture,Bookcases,Home Office,5,-39.73740000000003,0.32,513.4728,2
East,2014,Furniture,Bookcases,Home Office,5,40.70739999999998,0.2,617.912,2
South,2014,Furniture,Bookcases,Home Office,,,,,
West,2014,Furniture,Bookcases,Home Office,15,72.69980000000004,0.44999999999999996,1729.495,3
Central,2015,Furniture,Bookcases,Home Office,15,-102.43460000000003,0.94,1962.3228,4
East,2015,Furniture,Bookcases,Home Office,15,40.77659999999992,0.9,2350.878,5
South,2015,Furniture,Bookcases,Home Office,2,4.337199999999996,0,61.96,1
West,2015,Furniture,Bookcases,Home Office,,,,,
Central,2016,Furniture,Bookcases,Home Office,,,,,
East,2016,Furniture,Bookcases,Home Office,8,-22.011600000000016,0.7,374.47800000000007,3
South,2016,Furniture,Bookcases,Home Office,7,61.293599999999955,0.2,579.9000000000001,2
West,2016,Furniture,Bookcases,Home Office,9,97.509,0.3,883.711,3
Central,2017,Furniture,Bookcases,Home Office,3,24.10579999999998,0.32,331.02639999999997,2
East,2017,Furniture,Bookcases,Home Office,,,,,
South,2017,Furniture,Bookcases,Home Office,4,-14.51760000000003,0.2,387.136,1
West,2017,Furniture,Bookcases,Home Office,13,161.90380000000005,0.6,2449.051,5
Central,2014,Furniture,Chairs,Consumer,70,577.9794999999997,3.899999999999999,11023.306000000002,17
East,2014,Furniture,Chairs,Consumer,71,1494.901,2.7,14298.381000000001,16
South,2014,Furniture,Chairs,Consumer,50,729.7823999999999,1,5961.312,11
West,2014,Furniture,Chairs,Consumer,89,686.3086999999995,5.400000000000002,12922.439999999999,27
Central,2015,Furniture,Chairs,Consumer,99,1255.3317999999992,4.199999999999999,13440.148000000001,23
East,2015,Furniture,Chairs,Consumer,86,1149.8792000000003,2.8000000000000003,9866.753,21
South,2015,Furniture,Chairs,Consumer,48,1070.8517999999997,0.6000000000000001,5815.340000000001,11
