Category,Sub-Category,Segment,Region,Year,Value Column Name,Value
"Furniture","Bookcases","Consumer","Central","2014","Sum of Quantity","15"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Profit","-120.65839999999996"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Discount","0.9199999999999999"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Sales","1110.6116"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Sales - Sum of Quantity","1095.6116"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Sales - Sum of Quantity)%","73.04077333333333"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Sales - Sum of Profit","1231.27"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Sales - Sum of Profit)%","10.204594126890465"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Sales - Sum of Discount","1109.6915999999999"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Sales - Sum of Discount)%","1206.1865217391303"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Profit - Sum of Quantity","-135.65839999999997"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Profit - Sum of Quantity)%","-9.043893333333331"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Discount - Sum of Quantity","-14.08"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Discount - Sum of Quantity)%","-0.9386666666666666"
"Furniture","Bookcases","Consumer","Central","2014","Sum of Discount - Sum of Profit","121.57839999999996"
"Furniture","Bookcases","Consumer","Central","2014","(Sum of Discount - Sum of Profit)%","1.0076248317564298"
"Furniture","Bookcases","Consumer","Central","2014","Count of Postal Code",""
"Furniture","Bookcases","Consumer","Central","2015","Sum of Quantity","27"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Profit","-608.6298000000002"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Discount","1.54"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Sales","4136.7688"
"Furniture","Bookcases","Consumer","Central","2015","Sum of Sales - Sum of Quantity","4109.7688"
"Furniture","Bookcases","Consumer","Central","2015","(Sum of Sales - Sum of Quantity)%","152.21365925925926"
