Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Segment,Superstore 2023.State,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
Central,Technology,Phones,Consumer,California,,
East,Technology,Phones,Consumer,California,,
South,Technology,Phones,Consumer,California,,
West,Technology,Phones,Consumer,California,2708.9054,31167.728
Central,Technology,Phones,Consumer,New York,,
East,Technology,Phones,Consumer,New York,7963.4259,27765.15
South,Technology,Phones,Consumer,New York,,
West,Technology,Phones,Consumer,New York,,
Central,Technology,Phones,Consumer,Illinois,1260.026,12341.024
East,Technology,Phones,Consumer,Illinois,,
South,Technology,Phones,Consumer,Illinois,,
West,Technology,Phones,Consumer,Illinois,,
Central,Technology,Phones,Consumer,Texas,1353.4372,11217.632
East,Technology,Phones,Consumer,Texas,,
South,Technology,Phones,Consumer,Texas,,
West,Technology,Phones,Consumer,Texas,,
Central,Technology,Phones,Consumer,Florida,,
East,Technology,Phones,Consumer,Florida,,
South,Technology,Phones,Consumer,Florida,835.7761,9910.632
West,Technology,Phones,Consumer,Florida,,
Central,Technology,Phones,Consumer,Ohio,,
East,Technology,Phones,Consumer,Ohio,-1659.2656,9363.9
South,Technology,Phones,Consumer,Ohio,,
West,Technology,Phones,Consumer,Ohio,,
Central,Technology,Phones,Consumer,Pennsylvania,,
East,Technology,Phones,Consumer,Pennsylvania,-1040.9699,7182.438
South,Technology,Phones,Consumer,Pennsylvania,,
West,Technology,Phones,Consumer,Pennsylvania,,
Central,Technology,Phones,Consumer,Georgia,,
East,Technology,Phones,Consumer,Georgia,,
South,Technology,Phones,Consumer,Georgia,1341.0034,5031.72
West,Technology,Phones,Consumer,Georgia,,
Central,Technology,Phones,Consumer,Washington,,
East,Technology,Phones,Consumer,Washington,,
South,Technology,Phones,Consumer,Washington,,
West,Technology,Phones,Consumer,Washington,426.0689,4899.088
Central,Technology,Phones,Consumer,Virginia,,
East,Technology,Phones,Consumer,Virginia,,
South,Technology,Phones,Consumer,Virginia,1290.9774,4606.03
West,Technology,Phones,Consumer,Virginia,,
Central,Technology,Phones,Consumer,Colorado,,
East,Technology,Phones,Consumer,Colorado,,
South,Technology,Phones,Consumer,Colorado,,
West,Technology,Phones,Consumer,Colorado,481.5223,4406.792
Central,Technology,Phones,Consumer,North Carolina,,
East,Technology,Phones,Consumer,North Carolina,,
South,Technology,Phones,Consumer,North Carolina,394.0273,4353.656
West,Technology,Phones,Consumer,North Carolina,,
Central,Technology,Phones,Consumer,Arizona,,
East,Technology,Phones,Consumer,Arizona,,
South,Technology,Phones,Consumer,Arizona,,
West,Technology,Phones,Consumer,Arizona,446.1848,4238.696
Central,Technology,Phones,Consumer,Indiana,809.5402,2834.68
East,Technology,Phones,Consumer,Indiana,,
South,Technology,Phones,Consumer,Indiana,,
West,Technology,Phones,Consumer,Indiana,,
Central,Technology,Phones,Consumer,Nebraska,796.3481,2695.86
East,Technology,Phones,Consumer,Nebraska,,
South,Technology,Phones,Consumer,Nebraska,,
West,Technology,Phones,Consumer,Nebraska,,
Central,Technology,Phones,Consumer,Oregon,,
East,Technology,Phones,Consumer,Oregon,,
South,Technology,Phones,Consumer,Oregon,,
West,Technology,Phones,Consumer,Oregon,98.3086,2547.56
Central,Technology,Phones,Consumer,New Jersey,,
East,Technology,Phones,Consumer,New Jersey,617.1815,2281.86
South,Technology,Phones,Consumer,New Jersey,,
West,Technology,Phones,Consumer,New Jersey,,
Central,Technology,Phones,Consumer,Michigan,615.3689,2269.04
East,Technology,Phones,Consumer,Michigan,,
South,Technology,Phones,Consumer,Michigan,,
West,Technology,Phones,Consumer,Michigan,,
Central,Technology,Phones,Consumer,Oklahoma,595.0565,2213.69
East,Technology,Phones,Consumer,Oklahoma,,
South,Technology,Phones,Consumer,Oklahoma,,
West,Technology,Phones,Consumer,Oklahoma,,
Central,Technology,Phones,Consumer,Kentucky,,
East,Technology,Phones,Consumer,Kentucky,,
South,Technology,Phones,Consumer,Kentucky,590.825,2129.56
West,Technology,Phones,Consumer,Kentucky,,
Central,Technology,Phones,Consumer,Wisconsin,581.2451,2109.81
East,Technology,Phones,Consumer,Wisconsin,,
South,Technology,Phones,Consumer,Wisconsin,,
West,Technology,Phones,Consumer,Wisconsin,,
Central,Technology,Phones,Consumer,Nevada,,
East,Technology,Phones,Consumer,Nevada,,
South,Technology,Phones,Consumer,Nevada,,
West,Technology,Phones,Consumer,Nevada,184.1935,2035.112
Central,Technology,Phones,Consumer,Delaware,,
East,Technology,Phones,Consumer,Delaware,563.6786,1887.66
South,Technology,Phones,Consumer,Delaware,,
West,Technology,Phones,Consumer,Delaware,,
Central,Technology,Phones,Consumer,Arkansas,,
East,Technology,Phones,Consumer,Arkansas,,
South,Technology,Phones,Consumer,Arkansas,429.2776,1641.84
West,Technology,Phones,Consumer,Arkansas,,
Central,Technology,Phones,Consumer,Massachusetts,,
East,Technology,Phones,Consumer,Massachusetts,439.2836,1489.75
South,Technology,Phones,Consumer,Massachusetts,,
West,Technology,Phones,Consumer,Massachusetts,,
Central,Technology,Phones,Consumer,Alabama,,
East,Technology,Phones,Consumer,Alabama,,
South,Technology,Phones,Consumer,Alabama,320.967,1220.85
West,Technology,Phones,Consumer,Alabama,,
Central,Technology,Phones,Consumer,Connecticut,,
East,Technology,Phones,Consumer,Connecticut,308.0346,1090.91
South,Technology,Phones,Consumer,Connecticut,,
West,Technology,Phones,Consumer,Connecticut,,
Central,Technology,Phones,Consumer,Mississippi,,
East,Technology,Phones,Consumer,Mississippi,,
South,Technology,Phones,Consumer,Mississippi,230.9727,773.7
West,Technology,Phones,Consumer,Mississippi,,
Central,Technology,Phones,Consumer,South Carolina,,
East,Technology,Phones,Consumer,South Carolina,,
South,Technology,Phones,Consumer,South Carolina,209.3677,743.68
West,Technology,Phones,Consumer,South Carolina,,
Central,Technology,Phones,Consumer,Minnesota,184.7832,659.94
East,Technology,Phones,Consumer,Minnesota,,
South,Technology,Phones,Consumer,Minnesota,,
West,Technology,Phones,Consumer,Minnesota,,
Central,Technology,Phones,Consumer,Utah,,
East,Technology,Phones,Consumer,Utah,,
South,Technology,Phones,Consumer,Utah,,
West,Technology,Phones,Consumer,Utah,88.7502,598.448
Central,Technology,Phones,Consumer,Iowa,157.2844,542.36
East,Technology,Phones,Consumer,Iowa,,
South,Technology,Phones,Consumer,Iowa,,
West,Technology,Phones,Consumer,Iowa,,
Central,Technology,Phones,Consumer,Maryland,,
East,Technology,Phones,Consumer,Maryland,136.8849,450.37
South,Technology,Phones,Consumer,Maryland,,
West,Technology,Phones,Consumer,Maryland,,
Central,Technology,Phones,Consumer,Idaho,,
East,Technology,Phones,Consumer,Idaho,,
South,Technology,Phones,Consumer,Idaho,,
West,Technology,Phones,Consumer,Idaho,31.4517,442.752
Central,Technology,Phones,Consumer,Tennessee,,
East,Technology,Phones,Consumer,Tennessee,,
South,Technology,Phones,Consumer,Tennessee,-27.7388,405.376
West,Technology,Phones,Consumer,Tennessee,,
Central,Technology,Phones,Consumer,Kansas,62.93,224.75
East,Technology,Phones,Consumer,Kansas,,
South,Technology,Phones,Consumer,Kansas,,
West,Technology,Phones,Consumer,Kansas,,
Central,Technology,Phones,Consumer,Montana,,
East,Technology,Phones,Consumer,Montana,,
South,Technology,Phones,Consumer,Montana,,
West,Technology,Phones,Consumer,Montana,9.2386,105.584
Central,Technology,Phones,Consumer,Louisiana,,
East,Technology,Phones,Consumer,Louisiana,,
South,Technology,Phones,Consumer,Louisiana,8.4564,29.16
West,Technology,Phones,Consumer,Louisiana,,
Central,Technology,Phones,Consumer,New Mexico,,
East,Technology,Phones,Consumer,New Mexico,,
South,Technology,Phones,Consumer,New Mexico,,
West,Technology,Phones,Consumer,New Mexico,-5.6943,23.976
Central,Technology,Phones,Corporate,California,,
East,Technology,Phones,Corporate,California,,
South,Technology,Phones,Corporate,California,,
West,Technology,Phones,Corporate,California,2006.3229,19761.88
Central,Technology,Phones,Corporate,New York,,
East,Technology,Phones,Corporate,New York,3344.3843,11916.26
South,Technology,Phones,Corporate,New York,,
West,Technology,Phones,Corporate,New York,,
Central,Technology,Phones,Corporate,Texas,1258.9174,11655.712
East,Technology,Phones,Corporate,Texas,,
South,Technology,Phones,Corporate,Texas,,
West,Technology,Phones,Corporate,Texas,,
Central,Technology,Phones,Corporate,Pennsylvania,,
East,Technology,Phones,Corporate,Pennsylvania,-1567.2266,7753.746
South,Technology,Phones,Corporate,Pennsylvania,,
West,Technology,Phones,Corporate,Pennsylvania,,
Central,Technology,Phones,Corporate,Virginia,,
East,Technology,Phones,Corporate,Virginia,,
South,Technology,Phones,Corporate,Virginia,1492.1511,5528.37
West,Technology,Phones,Corporate,Virginia,,
Central,Technology,Phones,Corporate,Florida,,
East,Technology,Phones,Corporate,Florida,,
South,Technology,Phones,Corporate,Florida,387.3856,3671.408
West,Technology,Phones,Corporate,Florida,,
Central,Technology,Phones,Corporate,Ohio,,
East,Technology,Phones,Corporate,Ohio,-655.3166,3094.482
South,Technology,Phones,Corporate,Ohio,,
West,Technology,Phones,Corporate,Ohio,,
Central,Technology,Phones,Corporate,Tennessee,,
East,Technology,Phones,Corporate,Tennessee,,
South,Technology,Phones,Corporate,Tennessee,314.9653,3010.888
West,Technology,Phones,Corporate,Tennessee,,
Central,Technology,Phones,Corporate,North Carolina,,
East,Technology,Phones,Corporate,North Carolina,,
South,Technology,Phones,Corporate,North Carolina,285.6007,2747.176
West,Technology,Phones,Corporate,North Carolina,,
Central,Technology,Phones,Corporate,Maryland,,
East,Technology,Phones,Corporate,Maryland,561.3007,2126.89
South,Technology,Phones,Corporate,Maryland,,
West,Technology,Phones,Corporate,Maryland,,
Central,Technology,Phones,Corporate,Arizona,,
East,Technology,Phones,Corporate,Arizona,,
South,Technology,Phones,Corporate,Arizona,,
West,Technology,Phones,Corporate,Arizona,281.1392,1933.416
Central,Technology,Phones,Corporate,Illinois,159.5339,1782.384
East,Technology,Phones,Corporate,Illinois,,
South,Technology,Phones,Corporate,Illinois,,
West,Technology,Phones,Corporate,Illinois,,
Central,Technology,Phones,Corporate,Wisconsin,479.3754,1766.88
East,Technology,Phones,Corporate,Wisconsin,,
South,Technology,Phones,Corporate,Wisconsin,,
West,Technology,Phones,Corporate,Wisconsin,,
Central,Technology,Phones,Corporate,Oregon,,
East,Technology,Phones,Corporate,Oregon,,
South,Technology,Phones,Corporate,Oregon,,
West,Technology,Phones,Corporate,Oregon,139.3726,1718.304
Central,Technology,Phones,Corporate,Alabama,,
East,Technology,Phones,Corporate,Alabama,,
South,Technology,Phones,Corporate,Alabama,362.687,1394.95
West,Technology,Phones,Corporate,Alabama,,
Central,Technology,Phones,Corporate,Massachusetts,,
East,Technology,Phones,Corporate,Massachusetts,335.8027,1238.11
South,Technology,Phones,Corporate,Massachusetts,,
West,Technology,Phones,Corporate,Massachusetts,,
Central,Technology,Phones,Corporate,New Jersey,,
East,Technology,Phones,Corporate,New Jersey,440.9457,1190.91
South,Technology,Phones,Corporate,New Jersey,,
West,Technology,Phones,Corporate,New Jersey,,
Central,Technology,Phones,Corporate,Georgia,,
East,Technology,Phones,Corporate,Georgia,,
South,Technology,Phones,Corporate,Georgia,310.9754,1092.46
West,Technology,Phones,Corporate,Georgia,,
Central,Technology,Phones,Corporate,Connecticut,,
East,Technology,Phones,Corporate,Connecticut,279.1443,1042.43
South,Technology,Phones,Corporate,Connecticut,,
West,Technology,Phones,Corporate,Connecticut,,
Central,Technology,Phones,Corporate,Delaware,,
East,Technology,Phones,Corporate,Delaware,258.169,958.96
South,Technology,Phones,Corporate,Delaware,,
West,Technology,Phones,Corporate,Delaware,,
Central,Technology,Phones,Corporate,South Carolina,,
East,Technology,Phones,Corporate,South Carolina,,
South,Technology,Phones,Corporate,South Carolina,203.337,709.05
West,Technology,Phones,Corporate,South Carolina,,
Central,Technology,Phones,Corporate,Washington,,
East,Technology,Phones,Corporate,Washington,,
