Region,Business Unit,Product Category,Product,GL Account,Year,Quarter,Month,Day,Sum of 2021,Sum of 2022
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 1,January,1,1008,1094
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 1,February,1,1058,1057
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 1,March,1,1251,1075
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 2,April,1,1025,1052
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 2,May,1,1223,1115
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 2,June,1,1049,1019
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 3,July,1,1190,1254
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 3,August,1,1078,1201
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 3,September,1,1257,1008
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 4,October,1,1284,1127
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 4,November,1,1260,1232
Asia,BU 1,Beverages,Coffee,Cost of Sales,2019,Qtr 4,December,1,1056,1027
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 1,January,1,722,789
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 1,February,1,847,801
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 1,March,1,814,812
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 2,April,1,758,803
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 2,May,1,775,779
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 2,June,1,719,763
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 3,July,1,773,710
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 3,August,1,708,817
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 3,September,1,831,835
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 4,October,1,732,719
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 4,November,1,791,781
Asia,BU 1,Beverages,Coffee,Other Costs,2019,Qtr 4,December,1,829,723
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 1,January,1,8673,8219
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 1,February,1,8324,8795
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 1,March,1,9871,8419
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 2,April,1,8994,9962
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 2,May,1,8225,9254
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 2,June,1,8806,8926
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 3,July,1,9209,9695
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 3,August,1,8360,9821
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 3,September,1,9413,8940
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 4,October,1,9896,9752
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 4,November,1,8126,9099
Asia,BU 1,Beverages,Coffee,Other Income,2019,Qtr 4,December,1,8059,8432
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 1,January,1,17,23
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 1,February,1,15,22
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 1,March,1,17,18
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 2,April,1,19,21
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 2,May,1,18,21
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 2,June,1,17,22
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 3,July,1,17,22
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 3,August,1,17,19
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 3,September,1,18,23
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 4,October,1,16,18
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 4,November,1,16,20
Asia,BU 1,Beverages,Coffee,Selling Price,2019,Qtr 4,December,1,20,18
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 1,January,1,363,359
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 1,February,1,429,330
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 1,March,1,342,355
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 2,April,1,374,348
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 2,May,1,446,424
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 2,June,1,446,357
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 3,July,1,392,312
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 3,August,1,433,308
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 3,September,1,301,392
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 4,October,1,322,383
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 4,November,1,416,399
Asia,BU 1,Beverages,Coffee,Units Sold,2019,Qtr 4,December,1,319,436
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 1,January,1,1248,1278
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 1,February,1,1267,1279
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 1,March,1,1155,1143
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 2,April,1,1100,1191
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 2,May,1,1210,1102
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 2,June,1,1180,1161
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 3,July,1,1044,1056
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 3,August,1,1281,1083
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 3,September,1,1144,1267
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 4,October,1,1123,1211
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 4,November,1,1029,1098
Asia,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 4,December,1,1292,1218
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 1,January,1,779,797
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 1,February,1,779,714
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 1,March,1,703,838
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 2,April,1,717,828
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 2,May,1,745,712
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 2,June,1,817,714
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 3,July,1,752,812
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 3,August,1,772,842
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 3,September,1,757,809
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 4,October,1,805,814
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 4,November,1,753,756
Asia,BU 1,Beverages,Orange,Other Costs,2019,Qtr 4,December,1,801,824
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 1,January,1,8869,8555
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 1,February,1,9392,8779
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 1,March,1,9897,8755
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 2,April,1,9971,8271
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 2,May,1,8465,8538
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 2,June,1,9040,9109
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 3,July,1,8798,8448
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 3,August,1,9471,8185
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 3,September,1,8346,9113
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 4,October,1,8136,8024
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 4,November,1,9280,9754
Asia,BU 1,Beverages,Orange,Other Income,2019,Qtr 4,December,1,8119,8890
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 1,January,1,16,18
Asia,BU 1,Beverages,Orange,Selling Price,2019,Qtr 1,February,1,19,23
