Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit)
2015,Furniture,Bookcases,Central,8297.722,-885.1924000000004
2016,Furniture,Bookcases,Central,8384.939999999999,-468.0408
2017,Furniture,Bookcases,Central,5640.4772,-511.0254000000002
2015,Furniture,Bookcases,East,19653.440000000002,-987.4247000000008
2016,Furniture,Bookcases,East,5964.221000000001,-198.08580000000018
2017,Furniture,Bookcases,East,7338.222,443.4641999999997
2015,Furniture,Bookcases,South,1238.5960000000002,107.61759999999998
2016,Furniture,Bookcases,South,3709.224,552.7233999999999
2017,Furniture,Bookcases,South,5157.266,514.4422000000001
2015,Furniture,Bookcases,West,9353.8145,-990.2307000000004
2016,Furniture,Bookcases,West,8217.0815,325.8741999999997
2017,Furniture,Bookcases,West,11888.314499999997,-1030.5071000000003
2015,Furniture,Chairs,Central,17908.505,1676.9477999999992
2016,Furniture,Chairs,Central,23349.623999999996,1504.2379999999998
2017,Furniture,Chairs,Central,23218.465000000004,2712.274599999999
2015,Furniture,Chairs,East,20009.271999999997,2478.8016
2016,Furniture,Chairs,East,23010.482999999993,1782.8010999999997
2017,Furniture,Chairs,East,31232.659999999996,2376.783899999999
2015,Furniture,Chairs,South,10116.736,1100.2275999999997
2016,Furniture,Chairs,South,6331.122,1276.07
2017,Furniture,Chairs,South,15656.308,1931.0776999999998
2015,Furniture,Chairs,West,23700.016000000003,972.4390999999996
2016,Furniture,Chairs,West,31227.415999999987,1200.0447999999983
2017,Furniture,Chairs,West,25446.919999999984,623.4130999999986
2015,Furniture,Furnishings,Central,2528.5600000000013,-757.6987999999999
2016,Furniture,Furnishings,Central,5115.692000000001,-1582.3255000000001
2017,Furniture,Furnishings,Central,5074.022000000001,-1319.6834
2015,Furniture,Furnishings,East,5269.913999999999,737.0739999999997
2016,Furniture,Furnishings,East,9587.140000000001,2135.1757
2017,Furniture,Furnishings,East,10457.01,2264.7764999999995
2015,Furniture,Furnishings,South,5377.807999999999,1172.1376999999998
2016,Furniture,Furnishings,South,5382.784000000001,1278.3998999999994
2017,Furniture,Furnishings,South,3385.590000000001,568.9786999999999
2015,Furniture,Furnishings,West,7913.43,1900.3060000000003
2016,Furniture,Furnishings,West,7788.5080000000025,2104.0199
2017,Furniture,Furnishings,West,9998.471999999998,2585.0909999999994
2015,Furniture,Tables,Central,6857.26,-265.09390000000053
2016,Furniture,Tables,Central,13922.926,292.6210999999996
2017,Furniture,Tables,Central,10589.307000000003,-2162.8466000000008
2015,Furniture,Tables,East,8884.806,-2275.8641000000007
2016,Furniture,Tables,East,7825.328,-2306.7783
2017,Furniture,Tables,East,11825.968999999997,-2904.9002
2015,Furniture,Tables,South,7370.6745,-2171.3765000000003
2016,Furniture,Tables,South,12498.3115,39.22299999999967
2017,Furniture,Tables,South,14106.261499999999,-3598.8946
2015,Furniture,Tables,West,16037.683,1202.5326
2016,Furniture,Tables,West,26586.635000000006,-976.0075999999999
2017,Furniture,Tables,West,24372.004999999994,525.9466999999997
2015,Office Supplies,Appliances,Central,4974.508999999999,-2194.756100000001
2016,Office Supplies,Appliances,Central,6015.011000000001,378.69469999999967
2017,Office Supplies,Appliances,Central,8933.308,-313.3837000000003
2015,Office Supplies,Appliances,East,6691.2519999999995,1850.6004999999998
2016,Office Supplies,Appliances,East,9426.582000000002,2302.6057999999994
2017,Office Supplies,Appliances,East,12291.429999999998,2826.2448999999992
2015,Office Supplies,Appliances,South,3850.3399999999992,962.6974000000001
2016,Office Supplies,Appliances,South,5607.47,1159.3742999999997
2017,Office Supplies,Appliances,South,7947.794,1512.0825999999995
2015,Office Supplies,Appliances,West,7725.188,1893.353899999999
2016,Office Supplies,Appliances,West,5001.252000000002,1460.6666999999998
2017,Office Supplies,Appliances,West,13754.399999999996,3840.3244999999997
2015,Office Supplies,Art,Central,1132.16,248.07010000000005
2016,Office Supplies,Art,Central,1519.9500000000003,261.41529999999995
2017,Office Supplies,Art,Central,2291.276,497.83169999999996
2015,Office Supplies,Art,East,1707.3659999999995,400.3931
2016,Office Supplies,Art,East,1882.5659999999996,476.9198000000001
2017,Office Supplies,Art,East,2605.63,689.7181999999999
2015,Office Supplies,Art,South,1362.318,293.35029999999995
2016,Office Supplies,Art,South,1438.2699999999995,352.6363999999999
2017,Office Supplies,Art,South,1288.9019999999998,278.8466000000001
2015,Office Supplies,Art,West,2034.9899999999998,543.2447000000002
2016,Office Supplies,Art,West,1120.1220000000003,322.99109999999985
2017,Office Supplies,Art,West,2677.259999999999,755.5665999999999
2015,Office Supplies,Binders,Central,5890.588000000001,1370.1047999999987
2016,Office Supplies,Binders,Central,14056.379999999996,2919.336599999998
2017,Office Supplies,Binders,Central,21105.375999999997,-3957.1425000000045
2015,Office Supplies,Binders,East,14206.681,4743.476800000001
2016,Office Supplies,Binders,East,18955.548,2802.6458
2017,Office Supplies,Binders,East,13989.141,2560.8434
2015,Office Supplies,Binders,South,13467.317,456.5632999999991
2016,Office Supplies,Binders,South,4112.216000000002,618.0254000000002
2017,Office Supplies,Binders,South,11143.362000000003,405.97360000000197
2015,Office Supplies,Binders,West,3888.5119999999993,1026.5265
2016,Office Supplies,Binders,West,12559.181,3875.6263
2017,Office Supplies,Binders,West,26550.165999999994,8660.0673
2015,Office Supplies,Envelopes,Central,870.8579999999998,346.95279999999997
2016,Office Supplies,Envelopes,Central,970.7959999999999,371.9226999999999
2017,Office Supplies,Envelopes,Central,1196.5320000000002,487.80459999999994
2015,Office Supplies,Envelopes,East,876.8399999999999,363.84529999999995
2016,Office Supplies,Envelopes,East,1304.7500000000002,556.6349999999999
2017,Office Supplies,Envelopes,East,846.6619999999999,367.4188
2015,Office Supplies,Envelopes,South,1409.0539999999996,622.2321
2016,Office Supplies,Envelopes,South,895.7420000000001,399.8763999999999
2017,Office Supplies,Envelopes,South,788.906,335.8732
2015,Office Supplies,Envelopes,West,1355.4360000000001,627.1603999999999
2016,Office Supplies,Envelopes,West,1558.6020000000005,738.3141999999999
2017,Office Supplies,Envelopes,West,546.4739999999999,250.6624
2015,Office Supplies,Fasteners,Central,88.61,25.098300000000002
2016,Office Supplies,Fasteners,Central,247.37399999999997,83.2255
2017,Office Supplies,Fasteners,Central,320.23,112.23140000000004
2015,Office Supplies,Fasteners,East,191.654,50.2029
2016,Office Supplies,Fasteners,East,344.1700000000001,112.47730000000001
2017,Office Supplies,Fasteners,East,186.982,68.92839999999998
2015,Office Supplies,Fasteners,South,125.408,45.79009999999999
2016,Office Supplies,Fasteners,South,104.87,34.901399999999995
2017,Office Supplies,Fasteners,South,107.24600000000001,42.1215
2015,Office Supplies,Fasteners,West,139.552,50.84629999999999
2016,Office Supplies,Fasteners,West,263.72,63.469199999999994
2017,Office Supplies,Fasteners,West,243.136,81.66760000000001
2015,Office Supplies,Labels,Central,304.5080000000001,126.73549999999999
2016,Office Supplies,Labels,Central,511.24999999999994,204.96179999999998
2017,Office Supplies,Labels,Central,587.2420000000001,259.83129999999994
2015,Office Supplies,Labels,East,516.2620000000001,213.23849999999996
2016,Office Supplies,Labels,East,779.156,335.69859999999994
2017,Office Supplies,Labels,East,791.3739999999999,355.3163
2015,Office Supplies,Labels,South,1118.0439999999999,534.1857000000001
2016,Office Supplies,Labels,South,288.20000000000005,132.50410000000002
2017,Office Supplies,Labels,South,545.894,204.46779999999998
2015,Office Supplies,Labels,West,1017.648,448.8689
2016,Office Supplies,Labels,West,1248.6340000000002,519.4473999999999
2017,Office Supplies,Labels,West,1936.706,924.9939
2015,Office Supplies,Paper,Central,3544.238,1398.7427
2016,Office Supplies,Paper,Central,5365.607999999998,2205.3706999999995
2017,Office Supplies,Paper,Central,6235.279999999999,2471.5800000000004
2015,Office Supplies,Paper,East,3967.6780000000003,1809.0611999999999
2016,Office Supplies,Paper,East,4926.120000000001,2135.0231999999996
2017,Office Supplies,Paper,East,7361.655999999999,3322.4314
2015,Office Supplies,Paper,South,2303.2519999999995,948.6682000000003
2016,Office Supplies,Paper,South,3923.1639999999993,1724.0622000000003
2017,Office Supplies,Paper,South,4739.9919999999975,1935.5015999999991
2015,Office Supplies,Paper,West,5472.470000000001,2413.6979
2016,Office Supplies,Paper,West,6447.001999999998,3007.0784000000003
2017,Office Supplies,Paper,West,9357.789999999995,4311.3304000000035
2015,Office Supplies,Storage,Central,8331.473999999998,437.41569999999933
2016,Office Supplies,Storage,Central,12811.512,778.9764999999998
2017,Office Supplies,Storage,Central,13693.739999999998,409.0048999999998
2015,Office Supplies,Storage,East,13309.205999999996,1732.557799999999
2016,Office Supplies,Storage,East,22096.05799999999,2804.288900000002
2017,Office Supplies,Storage,East,20000.05799999999,2540.518099999998
2015,Office Supplies,Storage,South,7487.2260000000015,-268.0479
2016,Office Supplies,Storage,South,10840.395999999997,1088.0691999999997
2017,Office Supplies,Storage,South,10725.432000000003,992.0485999999995
2015,Office Supplies,Storage,West,15920.341999999997,1603.5344999999995
2016,Office Supplies,Storage,West,13040.734000000002,1532.9522
2017,Office Supplies,Storage,West,25258.388000000003,3461.2290999999987
2015,Office Supplies,Supplies,Central,324.446,21.678799999999995
2016,Office Supplies,Supplies,Central,4294.908,-811.7518000000002
2017,Office Supplies,Supplies,Central,4407.559999999999,117.72000000000007
2015,Office Supplies,Supplies,East,1188.306,-122.7337
2016,Office Supplies,Supplies,East,2086.2580000000003,-27.20429999999999
2017,Office Supplies,Supplies,East,7017.680000000001,-981.8992
2015,Office Supplies,Supplies,South,130.336,14.662799999999981
2016,Office Supplies,Supplies,South,1456.3000000000002,-184.8886
2017,Office Supplies,Supplies,South,2484.984,73.49960000000002
2015,Office Supplies,Supplies,West,309.394,61.513699999999986
2016,Office Supplies,Supplies,West,6440.1100000000015,324.8807999999997
2017,Office Supplies,Supplies,West,2139.186,-164.63320000000002
2015,Technology,Accessories,Central,7795.228000000002,1531.0477
2016,Technology,Accessories,Central,10802.213999999994,1888.0898999999997
2017,Technology,Accessories,Central,10919.664000000004,2941.231499999999
2015,Technology,Accessories,East,17911.435999999998,4688.4591
2016,Technology,Accessories,East,6231.378,1260.0029
