Category,SubCategory,Region,Value Column Name,Value
"Technology","Phones","Central","Sum of Sales","72403.282"
"Technology","Phones","Central","Sum of Quantity","713"
"Technology","Phones","East","Sum of Sales","100614.9820000001"
"Technology","Phones","East","Sum of Quantity","982"
"Technology","Phones","South","Sum of Sales","58304.437999999995"
"Technology","Phones","South","Sum of Quantity","526"
"Technology","Phones","West","Sum of Sales","98684.35199999997"
"Technology","Phones","West","Sum of Quantity","1068"
"Technology","Machines","Central","Sum of Sales","26797.384"
"Technology","Machines","Central","Sum of Quantity","66"
"Technology","Machines","East","Sum of Sales","66106.165"
"Technology","Machines","East","Sum of Quantity","165"
"Technology","Machines","South","Sum of Sales","53890.95999999999"
"Technology","Machines","South","Sum of Quantity","62"
"Technology","Machines","West","Sum of Sales","42444.122"
"Technology","Machines","West","Sum of Quantity","147"
"Technology","Accessories","Central","Sum of Sales","33956.076"
"Technology","Accessories","Central","Sum of Quantity","716"
"Technology","Accessories","East","Sum of Sales","45033.371999999974"
"Technology","Accessories","East","Sum of Quantity","724"
"Technology","Accessories","South","Sum of Sales","27276.753999999994"
"Technology","Accessories","South","Sum of Quantity","504"
"Technology","Accessories","West","Sum of Sales","61114.11600000006"
"Technology","Accessories","West","Sum of Quantity","1032"
"Technology","Copiers","Central","Sum of Sales","37259.56999999999"
"Technology","Copiers","Central","Sum of Quantity","49"
"Technology","Copiers","East","Sum of Sales","53219.46200000001"
"Technology","Copiers","East","Sum of Quantity","71"
"Technology","Copiers","South","Sum of Sales","9299.756"
"Technology","Copiers","South","Sum of Quantity","26"
"Technology","Copiers","West","Sum of Sales","49749.241999999984"
"Technology","Copiers","West","Sum of Quantity","88"
"Furniture","Chairs","Central","Sum of Sales","85230.64599999994"
"Furniture","Chairs","Central","Sum of Quantity","615"
"Furniture","Chairs","East","Sum of Sales","96260.683"
"Furniture","Chairs","East","Sum of Quantity","676"
"Furniture","Chairs","South","Sum of Sales","45176.44599999998"
"Furniture","Chairs","South","Sum of Quantity","331"
"Furniture","Chairs","West","Sum of Sales","101781.32799999992"
"Furniture","Chairs","West","Sum of Quantity","734"
"Furniture","Tables","Central","Sum of Sales","39154.97100000002"
"Furniture","Tables","Central","Sum of Quantity","262"
"Furniture","Tables","East","Sum of Sales","39139.80700000001"
"Furniture","Tables","East","Sum of Quantity","271"
"Furniture","Tables","South","Sum of Sales","43916.192"
"Furniture","Tables","South","Sum of Quantity","227"
"Furniture","Tables","West","Sum of Sales","84754.56200000005"
"Furniture","Tables","West","Sum of Quantity","481"
"Furniture","Bookcases","Central","Sum of Sales","24157.176799999994"
"Furniture","Bookcases","Central","Sum of Quantity","192"
"Furniture","Bookcases","East","Sum of Sales","43819.33399999998"
"Furniture","Bookcases","East","Sum of Quantity","252"
"Furniture","Bookcases","South","Sum of Sales","10899.362"
"Furniture","Bookcases","South","Sum of Quantity","118"
"Furniture","Bookcases","West","Sum of Sales","36004.123500000016"
"Furniture","Bookcases","West","Sum of Quantity","306"
"Furniture","Furnishings","Central","Sum of Sales","15254.369999999977"
"Furniture","Furnishings","Central","Sum of Quantity","758"
"Furniture","Furnishings","East","Sum of Sales","29071.37999999999"
"Furniture","Furnishings","East","Sum of Quantity","1015"
"Furniture","Furnishings","South","Sum of Sales","17306.684"
"Furniture","Furnishings","South","Sum of Quantity","615"
"Furniture","Furnishings","West","Sum of Sales","30072.72999999999"
"Furniture","Furnishings","West","Sum of Quantity","1175"
"Office Supplies","Storage","Central","Sum of Sales","45930.111999999994"
"Office Supplies","Storage","Central","Sum of Quantity","724"
"Office Supplies","Storage","East","Sum of Sales","71612.58400000003"
"Office Supplies","Storage","East","Sum of Quantity","907"
"Office Supplies","Storage","South","Sum of Sales","35768.059999999976"
"Office Supplies","Storage","South","Sum of Quantity","488"
"Office Supplies","Storage","West","Sum of Sales","70532.85199999994"
"Office Supplies","Storage","West","Sum of Quantity","1039"
"Office Supplies","Binders","Central","Sum of Sales","56923.28199999998"
"Office Supplies","Binders","Central","Sum of Quantity","1473"
"Office Supplies","Binders","East","Sum of Sales","53497.99699999999"
"Office Supplies","Binders","East","Sum of Quantity","1652"
"Office Supplies","Binders","South","Sum of Sales","37030.34100000001"
"Office Supplies","Binders","South","Sum of Quantity","981"
"Office Supplies","Binders","West","Sum of Sales","55961.113000000034"
"Office Supplies","Binders","West","Sum of Quantity","1868"
"Office Supplies","Appliances","Central","Sum of Sales","23582.03299999998"
"Office Supplies","Appliances","Central","Sum of Quantity","470"
"Office Supplies","Appliances","East","Sum of Sales","34188.46599999999"
"Office Supplies","Appliances","East","Sum of Quantity","474"
"Office Supplies","Appliances","South","Sum of Sales","19525.325999999997"
"Office Supplies","Appliances","South","Sum of Quantity","293"
"Office Supplies","Appliances","West","Sum of Sales","30236.335999999996"
"Office Supplies","Appliances","West","Sum of Quantity","492"
"Office Supplies","Paper","Central","Sum of Sales","17491.902000000002"
"Office Supplies","Paper","Central","Sum of Quantity","1225"
"Office Supplies","Paper","East","Sum of Sales","20172.60199999997"
"Office Supplies","Paper","East","Sum of Quantity","1400"
"Office Supplies","Paper","South","Sum of Sales","14150.983999999997"
"Office Supplies","Paper","South","Sum of Quantity","851"
"Office Supplies","Paper","West","Sum of Sales","26663.71799999998"
"Office Supplies","Paper","West","Sum of Quantity","1702"
"Office Supplies","Supplies","Central","Sum of Sales","9467.372"
"Office Supplies","Supplies","Central","Sum of Quantity","122"
"Office Supplies","Supplies","East","Sum of Sales","10760.116"
"Office Supplies","Supplies","East","Sum of Quantity","195"
"Office Supplies","Supplies","South","Sum of Sales","8318.928"
"Office Supplies","Supplies","South","Sum of Quantity","92"
"Office Supplies","Supplies","West","Sum of Sales","18127.121999999996"
"Office Supplies","Supplies","West","Sum of Quantity","238"
"Office Supplies","Art","Central","Sum of Sales","5765.339999999999"
"Office Supplies","Art","Central","Sum of Quantity","678"
"Office Supplies","Art","East","Sum of Sales","7485.7639999999965"
"Office Supplies","Art","East","Sum of Quantity","849"
"Office Supplies","Art","South","Sum of Sales","4655.622000000002"
"Office Supplies","Art","South","Sum of Quantity","547"
"Office Supplies","Art","West","Sum of Sales","9212.065999999992"
"Office Supplies","Art","West","Sum of Quantity","926"
"Office Supplies","Envelopes","Central","Sum of Sales","4636.872"
"Office Supplies","Envelopes","Central","Sum of Quantity","206"
"Office Supplies","Envelopes","East","Sum of Sales","4375.874"
"Office Supplies","Envelopes","East","Sum of Quantity","267"
"Office Supplies","Envelopes","South","Sum of Sales","3345.5560000000014"
"Office Supplies","Envelopes","South","Sum of Quantity","206"
"Office Supplies","Envelopes","West","Sum of Sales","4118.1"
"Office Supplies","Envelopes","West","Sum of Quantity","227"
"Office Supplies","Labels","Central","Sum of Sales","2451.472"
"Office Supplies","Labels","Central","Sum of Quantity","284"
"Office Supplies","Labels","East","Sum of Sales","2602.9339999999997"
"Office Supplies","Labels","East","Sum of Quantity","420"
"Office Supplies","Labels","South","Sum of Sales","2353.1799999999994"
"Office Supplies","Labels","South","Sum of Quantity","216"
"Office Supplies","Labels","West","Sum of Sales","5078.7260000000015"
"Office Supplies","Labels","West","Sum of Quantity","480"
"Office Supplies","Fasteners","Central","Sum of Sales","778.0300000000002"
"Office Supplies","Fasteners","Central","Sum of Quantity","227"
"Office Supplies","Fasteners","East","Sum of Sales","819.7179999999998"
"Office Supplies","Fasteners","East","Sum of Quantity","298"
"Office Supplies","Fasteners","South","Sum of Sales","503.31599999999986"
"Office Supplies","Fasteners","South","Sum of Quantity","126"
"Office Supplies","Fasteners","West","Sum of Sales","923.216"
"Office Supplies","Fasteners","West","Sum of Quantity","263"
