Region,Year,Value Column Name,Value
"Americas","2017","Sum of PY","909000"
"Americas","2017","Sum of PL","1018000"
"Americas","2017","Sum of FC","1077000"
"Americas","2017","Sum of AC","928000"
"Americas","2017","Sum of AC - Sum of PY","19000"
"Americas","2017","(Sum of AC - Sum of PY)%","0.020902090209020906"
"Americas","2017","Sum of AC - Sum of PL","-90000"
"Americas","2017","(Sum of AC - Sum of PL)%","-0.08840864440078584"
"Americas","2017","Sum of AC - Sum of FC","-149000"
"Americas","2017","(Sum of AC - Sum of FC)%","-0.13834726090993502"
"Americas","2017","Sum of PL - Sum of PY","109000"
"Americas","2017","(Sum of PL - Sum of PY)%","0.11991199119911991"
"Americas","2017","Sum of FC - Sum of PY","168000"
"Americas","2017","(Sum of FC - Sum of PY)%","0.1848184818481848"
"Americas","2017","Sum of FC - Sum of PL","59000"
"Americas","2017","(Sum of FC - Sum of PL)%","0.05795677799607073"
"Americas","2018","Sum of PY","372000"
"Americas","2018","Sum of PL","572000"
"Americas","2018","Sum of FC","800000"
"Americas","2018","Sum of AC","901000"
"Americas","2018","Sum of AC - Sum of PY","529000"
"Americas","2018","(Sum of AC - Sum of PY)%","1.4220430107526882"
"Americas","2018","Sum of AC - Sum of PL","329000"
"Americas","2018","(Sum of AC - Sum of PL)%","0.5751748251748252"
"Americas","2018","Sum of AC - Sum of FC","101000"
"Americas","2018","(Sum of AC - Sum of FC)%","0.12625"
"Americas","2018","Sum of PL - Sum of PY","200000"
"Americas","2018","(Sum of PL - Sum of PY)%","0.5376344086021505"
"Americas","2018","Sum of FC - Sum of PY","428000"
"Americas","2018","(Sum of FC - Sum of PY)%","1.1505376344086022"
"Americas","2018","Sum of FC - Sum of PL","228000"
"Americas","2018","(Sum of FC - Sum of PL)%","0.3986013986013986"
"Americas","2019","Sum of PY","841000"
"Americas","2019","Sum of PL","834000"
"Americas","2019","Sum of FC","1038000"
"Americas","2019","Sum of AC","1049000"
"Americas","2019","Sum of AC - Sum of PY","208000"
"Americas","2019","(Sum of AC - Sum of PY)%","0.2473246135552913"
"Americas","2019","Sum of AC - Sum of PL","215000"
"Americas","2019","(Sum of AC - Sum of PL)%","0.2577937649880096"
"Americas","2019","Sum of AC - Sum of FC","11000"
"Americas","2019","(Sum of AC - Sum of FC)%","0.010597302504816955"
"Americas","2019","Sum of PL - Sum of PY","-7000"
"Americas","2019","(Sum of PL - Sum of PY)%","-0.008323424494649227"
"Americas","2019","Sum of FC - Sum of PY","197000"
"Americas","2019","(Sum of FC - Sum of PY)%","0.2342449464922711"
