Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales)
January,2014,Furniture,Bookcases,1010.0550000000001
February,2014,Furniture,Bookcases,
March,2014,Furniture,Bookcases,1706.446
April,2014,Furniture,Bookcases,308.499
May,2014,Furniture,Bookcases,640.631
June,2014,Furniture,Bookcases,759.5736
July,2014,Furniture,Bookcases,1487.673
August,2014,Furniture,Bookcases,794.2760000000001
September,2014,Furniture,Bookcases,2394.4698
October,2014,Furniture,Bookcases,616.998
November,2014,Furniture,Bookcases,7263.713700000001
December,2014,Furniture,Bookcases,3054.3424999999997
January,2015,Furniture,Bookcases,1804.8475999999998
February,2015,Furniture,Bookcases,283.92
March,2015,Furniture,Bookcases,2625.422
April,2015,Furniture,Bookcases,875.71
May,2015,Furniture,Bookcases,1916.8174999999999
June,2015,Furniture,Bookcases,482.93999999999994
July,2015,Furniture,Bookcases,2860.384
August,2015,Furniture,Bookcases,3804.9642
September,2015,Furniture,Bookcases,10685.209
October,2015,Furniture,Bookcases,2173.771
November,2015,Furniture,Bookcases,8377.345
December,2015,Furniture,Bookcases,2652.2421999999997
January,2016,Furniture,Bookcases,2239.536
February,2016,Furniture,Bookcases,239.98
March,2016,Furniture,Bookcases,1091.855
April,2016,Furniture,Bookcases,1557.768
May,2016,Furniture,Bookcases,
June,2016,Furniture,Bookcases,2596.0429999999997
July,2016,Furniture,Bookcases,2540.651
August,2016,Furniture,Bookcases,562.2128
September,2016,Furniture,Bookcases,6656.9959
October,2016,Furniture,Bookcases,1376.448
November,2016,Furniture,Bookcases,5797.2748
December,2016,Furniture,Bookcases,1616.7019999999998
January,2017,Furniture,Bookcases,297.92
February,2017,Furniture,Bookcases,1125.7233999999999
March,2017,Furniture,Bookcases,1928.1927999999998
April,2017,Furniture,Bookcases,1978.5036
May,2017,Furniture,Bookcases,3732.1331999999993
June,2017,Furniture,Bookcases,5309.0727
July,2017,Furniture,Bookcases,1700.275
August,2017,Furniture,Bookcases,460.092
September,2017,Furniture,Bookcases,3635.8560000000007
October,2017,Furniture,Bookcases,4079.7262
November,2017,Furniture,Bookcases,2122.687
December,2017,Furniture,Bookcases,3654.0978
January,2014,Furniture,Chairs,4187.700000000001
February,2014,Furniture,Chairs,190.45800000000003
March,2014,Furniture,Chairs,5713.142
April,2014,Furniture,Chairs,3210.6659999999997
May,2014,Furniture,Chairs,3675.1090000000004
June,2014,Furniture,Chairs,6456.001
July,2014,Furniture,Chairs,6364.940000000001
August,2014,Furniture,Chairs,2590.2419999999997
September,2014,Furniture,Chairs,13849.185000000001
October,2014,Furniture,Chairs,6486.6050000000005
November,2014,Furniture,Chairs,7282.554000000001
December,2014,Furniture,Chairs,17234.974000000002
January,2015,Furniture,Chairs,3246.794
February,2015,Furniture,Chairs,2114.886
March,2015,Furniture,Chairs,4085.2329999999997
April,2015,Furniture,Chairs,4271.621
May,2015,Furniture,Chairs,5681.933
June,2015,Furniture,Chairs,3937.888
July,2015,Furniture,Chairs,7313.5610000000015
August,2015,Furniture,Chairs,1439.0140000000001
September,2015,Furniture,Chairs,9519.923999999999
October,2015,Furniture,Chairs,7103.531999999999
November,2015,Furniture,Chairs,12743.158
December,2015,Furniture,Chairs,10276.985
January,2016,Furniture,Chairs,1602.2240000000002
February,2016,Furniture,Chairs,1725.464
March,2016,Furniture,Chairs,6021.0380000000005
April,2016,Furniture,Chairs,8945.012
May,2016,Furniture,Chairs,7399.477
June,2016,Furniture,Chairs,2634.7599999999998
July,2016,Furniture,Chairs,5368.102000000002
August,2016,Furniture,Chairs,4891.534000000001
September,2016,Furniture,Chairs,11296.439999999997
October,2016,Furniture,Chairs,5910.879000000001
November,2016,Furniture,Chairs,13173.083
December,2016,Furniture,Chairs,14950.632000000001
January,2017,Furniture,Chairs,2248.451
February,2017,Furniture,Chairs,3552.132
March,2017,Furniture,Chairs,5524.914000000001
April,2017,Furniture,Chairs,2099.286
May,2017,Furniture,Chairs,9137.311
June,2017,Furniture,Chairs,8494.718
July,2017,Furniture,Chairs,3969.7480000000005
August,2017,Furniture,Chairs,9419.014000000003
September,2017,Furniture,Chairs,16911.668999999998
October,2017,Furniture,Chairs,4669.434
November,2017,Furniture,Chairs,14561.217999999999
December,2017,Furniture,Chairs,14966.457999999995
January,2014,Furniture,Furnishings,711.7700000000002
February,2014,Furniture,Furnishings,392.98
March,2014,Furniture,Furnishings,480.12800000000004
April,2014,Furniture,Furnishings,984.046
May,2014,Furniture,Furnishings,780.166
June,2014,Furniture,Furnishings,432.7499999999999
July,2014,Furniture,Furnishings,902.622
August,2014,Furniture,Furnishings,997.758
September,2014,Furniture,Furnishings,2960.9560000000006
October,2014,Furniture,Furnishings,621.8119999999999
November,2014,Furniture,Furnishings,2483.762
December,2014,Furniture,Furnishings,2077.4840000000004
January,2015,Furniture,Furnishings,1270.114
February,2015,Furniture,Furnishings,206.10399999999998
March,2015,Furniture,Furnishings,1435.958
April,2015,Furniture,Furnishings,2993.188
May,2015,Furniture,Furnishings,1532.194
June,2015,Furniture,Furnishings,2496.926
July,2015,Furniture,Furnishings,1458.1120000000008
August,2015,Furniture,Furnishings,800.2520000000001
September,2015,Furniture,Furnishings,2199.6240000000003
October,2015,Furniture,Furnishings,616.76
November,2015,Furniture,Furnishings,3549.8780000000006
December,2015,Furniture,Furnishings,2530.6020000000008
January,2016,Furniture,Furnishings,1066.5140000000001
February,2016,Furniture,Furnishings,851.9480000000001
March,2016,Furniture,Furnishings,2279.726
April,2016,Furniture,Furnishings,887.584
May,2016,Furniture,Furnishings,2844.2079999999996
June,2016,Furniture,Furnishings,1537.4240000000004
July,2016,Furniture,Furnishings,1866.5579999999998
August,2016,Furniture,Furnishings,810.5540000000001
September,2016,Furniture,Furnishings,3661.826000000001
October,2016,Furniture,Furnishings,2484.4820000000004
November,2016,Furniture,Furnishings,4034.7780000000007
December,2016,Furniture,Furnishings,5548.522000000002
January,2017,Furniture,Furnishings,931.2239999999999
February,2017,Furniture,Furnishings,864.642
March,2017,Furniture,Furnishings,963.234
April,2017,Furniture,Furnishings,2673.5439999999994
May,2017,Furniture,Furnishings,1736.8600000000004
June,2017,Furniture,Furnishings,1456.374
July,2017,Furniture,Furnishings,3381.76
August,2017,Furniture,Furnishings,1425.03
September,2017,Furniture,Furnishings,2982.504
October,2017,Furniture,Furnishings,1724.132
November,2017,Furniture,Furnishings,6714.122000000002
December,2017,Furniture,Furnishings,4061.6680000000006
January,2014,Furniture,Tables,333
February,2014,Furniture,Tables,1256.22
March,2014,Furniture,Tables,6674.24
April,2014,Furniture,Tables,3441.626
May,2014,Furniture,Tables,1816.8809999999999
June,2014,Furniture,Tables,5557.801
July,2014,Furniture,Tables,2065.8160000000003
August,2014,Furniture,Tables,2938.0705000000003
September,2014,Furniture,Tables,4611.870000000001
October,2014,Furniture,Tables,4578.832
November,2014,Furniture,Tables,4534.843
December,2014,Furniture,Tables,8279.166
January,2015,Furniture,Tables,5418.186000000001
February,2015,Furniture,Tables,529.4639999999999
March,2015,Furniture,Tables,4353.17
April,2015,Furniture,Tables,2335.1794999999997
May,2015,Furniture,Tables,244.00599999999997
June,2015,Furniture,Tables,796.4250000000001
July,2015,Furniture,Tables,2042.3629999999998
August,2015,Furniture,Tables,3594.362
September,2015,Furniture,Tables,3868.2660000000005
October,2015,Furniture,Tables,2132.5605
November,2015,Furniture,Tables,6210.451500000001
December,2015,Furniture,Tables,7625.99
January,2016,Furniture,Tables,2714.469
February,2016,Furniture,Tables,1108.159
March,2016,Furniture,Tables,3408.473
April,2016,Furniture,Tables,1821.7259999999999
May,2016,Furniture,Tables,4876.15
June,2016,Furniture,Tables,6302.345
July,2016,Furniture,Tables,3293.208
August,2016,Furniture,Tables,6218.931500000001
September,2016,Furniture,Tables,5647.619000000001
October,2016,Furniture,Tables,2100.768
November,2016,Furniture,Tables,8778.493
December,2016,Furniture,Tables,14562.858999999999
January,2017,Furniture,Tables,2486.437
February,2017,Furniture,Tables,1323.8400000000001
March,2017,Furniture,Tables,2477.104
April,2017,Furniture,Tables,2314.6245
May,2017,Furniture,Tables,2351.254
June,2017,Furniture,Tables,3748.422
July,2017,Furniture,Tables,2761.239
August,2017,Furniture,Tables,4137.738
September,2017,Furniture,Tables,5498.177
October,2017,Furniture,Tables,11410.775999999998
November,2017,Furniture,Tables,13658.688
December,2017,Furniture,Tables,8725.243
January,2014,Office Supplies,Appliances,312.58000000000004
February,2014,Office Supplies,Appliances,89.91999999999999
March,2014,Office Supplies,Appliances,502.962
April,2014,Office Supplies,Appliances,532.5799999999999
May,2014,Office Supplies,Appliances,918.596
June,2014,Office Supplies,Appliances,2275.246
July,2014,Office Supplies,Appliances,81.74000000000001
August,2014,Office Supplies,Appliances,2096.753
September,2014,Office Supplies,Appliances,2413.264
October,2014,Office Supplies,Appliances,430.79200000000003
November,2014,Office Supplies,Appliances,2633.832
December,2014,Office Supplies,Appliances,3025.36
January,2015,Office Supplies,Appliances,250.8
February,2015,Office Supplies,Appliances,568.3199999999999
March,2015,Office Supplies,Appliances,1300.6839999999997
April,2015,Office Supplies,Appliances,4355.624
May,2015,Office Supplies,Appliances,2111.9739999999997
June,2015,Office Supplies,Appliances,143.12799999999996
July,2015,Office Supplies,Appliances,150.356
August,2015,Office Supplies,Appliances,1005.5
September,2015,Office Supplies,Appliances,2165.7320000000004
October,2015,Office Supplies,Appliances,2428.807
November,2015,Office Supplies,Appliances,6611.966000000001
December,2015,Office Supplies,Appliances,2148.398
January,2016,Office Supplies,Appliances,64.864
February,2016,Office Supplies,Appliances,753.264
March,2016,Office Supplies,Appliances,2456.3680000000004
April,2016,Office Supplies,Appliances,508.416
May,2016,Office Supplies,Appliances,1917.668
June,2016,Office Supplies,Appliances,1901.362
July,2016,Office Supplies,Appliances,2380.596
August,2016,Office Supplies,Appliances,2854.78
September,2016,Office Supplies,Appliances,2526.4120000000003
October,2016,Office Supplies,Appliances,2956.4700000000003
November,2016,Office Supplies,Appliances,2978.0640000000003
December,2016,Office Supplies,Appliances,4752.0509999999995
January,2017,Office Supplies,Appliances,2548
February,2017,Office Supplies,Appliances,3521.482
March,2017,Office Supplies,Appliances,2473.614
April,2017,Office Supplies,Appliances,645.166
May,2017,Office Supplies,Appliances,2577.7120000000004
June,2017,Office Supplies,Appliances,3159.7239999999997
July,2017,Office Supplies,Appliances,1210.562
August,2017,Office Supplies,Appliances,7104.625999999999
September,2017,Office Supplies,Appliances,3087.620000000001
October,2017,Office Supplies,Appliances,3335.5280000000002
November,2017,Office Supplies,Appliances,6746.07
December,2017,Office Supplies,Appliances,6516.8279999999995
January,2014,Office Supplies,Art,176.98999999999998
February,2014,Office Supplies,Art,73.664
March,2014,Office Supplies,Art,413.26800000000003
April,2014,Office Supplies,Art,567.9159999999999
May,2014,Office Supplies,Art,288.21999999999997
June,2014,Office Supplies,Art,686.1120000000001
July,2014,Office Supplies,Art,256.0400000000001
August,2014,Office Supplies,Art,203.662
September,2014,Office Supplies,Art,759.8600000000001
October,2014,Office Supplies,Art,553.526
November,2014,Office Supplies,Art,613.616
December,2014,Office Supplies,Art,1465.1080000000002
January,2015,Office Supplies,Art,149.344
February,2015,Office Supplies,Art,413.2539999999999
March,2015,Office Supplies,Art,137.59599999999998
April,2015,Office Supplies,Art,477.23400000000015
May,2015,Office Supplies,Art,696.32
June,2015,Office Supplies,Art,394.318
July,2015,Office Supplies,Art,234.112
August,2015,Office Supplies,Art,402.138
September,2015,Office Supplies,Art,1120.568
October,2015,Office Supplies,Art,273.24999999999994
November,2015,Office Supplies,Art,1026.6539999999998
December,2015,Office Supplies,Art,912.0459999999998
January,2016,Office Supplies,Art,153.706
February,2016,Office Supplies,Art,383.264
March,2016,Office Supplies,Art,309.02599999999995
April,2016,Office Supplies,Art,743.716
May,2016,Office Supplies,Art,606.2919999999998
June,2016,Office Supplies,Art,118.166
July,2016,Office Supplies,Art,708.9499999999998
August,2016,Office Supplies,Art,351.47399999999993
September,2016,Office Supplies,Art,809.2679999999998
October,2016,Office Supplies,Art,454.04200000000003
November,2016,Office Supplies,Art,926.722
December,2016,Office Supplies,Art,396.28199999999987
January,2017,Office Supplies,Art,434.3299999999999
February,2017,Office Supplies,Art,247.332
March,2017,Office Supplies,Art,442.084
April,2017,Office Supplies,Art,618.2939999999998
May,2017,Office Supplies,Art,639.9980000000002
June,2017,Office Supplies,Art,1019.0999999999999
