Sales Data (Columnar).Time Period.Variation.Date Hierarchy.Month,Sum(With Actual budget.Additional 2),Sum(With Actual budget.Additional 1)
January,5614865703.06001,3118967983
February,5614865703.06001,3118967983
March,5614865703.06001,3118967983
April,5614865703.06001,3118967983
May,5614865703.06001,3118967983
June,5614865703.06001,3118967983
July,5614865703.06001,3118967983
August,5614865703.06001,3118967983
September,5614865703.06001,3118967983
October,5614865703.06001,3118967983
November,5614865703.06001,3118967983
December,5614865703.06001,3118967983
