Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Sum(Orders.Profit)
2014,Furniture,5457.725499999991
2015,Furniture,3015.2029
2016,Furniture,6959.953099999986
2017,Furniture,3018.3913000000134
2014,Office Supplies,22593.416100000028
2015,Office Supplies,25099.53380000007
2016,Office Supplies,35061.229200000045
2017,Office Supplies,39736.62169999988
2014,Technology,21492.832499999986
2015,Technology,33503.866999999984
2016,Technology,39773.99199999999
2017,Technology,50684.25659999993
