SanityReport.Year,SanityReport.City,Sum(SanityReport.PY)
2017,Brisbane,266000
2018,Brisbane,46000
2019,Brisbane,70000
2017,Gothenburg,112000
2018,Gothenburg,130000
2019,Gothenburg,101000
2017,Beijing,104000
2018,Beijing,92000
2019,Beijing,145000
2017,Flanders,118000
2018,Flanders,95000
2019,Flanders,128000
2017,Stockholm,84000
2018,Stockholm,131000
2019,Stockholm,117000
2017,Rio,104000
2018,Rio,78000
2019,Rio,131000
2017,Shangai,108000
2018,Shangai,109000
2019,Shangai,96000
2017,California,90000
2018,California,81000
2019,California,139000
2017,Tokyo,112000
2018,Tokyo,59000
2019,Tokyo,139000
2017,New York,92000
2018,New York,119000
2019,New York,96000
2017,Texas,111000
2018,Texas,141000
2019,Texas,51000
2017,Chengdu,96000
2018,Chengdu,117000
2019,Chengdu,80000
2017,Chicago,111000
2018,Chicago,93000
2019,Chicago,85000
2017,Seoul,134000
2018,Seoul,78000
2019,Seoul,66000
2017,Malmo,80000
2018,Malmo,84000
2019,Malmo,101000
2017,Vancouver,42000
2018,Vancouver,102000
2019,Vancouver,111000
2017,Warsaw,0
2018,Warsaw,103000
2019,Warsaw,144000
2017,Hiroshima,117000
2018,Hiroshima,62000
2019,Hiroshima,67000
2017,Frankfurt,0
2018,Frankfurt,100000
2019,Frankfurt,142000
2017,Sydney,54000
2018,Sydney,38000
2019,Sydney,147000
2017,Marseille,107000
2018,Marseille,0
2019,Marseille,101000
2017,Lublin,0
2018,Lublin,79000
2019,Lublin,128000
2017,Brussels,0
2018,Brussels,78000
2019,Brussels,112000
2017,Yokohoma,35000
2018,Yokohoma,66000
2019,Yokohoma,73000
2017,Salvador,121000
2018,Salvador,0
2019,Salvador,52000
2017,Paris,89000
2018,Paris,0
2019,Paris,51000
2017,Finland,77000
2018,Finland,0
2019,Finland,50000
2017,Melbourne,9000
2018,Melbourne,96000
2019,Melbourne,
2017,Toronto,59000
2018,Toronto,0
2019,Toronto,35000
2017,Montreal,107000
2018,Montreal,-120000
2019,Montreal,86000
2017,Berlin,0
2018,Berlin,
2019,Berlin,48000
2017,Manaus,72000
2018,Manaus,-122000
2019,Manaus,55000
