Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Sum(Orders.Quantity)
2014,Accessories,580
2015,Accessories,635
2016,Accessories,682
2017,Accessories,1079
2014,Appliances,314
2015,Appliances,365
2016,Appliances,396
2017,Appliances,654
2014,Art,613
2015,Art,608
2016,Art,678
2017,Art,1101
2014,Binders,1089
2015,Binders,1215
2016,Binders,1603
2017,Binders,2067
2014,Bookcases,153
2015,Bookcases,242
2016,Bookcases,197
2017,Bookcases,276
2014,Chairs,540
2015,Chairs,528
2016,Chairs,614
2017,Chairs,674
2014,Copiers,29
2015,Copiers,63
2016,Copiers,69
2017,Copiers,73
2014,Envelopes,206
2015,Envelopes,237
2016,Envelopes,222
2017,Envelopes,241
2014,Fasteners,201
2015,Fasteners,176
2016,Fasteners,288
2017,Fasteners,249
2014,Furnishings,660
2015,Furnishings,770
2016,Furnishings,1036
2017,Furnishings,1097
2014,Labels,326
2015,Labels,263
2016,Labels,363
2017,Labels,448
2014,Machines,96
2015,Machines,94
2016,Machines,129
2017,Machines,121
2014,Paper,1017
2015,Paper,1087
2016,Paper,1372
2017,Paper,1702
2014,Phones,684
2015,Phones,697
2016,Phones,818
2017,Phones,1090
2014,Storage,673
2015,Storage,655
2016,Storage,808
2017,Storage,1022
2014,Supplies,130
2015,Supplies,109
2016,Supplies,216
2017,Supplies,192
2014,Tables,270
2015,Tables,235
2016,Tables,346
2017,Tables,390
