Orders.Order Date.Variation.Date Hierarchy.Year,Orders.City,Sum(Orders.Quantity)
2014,Aberdeen,
2015,Aberdeen,
2016,Aberdeen,
2017,Aberdeen,3
2014,Abilene,
2015,Abilene,
2016,Abilene,
2017,Abilene,2
2014,Akron,10
2015,Akron,13
2016,Akron,15
2017,Akron,27
2014,Albuquerque,14
2015,Albuquerque,
2016,Albuquerque,
2017,Albuquerque,51
2014,Alexandria,58
2015,Alexandria,14
2016,Alexandria,5
2017,Alexandria,7
2014,Allen,
2015,Allen,13
2016,Allen,
2017,Allen,
2014,Allentown,
2015,Allentown,16
2016,Allentown,4
2017,Allentown,
2014,Altoona,
2015,Altoona,9
2016,Altoona,
2017,Altoona,
2014,Amarillo,
2015,Amarillo,12
2016,Amarillo,18
2017,Amarillo,2
2014,Anaheim,14
2015,Anaheim,23
2016,Anaheim,53
2017,Anaheim,22
2014,Andover,
2015,Andover,
2016,Andover,13
2017,Andover,
2014,Ann Arbor,
2015,Ann Arbor,23
2016,Ann Arbor,
2017,Ann Arbor,
2014,Antioch,
2015,Antioch,
2016,Antioch,3
2017,Antioch,
2014,Apopka,18
2015,Apopka,
2016,Apopka,13
2017,Apopka,
2014,Apple Valley,2
2015,Apple Valley,
2016,Apple Valley,5
2017,Apple Valley,25
2014,Appleton,7
2015,Appleton,
2016,Appleton,5
2017,Appleton,
2014,Arlington,39
2015,Arlington,76
2016,Arlington,88
2017,Arlington,56
2014,Arlington Heights,
2015,Arlington Heights,
2016,Arlington Heights,6
2017,Arlington Heights,
2014,Arvada,
2015,Arvada,
2016,Arvada,10
2017,Arvada,
2014,Asheville,4
2015,Asheville,
2016,Asheville,5
2017,Asheville,19
2014,Athens,18
2015,Athens,
2016,Athens,6
2017,Athens,6
2014,Atlanta,20
2015,Atlanta,52
2016,Atlanta,31
2017,Atlanta,53
2014,Atlantic City,
2015,Atlantic City,
2016,Atlantic City,2
2017,Atlantic City,
2014,Auburn,
2015,Auburn,20
2016,Auburn,42
2017,Auburn,18
2014,Aurora,22
2015,Aurora,74
2016,Aurora,83
2017,Aurora,79
2014,Austin,6
2015,Austin,29
2016,Austin,29
2017,Austin,67
2014,Avondale,19
2015,Avondale,11
2016,Avondale,
2017,Avondale,
2014,Bakersfield,
2015,Bakersfield,5
2016,Bakersfield,13
2017,Bakersfield,29
2014,Baltimore,20
2015,Baltimore,49
2016,Baltimore,32
2017,Baltimore,83
2014,Bangor,24
2015,Bangor,
2016,Bangor,5
2017,Bangor,
2014,Bartlett,
2015,Bartlett,8
2016,Bartlett,
2017,Bartlett,
2014,Bayonne,
2015,Bayonne,9
2016,Bayonne,
2017,Bayonne,
2014,Baytown,
2015,Baytown,2
2016,Baytown,
2017,Baytown,
2014,Beaumont,19
2015,Beaumont,
2016,Beaumont,
2017,Beaumont,2
2014,Bedford,
2015,Bedford,4
2016,Bedford,
2017,Bedford,21
2014,Belleville,
2015,Belleville,
2016,Belleville,23
2017,Belleville,9
2014,Bellevue,2
2015,Bellevue,4
2016,Bellevue,3
2017,Bellevue,9
2014,Bellingham,
2015,Bellingham,
2016,Bellingham,
2017,Bellingham,24
2014,Bethlehem,
2015,Bethlehem,4
2016,Bethlehem,14
2017,Bethlehem,
2014,Beverly,15
2015,Beverly,
2016,Beverly,
2017,Beverly,
2014,Billings,2
2015,Billings,
2016,Billings,
2017,Billings,
2014,Bloomington,31
2015,Bloomington,14
2016,Bloomington,6
2017,Bloomington,7
2014,Boca Raton,2
2015,Boca Raton,
2016,Boca Raton,6
2017,Boca Raton,
2014,Boise,
2015,Boise,6
2016,Boise,
2017,Boise,3
2014,Bolingbrook,5
2015,Bolingbrook,16
2016,Bolingbrook,
2017,Bolingbrook,2
2014,Bossier City,24
2015,Bossier City,
2016,Bossier City,
2017,Bossier City,
2014,Bowling Green,2
2015,Bowling Green,9
2016,Bowling Green,4
2017,Bowling Green,15
2014,Boynton Beach,3
2015,Boynton Beach,
2016,Boynton Beach,13
2017,Boynton Beach,12
2014,Bozeman,
2015,Bozeman,5
2016,Bozeman,
2017,Bozeman,
2014,Brentwood,23
2015,Brentwood,2
2016,Brentwood,
2017,Brentwood,41
2014,Bridgeton,
2015,Bridgeton,
2016,Bridgeton,6
2017,Bridgeton,
2014,Bristol,17
2015,Bristol,4
2016,Bristol,10
2017,Bristol,
2014,Broken Arrow,
2015,Broken Arrow,6
2016,Broken Arrow,11
2017,Broken Arrow,
2014,Broomfield,
2015,Broomfield,
2016,Broomfield,23
2017,Broomfield,
2014,Brownsville,24
2015,Brownsville,
2016,Brownsville,
2017,Brownsville,3
2014,Bryan,
2015,Bryan,
2016,Bryan,12
2017,Bryan,15
2014,Buffalo,19
2015,Buffalo,13
2016,Buffalo,7
2017,Buffalo,7
2014,Buffalo Grove,10
2015,Buffalo Grove,
2016,Buffalo Grove,
2017,Buffalo Grove,
2014,Bullhead City,
2015,Bullhead City,3
2016,Bullhead City,
2017,Bullhead City,
2014,Burbank,13
2015,Burbank,
2016,Burbank,
2017,Burbank,
2014,Burlington,
2015,Burlington,8
2016,Burlington,30
2017,Burlington,67
2014,Caldwell,11
2015,Caldwell,
2016,Caldwell,
2017,Caldwell,
2014,Camarillo,
2015,Camarillo,13
2016,Camarillo,
2017,Camarillo,3
2014,Cambridge,
2015,Cambridge,14
2016,Cambridge,
2017,Cambridge,5
2014,Canton,
2015,Canton,
2016,Canton,
2017,Canton,13
2014,Carlsbad,
2015,Carlsbad,
2016,Carlsbad,11
2017,Carlsbad,24
2014,Carol Stream,
2015,Carol Stream,18
2016,Carol Stream,
2017,Carol Stream,
2014,Carrollton,5
2015,Carrollton,17
2016,Carrollton,13
2017,Carrollton,15
2014,Cary,16
2015,Cary,3
2016,Cary,
2017,Cary,
2014,Cedar Hill,3
2015,Cedar Hill,
2016,Cedar Hill,
2017,Cedar Hill,3
2014,Cedar Rapids,
2015,Cedar Rapids,
2016,Cedar Rapids,3
2017,Cedar Rapids,
2014,Champaign,
2015,Champaign,5
2016,Champaign,
2017,Champaign,
2014,Chandler,9
2015,Chandler,
2016,Chandler,
2017,Chandler,14
2014,Chapel Hill,
2015,Chapel Hill,
2016,Chapel Hill,
2017,Chapel Hill,3
2014,Charlotte,58
2015,Charlotte,7
2016,Charlotte,81
2017,Charlotte,97
2014,Charlottesville,
2015,Charlottesville,4
2016,Charlottesville,
2017,Charlottesville,3
2014,Chattanooga,
2015,Chattanooga,
2016,Chattanooga,10
2017,Chattanooga,28
2014,Chesapeake,42
2015,Chesapeake,12
2016,Chesapeake,13
2017,Chesapeake,5
2014,Chester,11
2015,Chester,29
2016,Chester,
2017,Chester,15
2014,Cheyenne,
2015,Cheyenne,
2016,Cheyenne,4
2017,Cheyenne,
2014,Chicago,249
2015,Chicago,189
2016,Chicago,300
2017,Chicago,394
2014,Chico,
2015,Chico,21
2016,Chico,
2017,Chico,22
2014,Chula Vista,3
2015,Chula Vista,6
2016,Chula Vista,4
2017,Chula Vista,
