Orders.Order Date.Variation.Date Hierarchy.Year,Orders.City,Sum(Orders.Profit)
2014,Aberdeen,
2015,Aberdeen,
2016,Aberdeen,
2017,Aberdeen,6.63
2014,Abilene,
2015,Abilene,
2016,Abilene,
2017,Abilene,-3.758400000000001
2014,Akron,4.914000000000005
2015,Akron,-92.83680000000003
2016,Akron,-50.52620000000001
2017,Akron,-48.186600000000105
2014,Albuquerque,137.5475
2015,Albuquerque,
2016,Albuquerque,
2017,Albuquerque,496.54060000000004
2014,Alexandria,224.70910000000006
2015,Alexandria,69.1992
2016,Alexandria,12.18
2017,Alexandria,12.530000000000001
2014,Allen,
2015,Allen,-39.87750000000001
2016,Allen,
2017,Allen,
2014,Allentown,
2015,Allentown,-230.16319999999996
2016,Allentown,3.7128000000000014
2017,Allentown,
2014,Altoona,
2015,Altoona,-1.1835000000000022
2016,Altoona,
2017,Altoona,
2014,Amarillo,
2015,Amarillo,-276.8926999999999
2016,Amarillo,-74.84040000000005
2017,Amarillo,-36.235200000000006
2014,Anaheim,43.26360000000007
2015,Anaheim,272.58299999999997
2016,Anaheim,375.90379999999993
2017,Anaheim,542.2532
2014,Andover,
2015,Andover,
2016,Andover,124.18860000000002
2017,Andover,
2014,Ann Arbor,
2015,Ann Arbor,228.91579999999996
2016,Ann Arbor,
2017,Ann Arbor,
2014,Antioch,
2015,Antioch,
2016,Antioch,9.3312
2017,Antioch,
2014,Apopka,34.69839999999999
2015,Apopka,
2016,Apopka,19.664999999999942
2017,Apopka,
2014,Apple Valley,6.464999999999989
2015,Apple Valley,
2016,Apple Valley,7.04899999999995
2017,Apple Valley,279.07499999999993
2014,Appleton,10.348799999999999
2015,Appleton,
2016,Appleton,544.4174999999998
2017,Appleton,
2014,Arlington,-21.216099999999912
2015,Arlington,841.1520999999996
2016,Arlington,3192.037199999999
2017,Arlington,157.72369999999984
2014,Arlington Heights,
2015,Arlington Heights,
2016,Arlington Heights,1.2348000000000008
2017,Arlington Heights,
2014,Arvada,
2015,Arvada,
2016,Arvada,59.85559999999998
2017,Arvada,
2014,Asheville,-2.979000000000003
2015,Asheville,
2016,Asheville,85.2475
2017,Asheville,-4.761099999999996
2014,Athens,346.6222
2015,Athens,
2016,Athens,48.2565
2017,Athens,84.4434
2014,Atlanta,109.02189999999997
2015,Atlanta,3600.9049999999997
2016,Atlanta,1051.4656
2017,Atlanta,2232.2704000000003
2014,Atlantic City,
2015,Atlantic City,
2016,Atlantic City,11.68
2017,Atlantic City,
2014,Auburn,
2015,Auburn,289.0037
2016,Auburn,344.26349999999996
2017,Auburn,101.64950000000003
2014,Aurora,-184.5873
2015,Aurora,-1062.2893000000001
2016,Aurora,-953.2295000000003
2017,Aurora,-491.63250000000045
2014,Austin,265.4232
2015,Austin,80.92059999999994
2016,Austin,-70.88100000000014
2017,Austin,-295.8566000000003
2014,Avondale,70.49819999999991
2015,Avondale,5.670799999999997
2016,Avondale,
2017,Avondale,
2014,Bakersfield,
2015,Bakersfield,-7.333800000000016
2016,Bakersfield,32.357299999999995
2017,Bakersfield,162.90120000000002
2014,Baltimore,202.35180000000003
2015,Baltimore,354.8949
2016,Baltimore,176.71039999999996
2017,Baltimore,942.2409
2014,Bangor,256.9266
2015,Bangor,
2016,Bangor,165.29379999999998
2017,Bangor,
2014,Bartlett,
2015,Bartlett,10.007999999999988
2016,Bartlett,
2017,Bartlett,
2014,Bayonne,
2015,Bayonne,79.40299999999999
2016,Bayonne,
2017,Bayonne,
2014,Baytown,
2015,Baytown,3.6288
2016,Baytown,
2017,Baytown,
2014,Beaumont,58.15879999999998
2015,Beaumont,
2016,Beaumont,
2017,Beaumont,0.9575999999999993
2014,Bedford,
2015,Bedford,6.811999999999999
2016,Bedford,
2017,Bedford,3.8081999999999887
2014,Belleville,
2015,Belleville,
2016,Belleville,134.7600000000001
2017,Belleville,148.8892
2014,Bellevue,6.2208000000000006
2015,Bellevue,9.4248
2016,Bellevue,7.604999999999998
2017,Bellevue,13.804199999999998
2014,Bellingham,
2015,Bellingham,
2016,Bellingham,
2017,Bellingham,610.5908000000002
2014,Bethlehem,
2015,Bethlehem,-12.552799999999996
2016,Bethlehem,-990.5429999999999
2017,Bethlehem,
2014,Beverly,654.9193999999998
2015,Beverly,
2016,Beverly,
2017,Beverly,
2014,Billings,2.693599999999999
2015,Billings,
2016,Billings,
2017,Billings,
2014,Bloomington,-284.4182000000001
2015,Bloomington,-37.3454
2016,Bloomington,59.50949999999998
2017,Bloomington,12.899099999999999
2014,Boca Raton,1.6704
2015,Boca Raton,
2016,Boca Raton,-24.315999999999995
2017,Boca Raton,
2014,Boise,
2015,Boise,184.1499
2016,Boise,
2017,Boise,37.787400000000005
2014,Bolingbrook,-16.467000000000002
2015,Bolingbrook,-4.898000000000005
2016,Bolingbrook,
2017,Bolingbrook,16.703999999999986
2014,Bossier City,336.9608
2015,Bossier City,
2016,Bossier City,
2017,Bossier City,
2014,Bowling Green,19.823999999999998
2015,Bowling Green,55.54709999999992
2016,Bowling Green,35.3546
2017,Bowling Green,106.3359999999999
2014,Boynton Beach,5.4432
2015,Boynton Beach,
2016,Boynton Beach,25.108199999999997
2017,Boynton Beach,20.110100000000003
2014,Bozeman,
2015,Bozeman,20.8106
2016,Bozeman,
2017,Bozeman,
2014,Brentwood,196.26839999999987
2015,Brentwood,35.156000000000006
2016,Brentwood,
2017,Brentwood,985.386
2014,Bridgeton,
2015,Bridgeton,
2016,Bridgeton,3.4415999999999993
2017,Bridgeton,
2014,Bristol,133.12840000000003
2015,Bristol,-30.040299999999988
2016,Bristol,-21.4518
2017,Bristol,
2014,Broken Arrow,
2015,Broken Arrow,213.70440000000002
2016,Broken Arrow,361.81820000000005
2017,Broken Arrow,
2014,Broomfield,
2015,Broomfield,
2016,Broomfield,62.444999999999936
2017,Broomfield,
2014,Brownsville,216.87959999999998
2015,Brownsville,
2016,Brownsville,
2017,Brownsville,-14.807600000000026
2014,Bryan,
2015,Bryan,
2016,Bryan,-179.2486
2017,Bryan,-34.46300000000001
2014,Buffalo,727.0908999999996
2015,Buffalo,205.88680000000005
2016,Buffalo,16.703400000000016
2017,Buffalo,43.19799999999999
2014,Buffalo Grove,-89.64780000000006
2015,Buffalo Grove,
2016,Buffalo Grove,
2017,Buffalo Grove,
2014,Bullhead City,
2015,Bullhead City,6.723199999999999
2016,Bullhead City,
2017,Bullhead City,
2014,Burbank,764.5337999999998
2015,Burbank,
2016,Burbank,
2017,Burbank,
2014,Burlington,
2015,Burlington,1191.9270000000001
2016,Burlington,589.5677999999998
2017,Burlington,-5404.371999999999
2014,Caldwell,58.69659999999997
2015,Caldwell,
2016,Caldwell,
2017,Caldwell,
2014,Camarillo,
2015,Camarillo,151.57789999999986
2016,Camarillo,
2017,Camarillo,7.2177
2014,Cambridge,
2015,Cambridge,137.05759999999998
2016,Cambridge,
2017,Cambridge,36.67
2014,Canton,
2015,Canton,
2016,Canton,
2017,Canton,149.2776
