15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.Pack)
2012,Qtr 1,WEST BURLINGTON,
2013,Qtr 1,WEST BURLINGTON,42
2014,Qtr 1,WEST BURLINGTON,12
2015,Qtr 1,WEST BURLINGTON,6
2012,Qtr 1,WEST DES MOINES,306
2013,Qtr 1,WEST DES MOINES,328
2014,Qtr 1,WEST DES MOINES,426
2015,Qtr 1,WEST DES MOINES,229
2012,Qtr 1,WEST LIBERTY,
2013,Qtr 1,WEST LIBERTY,12
2014,Qtr 1,WEST LIBERTY,18
2015,Qtr 1,WEST LIBERTY,
2012,Qtr 1,WEST POINT,
2013,Qtr 1,WEST POINT,
2014,Qtr 1,WEST POINT,18
2015,Qtr 1,WEST POINT,
2012,Qtr 1,WEST UNION,24
2013,Qtr 1,WEST UNION,6
2014,Qtr 1,WEST UNION,
2015,Qtr 1,WEST UNION,12
2012,Qtr 1,WILLIAMSBURG,6
2013,Qtr 1,WILLIAMSBURG,24
2014,Qtr 1,WILLIAMSBURG,
2015,Qtr 1,WILLIAMSBURG,
2012,Qtr 1,WILTON,
2013,Qtr 1,WILTON,
2014,Qtr 1,WILTON,1
2015,Qtr 1,WILTON,6
2012,Qtr 1,WINDSOR HEIGHTS,108
2013,Qtr 1,WINDSOR HEIGHTS,42
2014,Qtr 1,WINDSOR HEIGHTS,102
2015,Qtr 1,WINDSOR HEIGHTS,150
2012,Qtr 1,WINTERSET,12
2013,Qtr 1,WINTERSET,24
2014,Qtr 1,WINTERSET,
2015,Qtr 1,WINTERSET,30
2012,Qtr 1,WINTHROP,12
2013,Qtr 1,WINTHROP,
2014,Qtr 1,WINTHROP,
2015,Qtr 1,WINTHROP,
