15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Pack)
2012,Qtr 3,,30
2013,Qtr 3,,42
2014,Qtr 3,,18
2015,Qtr 3,,
2012,Qtr 3,Adair,36
2013,Qtr 3,Adair,12
2014,Qtr 3,Adair,6
2015,Qtr 3,Adair,
2012,Qtr 3,Adams,12
2013,Qtr 3,Adams,12
2014,Qtr 3,Adams,6
2015,Qtr 3,Adams,12
2012,Qtr 3,Allamakee,108
2013,Qtr 3,Allamakee,48
2014,Qtr 3,Allamakee,30
2015,Qtr 3,Allamakee,18
2012,Qtr 3,Appanoose,24
2013,Qtr 3,Appanoose,30
2014,Qtr 3,Appanoose,18
2015,Qtr 3,Appanoose,42
2012,Qtr 3,Audubon,18
2013,Qtr 3,Audubon,30
2014,Qtr 3,Audubon,12
2015,Qtr 3,Audubon,
2012,Qtr 3,Benton,54
2013,Qtr 3,Benton,66
2014,Qtr 3,Benton,78
2015,Qtr 3,Benton,30
2012,Qtr 3,Black Hawk,340
2013,Qtr 3,Black Hawk,682
2014,Qtr 3,Black Hawk,698
2015,Qtr 3,Black Hawk,1188
2012,Qtr 3,Boone,72
2013,Qtr 3,Boone,60
2014,Qtr 3,Boone,162
2015,Qtr 3,Boone,66
2012,Qtr 3,Bremer,150
2013,Qtr 3,Bremer,186
2014,Qtr 3,Bremer,90
2015,Qtr 3,Bremer,90
2012,Qtr 3,Buchanan,90
2013,Qtr 3,Buchanan,72
2014,Qtr 3,Buchanan,78
2015,Qtr 3,Buchanan,76
2012,Qtr 3,Buena Vista,120
2013,Qtr 3,Buena Vista,132
2014,Qtr 3,Buena Vista,146
2015,Qtr 3,Buena Vista,84
2012,Qtr 3,Butler,48
2013,Qtr 3,Butler,72
2014,Qtr 3,Butler,48
2015,Qtr 3,Butler,
2012,Qtr 3,Calhoun,12
2013,Qtr 3,Calhoun,24
2014,Qtr 3,Calhoun,66
2015,Qtr 3,Calhoun,6
2012,Qtr 3,Carroll,150
2013,Qtr 3,Carroll,60
2014,Qtr 3,Carroll,78
2015,Qtr 3,Carroll,56
2012,Qtr 3,Cass,72
2013,Qtr 3,Cass,54
2014,Qtr 3,Cass,90
2015,Qtr 3,Cass,12
2012,Qtr 3,Cedar,18
2013,Qtr 3,Cedar,36
2014,Qtr 3,Cedar,102
2015,Qtr 3,Cedar,36
2012,Qtr 3,Cerro Gordo,174
2013,Qtr 3,Cerro Gordo,342
2014,Qtr 3,Cerro Gordo,270
2015,Qtr 3,Cerro Gordo,222
2012,Qtr 3,Cherokee,60
2013,Qtr 3,Cherokee,60
2014,Qtr 3,Cherokee,6
2015,Qtr 3,Cherokee,72
2012,Qtr 3,Chickasaw,
2013,Qtr 3,Chickasaw,12
2014,Qtr 3,Chickasaw,66
2015,Qtr 3,Chickasaw,24
2012,Qtr 3,Clarke,34
2013,Qtr 3,Clarke,6
2014,Qtr 3,Clarke,12
2015,Qtr 3,Clarke,24
2012,Qtr 3,Clay,60
2013,Qtr 3,Clay,90
2014,Qtr 3,Clay,162
2015,Qtr 3,Clay,143
2012,Qtr 3,Clayton,36
2013,Qtr 3,Clayton,42
2014,Qtr 3,Clayton,108
2015,Qtr 3,Clayton,76
2012,Qtr 3,Clinton,120
2013,Qtr 3,Clinton,162
2014,Qtr 3,Clinton,42
2015,Qtr 3,Clinton,150
2012,Qtr 3,Crawford,96
2013,Qtr 3,Crawford,88
2014,Qtr 3,Crawford,36
2015,Qtr 3,Crawford,36
2012,Qtr 3,Dallas,118
2013,Qtr 3,Dallas,157
2014,Qtr 3,Dallas,150
2015,Qtr 3,Dallas,160
2012,Qtr 3,Davis,6
2013,Qtr 3,Davis,
2014,Qtr 3,Davis,
2015,Qtr 3,Davis,24
2012,Qtr 3,Delaware,
2013,Qtr 3,Delaware,12
2014,Qtr 3,Delaware,24
2015,Qtr 3,Delaware,36
2012,Qtr 3,Des Moines,198
2013,Qtr 3,Des Moines,184
2014,Qtr 3,Des Moines,277
2015,Qtr 3,Des Moines,284
2012,Qtr 3,Dickinson,228
2013,Qtr 3,Dickinson,282
2014,Qtr 3,Dickinson,157
2015,Qtr 3,Dickinson,186
2012,Qtr 3,Dubuque,294
2013,Qtr 3,Dubuque,252
2014,Qtr 3,Dubuque,480
2015,Qtr 3,Dubuque,367
2012,Qtr 3,Emmet,18
2013,Qtr 3,Emmet,24
2014,Qtr 3,Emmet,12
2015,Qtr 3,Emmet,30
2012,Qtr 3,Fayette,18
2013,Qtr 3,Fayette,54
2014,Qtr 3,Fayette,30
2015,Qtr 3,Fayette,30
2012,Qtr 3,Floyd,42
2013,Qtr 3,Floyd,48
2014,Qtr 3,Floyd,78
2015,Qtr 3,Floyd,36
2012,Qtr 3,Franklin,18
2013,Qtr 3,Franklin,60
2014,Qtr 3,Franklin,
2015,Qtr 3,Franklin,12
2012,Qtr 3,Fremont,12
2013,Qtr 3,Fremont,
2014,Qtr 3,Fremont,
2015,Qtr 3,Fremont,
2012,Qtr 3,Greene,54
2013,Qtr 3,Greene,36
2014,Qtr 3,Greene,36
2015,Qtr 3,Greene,24
2012,Qtr 3,Grundy,24
2013,Qtr 3,Grundy,48
2014,Qtr 3,Grundy,42
2015,Qtr 3,Grundy,30
2012,Qtr 3,Guthrie,18
2013,Qtr 3,Guthrie,24
2014,Qtr 3,Guthrie,24
2015,Qtr 3,Guthrie,60
2012,Qtr 3,Hamilton,60
2013,Qtr 3,Hamilton,82
2014,Qtr 3,Hamilton,16
2015,Qtr 3,Hamilton,30
2012,Qtr 3,Hancock,24
2013,Qtr 3,Hancock,30
2014,Qtr 3,Hancock,24
2015,Qtr 3,Hancock,12
2012,Qtr 3,Hardin,84
2013,Qtr 3,Hardin,72
2014,Qtr 3,Hardin,66
2015,Qtr 3,Hardin,108
2012,Qtr 3,Harrison,72
2013,Qtr 3,Harrison,30
2014,Qtr 3,Harrison,36
2015,Qtr 3,Harrison,12
2012,Qtr 3,Henry,12
2013,Qtr 3,Henry,24
2014,Qtr 3,Henry,42
2015,Qtr 3,Henry,36
2012,Qtr 3,Howard,42
2013,Qtr 3,Howard,18
2014,Qtr 3,Howard,6
2015,Qtr 3,Howard,36
2012,Qtr 3,Humboldt,54
2013,Qtr 3,Humboldt,36
2014,Qtr 3,Humboldt,30
2015,Qtr 3,Humboldt,24
2012,Qtr 3,Ida,18
2013,Qtr 3,Ida,
2014,Qtr 3,Ida,12
2015,Qtr 3,Ida,42
2012,Qtr 3,Iowa,48
2013,Qtr 3,Iowa,138
2014,Qtr 3,Iowa,
2015,Qtr 3,Iowa,24
2012,Qtr 3,Jackson,66
2013,Qtr 3,Jackson,78
2014,Qtr 3,Jackson,60
2015,Qtr 3,Jackson,88
2012,Qtr 3,Jasper,132
2013,Qtr 3,Jasper,136
2014,Qtr 3,Jasper,130
2015,Qtr 3,Jasper,126
2012,Qtr 3,Jefferson,66
2013,Qtr 3,Jefferson,18
2014,Qtr 3,Jefferson,13
2015,Qtr 3,Jefferson,6
2012,Qtr 3,Johnson,548
2013,Qtr 3,Johnson,708
2014,Qtr 3,Johnson,630
2015,Qtr 3,Johnson,688
2012,Qtr 3,Jones,120
2013,Qtr 3,Jones,84
2014,Qtr 3,Jones,72
2015,Qtr 3,Jones,43
2012,Qtr 3,Keokuk,
2013,Qtr 3,Keokuk,
2014,Qtr 3,Keokuk,18
2015,Qtr 3,Keokuk,6
2012,Qtr 3,Kossuth,60
2013,Qtr 3,Kossuth,72
2014,Qtr 3,Kossuth,150
2015,Qtr 3,Kossuth,66
2012,Qtr 3,Lee,150
2013,Qtr 3,Lee,180
2014,Qtr 3,Lee,114
2015,Qtr 3,Lee,102
2012,Qtr 3,Linn,1238
2013,Qtr 3,Linn,890
2014,Qtr 3,Linn,832
2015,Qtr 3,Linn,982
2012,Qtr 3,Louisa,12
2013,Qtr 3,Louisa,36
2014,Qtr 3,Louisa,
2015,Qtr 3,Louisa,36
2012,Qtr 3,Lucas,6
2013,Qtr 3,Lucas,30
2014,Qtr 3,Lucas,
2015,Qtr 3,Lucas,46
2012,Qtr 3,Lyon,24
2013,Qtr 3,Lyon,36
2014,Qtr 3,Lyon,12
2015,Qtr 3,Lyon,66
2012,Qtr 3,Madison,48
2013,Qtr 3,Madison,42
2014,Qtr 3,Madison,42
2015,Qtr 3,Madison,36
2012,Qtr 3,Mahaska,24
2013,Qtr 3,Mahaska,66
2014,Qtr 3,Mahaska,18
2015,Qtr 3,Mahaska,42
2012,Qtr 3,Marion,60
2013,Qtr 3,Marion,120
2014,Qtr 3,Marion,112
2015,Qtr 3,Marion,102
2012,Qtr 3,Marshall,84
2013,Qtr 3,Marshall,126
2014,Qtr 3,Marshall,224
2015,Qtr 3,Marshall,90
2012,Qtr 3,Mills,12
2013,Qtr 3,Mills,24
2014,Qtr 3,Mills,12
2015,Qtr 3,Mills,6
2012,Qtr 3,Mitchell,30
2013,Qtr 3,Mitchell,60
2014,Qtr 3,Mitchell,6
2015,Qtr 3,Mitchell,132
2012,Qtr 3,Monona,92
2013,Qtr 3,Monona,30
2014,Qtr 3,Monona,90
2015,Qtr 3,Monona,36
2012,Qtr 3,Monroe,18
2013,Qtr 3,Monroe,12
2014,Qtr 3,Monroe,
2015,Qtr 3,Monroe,12
2012,Qtr 3,Montgomery,12
2013,Qtr 3,Montgomery,24
2014,Qtr 3,Montgomery,101
2015,Qtr 3,Montgomery,24
2012,Qtr 3,Muscatine,174
2013,Qtr 3,Muscatine,232
2014,Qtr 3,Muscatine,264
2015,Qtr 3,Muscatine,246
2012,Qtr 3,O'Brien,150
2013,Qtr 3,O'Brien,72
2014,Qtr 3,O'Brien,12
2015,Qtr 3,O'Brien,102
2012,Qtr 3,Osceola,12
2013,Qtr 3,Osceola,42
2014,Qtr 3,Osceola,12
2015,Qtr 3,Osceola,
2012,Qtr 3,Page,162
2013,Qtr 3,Page,60
2014,Qtr 3,Page,60
2015,Qtr 3,Page,78
2012,Qtr 3,Palo Alto,66
2013,Qtr 3,Palo Alto,18
2014,Qtr 3,Palo Alto,18
