15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Item Number)
2012,Qtr 1,,65258
2012,Qtr 2,,38020
2012,Qtr 3,,101832
2012,Qtr 4,,102590
2012,Qtr 1,Adair,81548
2012,Qtr 2,Adair,
2012,Qtr 3,Adair,189947
2012,Qtr 4,Adair,82703
2012,Qtr 1,Adams,44672
2012,Qtr 2,Adams,107526
2012,Qtr 3,Adams,28866
2012,Qtr 4,Adams,37381
2012,Qtr 1,Allamakee,283991
2012,Qtr 2,Allamakee,325966
2012,Qtr 3,Allamakee,300711
2012,Qtr 4,Allamakee,26310
2012,Qtr 1,Appanoose,304483
2012,Qtr 2,Appanoose,105022
2012,Qtr 3,Appanoose,148093
2012,Qtr 4,Appanoose,68033
2012,Qtr 1,Audubon,73715
2012,Qtr 2,Audubon,49188
2012,Qtr 3,Audubon,150618
2012,Qtr 4,Audubon,24456
2012,Qtr 1,Benton,112792
2012,Qtr 2,Benton,252001
2012,Qtr 3,Benton,370030
2012,Qtr 4,Benton,168954
2012,Qtr 1,Black Hawk,2897130
2012,Qtr 2,Black Hawk,1875070
2012,Qtr 3,Black Hawk,1356436
2012,Qtr 4,Black Hawk,2566091
2012,Qtr 1,Boone,104755
2012,Qtr 2,Boone,186993
2012,Qtr 3,Boone,298654
2012,Qtr 4,Boone,160271
2012,Qtr 1,Bremer,432894
2012,Qtr 2,Bremer,411225
2012,Qtr 3,Bremer,325521
2012,Qtr 4,Bremer,314023
2012,Qtr 1,Buchanan,333938
2012,Qtr 2,Buchanan,258952
2012,Qtr 3,Buchanan,422967
2012,Qtr 4,Buchanan,182580
2012,Qtr 1,Buena Vista,139157
2012,Qtr 2,Buena Vista,380141
2012,Qtr 3,Buena Vista,358200
2012,Qtr 4,Buena Vista,799533
2012,Qtr 1,Butler,237768
2012,Qtr 2,Butler,36308
2012,Qtr 3,Butler,77658
2012,Qtr 4,Butler,
2012,Qtr 1,Calhoun,
2012,Qtr 2,Calhoun,188499
2012,Qtr 3,Calhoun,82626
2012,Qtr 4,Calhoun,11588
2012,Qtr 1,Carroll,392366
2012,Qtr 2,Carroll,308923
2012,Qtr 3,Carroll,331901
2012,Qtr 4,Carroll,236122
2012,Qtr 1,Cass,118751
2012,Qtr 2,Cass,79253
2012,Qtr 3,Cass,193780
2012,Qtr 4,Cass,263741
2012,Qtr 1,Cedar,11774
2012,Qtr 2,Cedar,87793
2012,Qtr 3,Cedar,55968
2012,Qtr 4,Cedar,224213
2012,Qtr 1,Cerro Gordo,712007
2012,Qtr 2,Cerro Gordo,965466
2012,Qtr 3,Cerro Gordo,686528
2012,Qtr 4,Cerro Gordo,1139368
2012,Qtr 1,Cherokee,
2012,Qtr 2,Cherokee,36665
2012,Qtr 3,Cherokee,227351
2012,Qtr 4,Cherokee,387532
2012,Qtr 1,Chickasaw,11297
2012,Qtr 2,Chickasaw,12408
2012,Qtr 3,Chickasaw,
2012,Qtr 4,Chickasaw,61745
2012,Qtr 1,Clarke,
