15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.Vendor Name,Sum(15000.Pack)
2012,Qtr 1,"Bacardi U.S.A., Inc.",286
2013,Qtr 1,"Bacardi U.S.A., Inc.",706
2014,Qtr 1,"Bacardi U.S.A., Inc.",684
2015,Qtr 1,"Bacardi U.S.A., Inc.",612
2012,Qtr 1,Black Rock Spirits,6
2013,Qtr 1,Black Rock Spirits,
2014,Qtr 1,Black Rock Spirits,6
2015,Qtr 1,Black Rock Spirits,
2012,Qtr 1,Blaum Bros. Distilling Co.,
2013,Qtr 1,Blaum Bros. Distilling Co.,
2014,Qtr 1,Blaum Bros. Distilling Co.,
2015,Qtr 1,Blaum Bros. Distilling Co.,6
2012,Qtr 1,Brown-Forman Corporation,690
2013,Qtr 1,Brown-Forman Corporation,498
2014,Qtr 1,Brown-Forman Corporation,486
2015,Qtr 1,Brown-Forman Corporation,810
2012,Qtr 1,Campari(skyy),102
2013,Qtr 1,Campari(skyy),162
2014,Qtr 1,Campari(skyy),90
2015,Qtr 1,Campari(skyy),132
2012,Qtr 1,Castle Brands,
2013,Qtr 1,Castle Brands,
2014,Qtr 1,Castle Brands,
2015,Qtr 1,Castle Brands,12
2012,Qtr 1,"Cedar Ridge Vineyards,LLC",12
2013,Qtr 1,"Cedar Ridge Vineyards,LLC",36
2014,Qtr 1,"Cedar Ridge Vineyards,LLC",6
2015,Qtr 1,"Cedar Ridge Vineyards,LLC",18
2012,Qtr 1,"Constellation Wine Company, Inc.",504
2013,Qtr 1,"Constellation Wine Company, Inc.",728
2014,Qtr 1,"Constellation Wine Company, Inc.",754
2015,Qtr 1,"Constellation Wine Company, Inc.",820
2012,Qtr 1,Diageo Americas,1742
2013,Qtr 1,Diageo Americas,2092
2014,Qtr 1,Diageo Americas,1886
2015,Qtr 1,Diageo Americas,1738
2012,Qtr 1,Disaronno International LLC,24
2013,Qtr 1,Disaronno International LLC,24
2014,Qtr 1,Disaronno International LLC,36
2015,Qtr 1,Disaronno International LLC,
2012,Qtr 1,E AND J GALLO WINERY,288
2013,Qtr 1,E AND J GALLO WINERY,264
2014,Qtr 1,E AND J GALLO WINERY,312
2015,Qtr 1,E AND J GALLO WINERY,330
2012,Qtr 1,Fifth Generation Inc.,
2013,Qtr 1,Fifth Generation Inc.,12
2014,Qtr 1,Fifth Generation Inc.,24
2015,Qtr 1,Fifth Generation Inc.,42
2012,Qtr 1,Firestarter Spirits Inc.,6
2013,Qtr 1,Firestarter Spirits Inc.,
2014,Qtr 1,Firestarter Spirits Inc.,
2015,Qtr 1,Firestarter Spirits Inc.,
2012,Qtr 1,Frank-lin Distillers Products Ltd.,
2013,Qtr 1,Frank-lin Distillers Products Ltd.,6
2014,Qtr 1,Frank-lin Distillers Products Ltd.,
2015,Qtr 1,Frank-lin Distillers Products Ltd.,
2012,Qtr 1,Gemini Spirits,42
2013,Qtr 1,Gemini Spirits,48
2014,Qtr 1,Gemini Spirits,72
2015,Qtr 1,Gemini Spirits,24
2012,Qtr 1,Heaven Hill Brands,330
2013,Qtr 1,Heaven Hill Brands,438
2014,Qtr 1,Heaven Hill Brands,372
2015,Qtr 1,Heaven Hill Brands,282
2012,Qtr 1,"Hood River Distillers, Inc.",
2013,Qtr 1,"Hood River Distillers, Inc.",18
2014,Qtr 1,"Hood River Distillers, Inc.",
2015,Qtr 1,"Hood River Distillers, Inc.",18
2012,Qtr 1,"Imperial Brands, Inc.",
2013,Qtr 1,"Imperial Brands, Inc.",
2014,Qtr 1,"Imperial Brands, Inc.",30
2015,Qtr 1,"Imperial Brands, Inc.",
2012,Qtr 1,Iowa Distilling Company,
2013,Qtr 1,Iowa Distilling Company,
2014,Qtr 1,Iowa Distilling Company,
2015,Qtr 1,Iowa Distilling Company,12
2012,Qtr 1,Jesse James Distilling Company,
2013,Qtr 1,Jesse James Distilling Company,
2014,Qtr 1,Jesse James Distilling Company,12
2015,Qtr 1,Jesse James Distilling Company,12
2012,Qtr 1,Jim Beam Brands,1410
2013,Qtr 1,Jim Beam Brands,1092
2014,Qtr 1,Jim Beam Brands,858
2015,Qtr 1,Jim Beam Brands,978
2012,Qtr 1,Laird And Company,360
2013,Qtr 1,Laird And Company,312
2014,Qtr 1,Laird And Company,486
2015,Qtr 1,Laird And Company,498
2012,Qtr 1,Luxco-St Louis,1134
2013,Qtr 1,Luxco-St Louis,1032
2014,Qtr 1,Luxco-St Louis,1152
2015,Qtr 1,Luxco-St Louis,1200
2012,Qtr 1,"Mango Bottling, Inc.",24
2013,Qtr 1,"Mango Bottling, Inc.",12
2014,Qtr 1,"Mango Bottling, Inc.",
2015,Qtr 1,"Mango Bottling, Inc.",
2012,Qtr 1,Mccormick Distilling Company,276
2013,Qtr 1,Mccormick Distilling Company,288
2014,Qtr 1,Mccormick Distilling Company,240
2015,Qtr 1,Mccormick Distilling Company,360
2012,Qtr 1,MHW Ltd,120
2013,Qtr 1,MHW Ltd,150
2014,Qtr 1,MHW Ltd,48
2015,Qtr 1,MHW Ltd,132
2012,Qtr 1,Mississippi River Distilling Co.,6
2013,Qtr 1,Mississippi River Distilling Co.,12
2014,Qtr 1,Mississippi River Distilling Co.,6
2015,Qtr 1,Mississippi River Distilling Co.,6
2012,Qtr 1,"Moet Hennessy USA, Inc.",201
2013,Qtr 1,"Moet Hennessy USA, Inc.",124
2014,Qtr 1,"Moet Hennessy USA, Inc.",96
2015,Qtr 1,"Moet Hennessy USA, Inc.",114
2012,Qtr 1,Niche Import Co.,6
2013,Qtr 1,Niche Import Co.,6
2014,Qtr 1,Niche Import Co.,
2015,Qtr 1,Niche Import Co.,
2012,Qtr 1,"Ole Smoky Distillery, LLC",
2013,Qtr 1,"Ole Smoky Distillery, LLC",
2014,Qtr 1,"Ole Smoky Distillery, LLC",24
2015,Qtr 1,"Ole Smoky Distillery, LLC",
2012,Qtr 1,Panther Distillery,
2013,Qtr 1,Panther Distillery,
2014,Qtr 1,Panther Distillery,6
2015,Qtr 1,Panther Distillery,
2012,Qtr 1,Park Street Imports- Caballeros,
2013,Qtr 1,Park Street Imports- Caballeros,12
2014,Qtr 1,Park Street Imports- Caballeros,
2015,Qtr 1,Park Street Imports- Caballeros,
2012,Qtr 1,Park Street Imports-Berentzen,
2013,Qtr 1,Park Street Imports-Berentzen,24
2014,Qtr 1,Park Street Imports-Berentzen,
2015,Qtr 1,Park Street Imports-Berentzen,
2012,Qtr 1,Patriarch Distillers,
2013,Qtr 1,Patriarch Distillers,
2014,Qtr 1,Patriarch Distillers,
2015,Qtr 1,Patriarch Distillers,6
2012,Qtr 1,Pernod Ricard USA/Austin Nichols,642
2013,Qtr 1,Pernod Ricard USA/Austin Nichols,962
2014,Qtr 1,Pernod Ricard USA/Austin Nichols,799
2015,Qtr 1,Pernod Ricard USA/Austin Nichols,798
2012,Qtr 1,Phillips Beverage Company,330
2013,Qtr 1,Phillips Beverage Company,456
2014,Qtr 1,Phillips Beverage Company,318
2015,Qtr 1,Phillips Beverage Company,324
2012,Qtr 1,Piedmont Distillers,
2013,Qtr 1,Piedmont Distillers,60
2014,Qtr 1,Piedmont Distillers,24
2015,Qtr 1,Piedmont Distillers,6
2012,Qtr 1,Prestige Wine and Spirits Group,48
2013,Qtr 1,Prestige Wine and Spirits Group,60
2014,Qtr 1,Prestige Wine and Spirits Group,48
2015,Qtr 1,Prestige Wine and Spirits Group,96
2012,Qtr 1,Proximo,468
2013,Qtr 1,Proximo,186
2014,Qtr 1,Proximo,342
2015,Qtr 1,Proximo,420
2012,Qtr 1,Quadro Group LLC,12
2013,Qtr 1,Quadro Group LLC,
2014,Qtr 1,Quadro Group LLC,
2015,Qtr 1,Quadro Group LLC,
2012,Qtr 1,REMY COINTREAU USA         .,48
2013,Qtr 1,REMY COINTREAU USA         .,24
2014,Qtr 1,REMY COINTREAU USA         .,108
2015,Qtr 1,REMY COINTREAU USA         .,72
2012,Qtr 1,"Sazerac Co., Inc.",282
2013,Qtr 1,"Sazerac Co., Inc.",253
2014,Qtr 1,"Sazerac Co., Inc.",387
2015,Qtr 1,"Sazerac Co., Inc.",535
2012,Qtr 1,Sazerac North America,594
2013,Qtr 1,Sazerac North America,450
2014,Qtr 1,Sazerac North America,438
2015,Qtr 1,Sazerac North America,424
2012,Qtr 1,Serralles USA,12
2013,Qtr 1,Serralles USA,
2014,Qtr 1,Serralles USA,
2015,Qtr 1,Serralles USA,
2012,Qtr 1,Shaw Ross International Importers LL,
2013,Qtr 1,Shaw Ross International Importers LL,
2014,Qtr 1,Shaw Ross International Importers LL,6
2015,Qtr 1,Shaw Ross International Importers LL,
2012,Qtr 1,Sidney Frank Importing Co.,95
2013,Qtr 1,Sidney Frank Importing Co.,156
2014,Qtr 1,Sidney Frank Importing Co.,65
2015,Qtr 1,Sidney Frank Importing Co.,107
2012,Qtr 1,Stoli Group,36
2013,Qtr 1,Stoli Group,36
2014,Qtr 1,Stoli Group,24
2015,Qtr 1,Stoli Group,36
2012,Qtr 1,The Patron Spirits Company,72
2013,Qtr 1,The Patron Spirits Company,92
2014,Qtr 1,The Patron Spirits Company,64
2015,Qtr 1,The Patron Spirits Company,84
2012,Qtr 1,Trinchero Family Estates,
2013,Qtr 1,Trinchero Family Estates,
2014,Qtr 1,Trinchero Family Estates,
2015,Qtr 1,Trinchero Family Estates,6
2012,Qtr 1,"W. J. Deutsch And Sons, Ltd.",
2013,Qtr 1,"W. J. Deutsch And Sons, Ltd.",12
2014,Qtr 1,"W. J. Deutsch And Sons, Ltd.",
2015,Qtr 1,"W. J. Deutsch And Sons, Ltd.",
2012,Qtr 1,"Werner Distilling, LLC",
2013,Qtr 1,"Werner Distilling, LLC",
2014,Qtr 1,"Werner Distilling, LLC",
2015,Qtr 1,"Werner Distilling, LLC",12
2012,Qtr 1,Western Spirits Beverage Co. LLC,
2013,Qtr 1,Western Spirits Beverage Co. LLC,6
2014,Qtr 1,Western Spirits Beverage Co. LLC,6
2015,Qtr 1,Western Spirits Beverage Co. LLC,18
2012,Qtr 1,"WILLIAM GRANT AND SONS, INC.",96
2013,Qtr 1,"WILLIAM GRANT AND SONS, INC.",84
2014,Qtr 1,"WILLIAM GRANT AND SONS, INC.",60
2015,Qtr 1,"WILLIAM GRANT AND SONS, INC.",78
2012,Qtr 1,Wilson Daniels Ltd.,48
2013,Qtr 1,Wilson Daniels Ltd.,42
2014,Qtr 1,Wilson Daniels Ltd.,36
2015,Qtr 1,Wilson Daniels Ltd.,48
