15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.Category Name,Sum(15000.Pack)
2012,Qtr 1,TENNESSEE WHISKIES,372
2013,Qtr 1,TENNESSEE WHISKIES,228
2014,Qtr 1,TENNESSEE WHISKIES,276
2015,Qtr 1,TENNESSEE WHISKIES,516
2012,Qtr 1,TEQUILA,522
2013,Qtr 1,TEQUILA,362
2014,Qtr 1,TEQUILA,352
2015,Qtr 1,TEQUILA,594
2012,Qtr 1,TRIPLE SEC,36
2013,Qtr 1,TRIPLE SEC,60
2014,Qtr 1,TRIPLE SEC,24
2015,Qtr 1,TRIPLE SEC,96
2012,Qtr 1,TROPICAL FRUIT SCHNAPPS,
2013,Qtr 1,TROPICAL FRUIT SCHNAPPS,12
2014,Qtr 1,TROPICAL FRUIT SCHNAPPS,12
2015,Qtr 1,TROPICAL FRUIT SCHNAPPS,12
2012,Qtr 1,VODKA 80 PROOF,1158
2013,Qtr 1,VODKA 80 PROOF,1302
2014,Qtr 1,VODKA 80 PROOF,1470
2015,Qtr 1,VODKA 80 PROOF,1542
2012,Qtr 1,VODKA FLAVORED,432
2013,Qtr 1,VODKA FLAVORED,462
2014,Qtr 1,VODKA FLAVORED,462
2015,Qtr 1,VODKA FLAVORED,330
2012,Qtr 1,WATERMELON SCHNAPPS,12
2013,Qtr 1,WATERMELON SCHNAPPS,36
2014,Qtr 1,WATERMELON SCHNAPPS,12
2015,Qtr 1,WATERMELON SCHNAPPS,
2012,Qtr 1,WHISKEY LIQUEUR,414
2013,Qtr 1,WHISKEY LIQUEUR,265
2014,Qtr 1,WHISKEY LIQUEUR,399
2015,Qtr 1,WHISKEY LIQUEUR,481
2012,Qtr 1,WHITE CREME DE CACAO,
2013,Qtr 1,WHITE CREME DE CACAO,12
2014,Qtr 1,WHITE CREME DE CACAO,
2015,Qtr 1,WHITE CREME DE CACAO,
2012,Qtr 1,WHITE CREME DE MENTHE,12
2013,Qtr 1,WHITE CREME DE MENTHE,
2014,Qtr 1,WHITE CREME DE MENTHE,
2015,Qtr 1,WHITE CREME DE MENTHE,
