15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Sale (Dollars))
2012,Qtr 3,,300.12
2012,Qtr 4,,293.37
2013,Qtr 3,,476.64
2013,Qtr 4,,319.76
2014,Qtr 3,,204.13
2014,Qtr 4,,
2015,Qtr 3,,
2015,Qtr 4,,159.02
2012,Qtr 3,Adair,425.04
2012,Qtr 4,Adair,422.22
2013,Qtr 3,Adair,113.88
2013,Qtr 4,Adair,157.44
2014,Qtr 3,Adair,159.72
2014,Qtr 4,Adair,379.8
2015,Qtr 3,Adair,
2015,Qtr 4,Adair,18
2012,Qtr 3,Adams,52.47
2012,Qtr 4,Adams,47.84
2013,Qtr 3,Adams,56.13
2013,Qtr 4,Adams,
2014,Qtr 3,Adams,188.16
2014,Qtr 4,Adams,
2015,Qtr 3,Adams,47.22
2015,Qtr 4,Adams,88.08
2012,Qtr 3,Allamakee,499.03
2012,Qtr 4,Allamakee,70.2
2013,Qtr 3,Allamakee,500.85
2013,Qtr 4,Allamakee,50.11
2014,Qtr 3,Allamakee,258.51
2014,Qtr 4,Allamakee,400.78
2015,Qtr 3,Allamakee,131.49
2015,Qtr 4,Allamakee,425.04
2012,Qtr 3,Appanoose,307.95
2012,Qtr 4,Appanoose,55.47
2013,Qtr 3,Appanoose,439.08
2013,Qtr 4,Appanoose,196.98
2014,Qtr 3,Appanoose,196.86
2014,Qtr 4,Appanoose,183.28
2015,Qtr 3,Appanoose,254.34
2015,Qtr 4,Appanoose,166.3
2012,Qtr 3,Audubon,80.07
2012,Qtr 4,Audubon,49.56
2013,Qtr 3,Audubon,162.76
2013,Qtr 4,Audubon,35.8
2014,Qtr 3,Audubon,645.96
2014,Qtr 4,Audubon,162
2015,Qtr 3,Audubon,
2015,Qtr 4,Audubon,41.64
2012,Qtr 3,Benton,830.63
2012,Qtr 4,Benton,459.37
2013,Qtr 3,Benton,401.68
2013,Qtr 4,Benton,213.04
2014,Qtr 3,Benton,257.24
2014,Qtr 4,Benton,456.23
2015,Qtr 3,Benton,2086.31
2015,Qtr 4,Benton,95.68
2012,Qtr 3,Black Hawk,5895.04
2012,Qtr 4,Black Hawk,7540.54
2013,Qtr 3,Black Hawk,6277.68
2013,Qtr 4,Black Hawk,7056.45
2014,Qtr 3,Black Hawk,5196.99
2014,Qtr 4,Black Hawk,10881.51
2015,Qtr 3,Black Hawk,14540.01
2015,Qtr 4,Black Hawk,7722.68
2012,Qtr 3,Boone,773.34
2012,Qtr 4,Boone,144.65
2013,Qtr 3,Boone,757.8
2013,Qtr 4,Boone,1310.28
2014,Qtr 3,Boone,992.15
2014,Qtr 4,Boone,988
2015,Qtr 3,Boone,557.3
2015,Qtr 4,Boone,145.44
2012,Qtr 3,Bremer,474.56
2012,Qtr 4,Bremer,556.31
2013,Qtr 3,Bremer,654.81
2013,Qtr 4,Bremer,267.06
2014,Qtr 3,Bremer,692.97
2014,Qtr 4,Bremer,1335.92
2015,Qtr 3,Bremer,518.91
2015,Qtr 4,Bremer,1703.88
2012,Qtr 3,Buchanan,1138.77
2012,Qtr 4,Buchanan,371.23
2013,Qtr 3,Buchanan,551.59
2013,Qtr 4,Buchanan,618.37
2014,Qtr 3,Buchanan,537.38
2014,Qtr 4,Buchanan,477.19
2015,Qtr 3,Buchanan,502.51
2015,Qtr 4,Buchanan,746.4
2012,Qtr 3,Buena Vista,625.02
2012,Qtr 4,Buena Vista,1324.34
2013,Qtr 3,Buena Vista,561.54
2013,Qtr 4,Buena Vista,1110.78
2014,Qtr 3,Buena Vista,838.1
2014,Qtr 4,Buena Vista,919.75
2015,Qtr 3,Buena Vista,381.66
2015,Qtr 4,Buena Vista,1597.42
2012,Qtr 3,Butler,242.88
2012,Qtr 4,Butler,
2013,Qtr 3,Butler,252.62
2013,Qtr 4,Butler,226.86
2014,Qtr 3,Butler,206.74
2014,Qtr 4,Butler,111.77
2015,Qtr 3,Butler,
2015,Qtr 4,Butler,76.56
2012,Qtr 3,Calhoun,28.35
2012,Qtr 4,Calhoun,116.88
2013,Qtr 3,Calhoun,476.62
2013,Qtr 4,Calhoun,120
2014,Qtr 3,Calhoun,686.32
2014,Qtr 4,Calhoun,24.75
2015,Qtr 3,Calhoun,34.53
2015,Qtr 4,Calhoun,
2012,Qtr 3,Carroll,977.24
2012,Qtr 4,Carroll,953.43
2013,Qtr 3,Carroll,1143.48
2013,Qtr 4,Carroll,2199.46
2014,Qtr 3,Carroll,1783.66
2014,Qtr 4,Carroll,564.76
2015,Qtr 3,Carroll,365.64
2015,Qtr 4,Carroll,1027.35
2012,Qtr 3,Cass,278.17
2012,Qtr 4,Cass,589.33
2013,Qtr 3,Cass,377.88
2013,Qtr 4,Cass,141.52
2014,Qtr 3,Cass,1294.35
2014,Qtr 4,Cass,551.52
2015,Qtr 3,Cass,67.26
2015,Qtr 4,Cass,1856.76
2012,Qtr 3,Cedar,180.77
2012,Qtr 4,Cedar,68.49
2013,Qtr 3,Cedar,91.83
2013,Qtr 4,Cedar,295.69
2014,Qtr 3,Cedar,402.56
2014,Qtr 4,Cedar,73.92
2015,Qtr 3,Cedar,321.63
2015,Qtr 4,Cedar,216.44
2012,Qtr 3,Cerro Gordo,916.12
2012,Qtr 4,Cerro Gordo,2506.71
2013,Qtr 3,Cerro Gordo,3044.42
2013,Qtr 4,Cerro Gordo,7709.81
2014,Qtr 3,Cerro Gordo,3323.92
2014,Qtr 4,Cerro Gordo,3662.88
2015,Qtr 3,Cerro Gordo,1834.84
2015,Qtr 4,Cerro Gordo,3232.11
2012,Qtr 3,Cherokee,433.82
2012,Qtr 4,Cherokee,563.91
2013,Qtr 3,Cherokee,220.21
2013,Qtr 4,Cherokee,671.59
2014,Qtr 3,Cherokee,64.8
2014,Qtr 4,Cherokee,111.69
2015,Qtr 3,Cherokee,304.88
2015,Qtr 4,Cherokee,142.53
2012,Qtr 3,Chickasaw,
2012,Qtr 4,Chickasaw,285.12
2013,Qtr 3,Chickasaw,148.44
2013,Qtr 4,Chickasaw,1210.92
2014,Qtr 3,Chickasaw,763.38
2014,Qtr 4,Chickasaw,232.59
2015,Qtr 3,Chickasaw,351
2015,Qtr 4,Chickasaw,
2012,Qtr 3,Clarke,53.18
2012,Qtr 4,Clarke,393.58
2013,Qtr 3,Clarke,99.12
2013,Qtr 4,Clarke,189.82
2014,Qtr 3,Clarke,30.7
2014,Qtr 4,Clarke,645.12
2015,Qtr 3,Clarke,49.41
2015,Qtr 4,Clarke,32.4
2012,Qtr 3,Clay,1028.03
2012,Qtr 4,Clay,687.18
2013,Qtr 3,Clay,1293.62
2013,Qtr 4,Clay,828.58
2014,Qtr 3,Clay,1232.79
2014,Qtr 4,Clay,167.11
2015,Qtr 3,Clay,1017.2
2015,Qtr 4,Clay,175.74
2012,Qtr 3,Clayton,117.42
2012,Qtr 4,Clayton,434.77
