15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.State Bottle Cost)
2012,Qtr 3,ACKLEY,
2013,Qtr 3,ACKLEY,5.23
2014,Qtr 3,ACKLEY,
2015,Qtr 3,ACKLEY,5.92
2012,Qtr 3,ADAIR,14.37
2013,Qtr 3,ADAIR,
2014,Qtr 3,ADAIR,
2015,Qtr 3,ADAIR,
2012,Qtr 3,ADEL,23.36
2013,Qtr 3,ADEL,10
2014,Qtr 3,ADEL,7.99
2015,Qtr 3,ADEL,23.58
2012,Qtr 3,AFTON,
2013,Qtr 3,AFTON,
2014,Qtr 3,AFTON,
2015,Qtr 3,AFTON,6.5
2012,Qtr 3,AKRON,6.51
2013,Qtr 3,AKRON,
2014,Qtr 3,AKRON,6.25
2015,Qtr 3,AKRON,15.07
2012,Qtr 3,ALBIA,24.53
2013,Qtr 3,ALBIA,
2014,Qtr 3,ALBIA,
2015,Qtr 3,ALBIA,8.26
2012,Qtr 3,ALDEN,
2013,Qtr 3,ALDEN,
2014,Qtr 3,ALDEN,16.78
2015,Qtr 3,ALDEN,
2012,Qtr 3,ALGONA,10.75
2013,Qtr 3,ALGONA,54.71
2014,Qtr 3,ALGONA,26.34
2015,Qtr 3,ALGONA,22.97
2012,Qtr 3,ALLISON,6.51
2013,Qtr 3,ALLISON,2.84
2014,Qtr 3,ALLISON,
2015,Qtr 3,ALLISON,
2012,Qtr 3,ALTON,
2013,Qtr 3,ALTON,10.57
2014,Qtr 3,ALTON,
2015,Qtr 3,ALTON,
2012,Qtr 3,ALTOONA,69.49
2013,Qtr 3,ALTOONA,86.46
2014,Qtr 3,ALTOONA,98.85
2015,Qtr 3,ALTOONA,73.57
2012,Qtr 3,AMES,323.97
2013,Qtr 3,AMES,355.03
2014,Qtr 3,AMES,353.08
2015,Qtr 3,AMES,189.06
2012,Qtr 3,ANAMOSA,6.35
2013,Qtr 3,ANAMOSA,23.67
2014,Qtr 3,ANAMOSA,16.75
2015,Qtr 3,ANAMOSA,23.94
2012,Qtr 3,ANITA,
2013,Qtr 3,ANITA,
2014,Qtr 3,ANITA,
2015,Qtr 3,ANITA,7.47
2012,Qtr 3,ANKENY,119.04
2013,Qtr 3,ANKENY,181.15
2014,Qtr 3,ANKENY,252.48
2015,Qtr 3,ANKENY,176.81
2012,Qtr 3,ANTHON,
2013,Qtr 3,ANTHON,4.96
2014,Qtr 3,ANTHON,
2015,Qtr 3,ANTHON,
2012,Qtr 3,ARNOLDS PARK,34.09
2013,Qtr 3,ARNOLDS PARK,27.54
2014,Qtr 3,ARNOLDS PARK,38.64
