Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Region,Orders.City,Sum(Orders.Sales)
2014,Consumer,Central,Aberdeen,
2015,Consumer,Central,Aberdeen,
2016,Consumer,Central,Aberdeen,
2017,Consumer,Central,Aberdeen,25.5
2014,Consumer,Central,Abilene,
2015,Consumer,Central,Abilene,
2016,Consumer,Central,Abilene,
2017,Consumer,Central,Abilene,1.3919999999999997
2014,Consumer,Central,Allen,
2015,Consumer,Central,Allen,290.20599999999996
2016,Consumer,Central,Allen,
2017,Consumer,Central,Allen,
2014,Consumer,Central,Amarillo,
2015,Consumer,Central,Amarillo,3024.478
2016,Consumer,Central,Amarillo,523.604
2017,Consumer,Central,Amarillo,
2014,Consumer,Central,Apple Valley,129.3
2015,Consumer,Central,Apple Valley,
2016,Consumer,Central,Apple Valley,
2017,Consumer,Central,Apple Valley,8.64
2014,Consumer,Central,Appleton,
2015,Consumer,Central,Appleton,
2016,Consumer,Central,Appleton,1649.75
2017,Consumer,Central,Appleton,
2014,Consumer,Central,Arlington,12.624
2015,Consumer,Central,Arlington,2645.0209999999997
2016,Consumer,Central,Arlington,
2017,Consumer,Central,Arlington,56.512
2014,Consumer,Central,Arlington Heights,
2015,Consumer,Central,Arlington Heights,
2016,Consumer,Central,Arlington Heights,14.111999999999998
2017,Consumer,Central,Arlington Heights,
2014,Consumer,Central,Aurora,268.935
2015,Consumer,Central,Aurora,349.082
2016,Consumer,Central,Aurora,186.048
2017,Consumer,Central,Aurora,3230.053
2014,Consumer,Central,Austin,
2015,Consumer,Central,Austin,611.524
2016,Consumer,Central,Austin,
2017,Consumer,Central,Austin,1444.278
2014,Consumer,Central,Beaumont,459.348
2015,Consumer,Central,Beaumont,
2016,Consumer,Central,Beaumont,
2017,Consumer,Central,Beaumont,
2014,Consumer,Central,Bloomington,650.1
2015,Consumer,Central,Bloomington,252.088
2016,Consumer,Central,Bloomington,262.8
2017,Consumer,Central,Bloomington,39.816
2014,Consumer,Central,Bolingbrook,
2015,Consumer,Central,Bolingbrook,59.848000000000006
2016,Consumer,Central,Bolingbrook,
2017,Consumer,Central,Bolingbrook,148.48
2014,Consumer,Central,Broken Arrow,
2015,Consumer,Central,Broken Arrow,
2016,Consumer,Central,Broken Arrow,12.86
2017,Consumer,Central,Broken Arrow,
2014,Consumer,Central,Brownsville,
2015,Consumer,Central,Brownsville,
2016,Consumer,Central,Brownsville,
2017,Consumer,Central,Brownsville,329.47679999999997
2014,Consumer,Central,Buffalo Grove,831.399
2015,Consumer,Central,Buffalo Grove,
2016,Consumer,Central,Buffalo Grove,
2017,Consumer,Central,Buffalo Grove,
2014,Consumer,Central,Burlington,
2015,Consumer,Central,Burlington,
2016,Consumer,Central,Burlington,
2017,Consumer,Central,Burlington,44.75
2014,Consumer,Central,Carol Stream,
2015,Consumer,Central,Carol Stream,1305.81
2016,Consumer,Central,Carol Stream,
2017,Consumer,Central,Carol Stream,
2014,Consumer,Central,Carrollton,153.112
2015,Consumer,Central,Carrollton,351.3359999999999
2016,Consumer,Central,Carrollton,1399.9440000000002
2017,Consumer,Central,Carrollton,186.6
2014,Consumer,Central,Cedar Hill,7.080000000000001
2015,Consumer,Central,Cedar Hill,
2016,Consumer,Central,Cedar Hill,
2017,Consumer,Central,Cedar Hill,
2014,Consumer,Central,Cedar Rapids,
2015,Consumer,Central,Cedar Rapids,
2016,Consumer,Central,Cedar Rapids,278.4
2017,Consumer,Central,Cedar Rapids,
2014,Consumer,Central,Champaign,
2015,Consumer,Central,Champaign,151.96
2016,Consumer,Central,Champaign,
2017,Consumer,Central,Champaign,
2014,Consumer,Central,Chicago,7949.391999999998
2015,Consumer,Central,Chicago,3300.505000000001
2016,Consumer,Central,Chicago,8643.927000000001
2017,Consumer,Central,Chicago,5239.979
2014,Consumer,Central,College Station,
2015,Consumer,Central,College Station,
2016,Consumer,Central,College Station,
2017,Consumer,Central,College Station,291.04200000000003
2014,Consumer,Central,Columbia,535.27
2015,Consumer,Central,Columbia,
2016,Consumer,Central,Columbia,
2017,Consumer,Central,Columbia,
2014,Consumer,Central,Columbus,
2015,Consumer,Central,Columbus,1926.98
2016,Consumer,Central,Columbus,
2017,Consumer,Central,Columbus,2371.3
2014,Consumer,Central,Coon Rapids,503.13
2015,Consumer,Central,Coon Rapids,
2016,Consumer,Central,Coon Rapids,
2017,Consumer,Central,Coon Rapids,
2014,Consumer,Central,Coppell,
2015,Consumer,Central,Coppell,
2016,Consumer,Central,Coppell,
2017,Consumer,Central,Coppell,40.096000000000004
2014,Consumer,Central,Cottage Grove,144.35999999999999
2015,Consumer,Central,Cottage Grove,
2016,Consumer,Central,Cottage Grove,
2017,Consumer,Central,Cottage Grove,
2014,Consumer,Central,Dallas,127.076
2015,Consumer,Central,Dallas,2071.6216
2016,Consumer,Central,Dallas,2426.2288
2017,Consumer,Central,Dallas,3839.6916
2014,Consumer,Central,Dearborn Heights,770.61
2015,Consumer,Central,Dearborn Heights,
2016,Consumer,Central,Dearborn Heights,
2017,Consumer,Central,Dearborn Heights,280.96
2014,Consumer,Central,Decatur,247.47199999999998
2015,Consumer,Central,Decatur,479.952
2016,Consumer,Central,Decatur,1008.4929999999999
2017,Consumer,Central,Decatur,705.002
2014,Consumer,Central,Des Moines,1190.84
2015,Consumer,Central,Des Moines,
2016,Consumer,Central,Des Moines,6.48
2017,Consumer,Central,Des Moines,
2014,Consumer,Central,Des Plaines,1109.3719999999998
2015,Consumer,Central,Des Plaines,
2016,Consumer,Central,Des Plaines,
2017,Consumer,Central,Des Plaines,383.84000000000003
2014,Consumer,Central,Detroit,443.6
2015,Consumer,Central,Detroit,3237.89
2016,Consumer,Central,Detroit,14715.08
2017,Consumer,Central,Detroit,4794.889999999999
2014,Consumer,Central,Dubuque,
2015,Consumer,Central,Dubuque,263.96
2016,Consumer,Central,Dubuque,
2017,Consumer,Central,Dubuque,
2014,Consumer,Central,Eagan,
2015,Consumer,Central,Eagan,
2016,Consumer,Central,Eagan,
2017,Consumer,Central,Eagan,75.9
2014,Consumer,Central,Eau Claire,
2015,Consumer,Central,Eau Claire,435.53999999999996
2016,Consumer,Central,Eau Claire,1085.87
2017,Consumer,Central,Eau Claire,
2014,Consumer,Central,Edinburg,
2015,Consumer,Central,Edinburg,
2016,Consumer,Central,Edinburg,85.908
2017,Consumer,Central,Edinburg,2.368
2014,Consumer,Central,Edmond,
2015,Consumer,Central,Edmond,
2016,Consumer,Central,Edmond,959.5500000000001
2017,Consumer,Central,Edmond,
2014,Consumer,Central,El Paso,2001.0339999999999
2015,Consumer,Central,El Paso,47.51599999999999
2016,Consumer,Central,El Paso,17.856
2017,Consumer,Central,El Paso,1322.75
2014,Consumer,Central,Elkhart,
2015,Consumer,Central,Elkhart,
2016,Consumer,Central,Elkhart,
2017,Consumer,Central,Elkhart,171.43
2014,Consumer,Central,Evanston,258.279
2015,Consumer,Central,Evanston,1483.528
2016,Consumer,Central,Evanston,11.992
2017,Consumer,Central,Evanston,
2014,Consumer,Central,Fargo,
2015,Consumer,Central,Fargo,
2016,Consumer,Central,Fargo,
2017,Consumer,Central,Fargo,891.53
2014,Consumer,Central,Fort Worth,2233.12
2015,Consumer,Central,Fort Worth,
2016,Consumer,Central,Fort Worth,477.14199999999994
2017,Consumer,Central,Fort Worth,1.988
2014,Consumer,Central,Frankfort,
2015,Consumer,Central,Frankfort,20.767999999999997
2016,Consumer,Central,Frankfort,76.864
2017,Consumer,Central,Frankfort,
2014,Consumer,Central,Freeport,
2015,Consumer,Central,Freeport,
2016,Consumer,Central,Freeport,
2017,Consumer,Central,Freeport,170.57199999999997
2014,Consumer,Central,Fremont,
2015,Consumer,Central,Fremont,
2016,Consumer,Central,Fremont,33.9
2017,Consumer,Central,Fremont,104.85
2014,Consumer,Central,Frisco,
2015,Consumer,Central,Frisco,
2016,Consumer,Central,Frisco,
2017,Consumer,Central,Frisco,30.336000000000006
2014,Consumer,Central,Garden City,
2015,Consumer,Central,Garden City,21.11
2016,Consumer,Central,Garden City,
2017,Consumer,Central,Garden City,
2014,Consumer,Central,Garland,
2015,Consumer,Central,Garland,
2016,Consumer,Central,Garland,
2017,Consumer,Central,Garland,28.776
2014,Consumer,Central,Gladstone,
2015,Consumer,Central,Gladstone,
2016,Consumer,Central,Gladstone,
2017,Consumer,Central,Gladstone,164.34
2014,Consumer,Central,Glenview,
2015,Consumer,Central,Glenview,158.376
2016,Consumer,Central,Glenview,
2017,Consumer,Central,Glenview,
2014,Consumer,Central,Grand Island,
2015,Consumer,Central,Grand Island,
2016,Consumer,Central,Grand Island,
2017,Consumer,Central,Grand Island,15.96
2014,Consumer,Central,Grand Prairie,84.87199999999999
2015,Consumer,Central,Grand Prairie,271.756
2016,Consumer,Central,Grand Prairie,
2017,Consumer,Central,Grand Prairie,536.8580000000001
2014,Consumer,Central,Grand Rapids,
2015,Consumer,Central,Grand Rapids,
2016,Consumer,Central,Grand Rapids,217.24
2017,Consumer,Central,Grand Rapids,54.900000000000006
2014,Consumer,Central,Green Bay,468.90000000000003
2015,Consumer,Central,Green Bay,
2016,Consumer,Central,Green Bay,
2017,Consumer,Central,Green Bay,
2014,Consumer,Central,Greenwood,
2015,Consumer,Central,Greenwood,
2016,Consumer,Central,Greenwood,1424.9
2017,Consumer,Central,Greenwood,
2014,Consumer,Central,Harlingen,
2015,Consumer,Central,Harlingen,
2016,Consumer,Central,Harlingen,392.06
2017,Consumer,Central,Harlingen,79.34400000000001
2014,Consumer,Central,Highland Park,
2015,Consumer,Central,Highland Park,1454.838
2016,Consumer,Central,Highland Park,
2017,Consumer,Central,Highland Park,
2014,Consumer,Central,Holland,
2015,Consumer,Central,Holland,7.5
2016,Consumer,Central,Holland,
2017,Consumer,Central,Holland,
2014,Consumer,Central,Houston,8741.538999999999
2015,Consumer,Central,Houston,6519.227200000001
2016,Consumer,Central,Houston,9731.7644
2017,Consumer,Central,Houston,9053.534
2014,Consumer,Central,Huntsville,180.014
2015,Consumer,Central,Huntsville,1061.328
2016,Consumer,Central,Huntsville,
2017,Consumer,Central,Huntsville,1098.6299999999999
2014,Consumer,Central,Independence,
2015,Consumer,Central,Independence,
2016,Consumer,Central,Independence,
2017,Consumer,Central,Independence,839.4300000000001
2014,Consumer,Central,Indianapolis,1107.66
2015,Consumer,Central,Indianapolis,227.57
2016,Consumer,Central,Indianapolis,
2017,Consumer,Central,Indianapolis,382.71
2014,Consumer,Central,Irving,88.77600000000001
2015,Consumer,Central,Irving,
2016,Consumer,Central,Irving,500.788
2017,Consumer,Central,Irving,
2014,Consumer,Central,Jackson,46.8
2015,Consumer,Central,Jackson,
2016,Consumer,Central,Jackson,132.809
2017,Consumer,Central,Jackson,5821.75
2014,Consumer,Central,Keller,
2015,Consumer,Central,Keller,
2016,Consumer,Central,Keller,
2017,Consumer,Central,Keller,6
2014,Consumer,Central,Kenosha,
2015,Consumer,Central,Kenosha,2531.8799999999997
2016,Consumer,Central,Kenosha,
2017,Consumer,Central,Kenosha,
2014,Consumer,Central,Kirkwood,
2015,Consumer,Central,Kirkwood,241.34
2016,Consumer,Central,Kirkwood,
2017,Consumer,Central,Kirkwood,
2014,Consumer,Central,La Crosse,
2015,Consumer,Central,La Crosse,
2016,Consumer,Central,La Crosse,56.82000000000001
2017,Consumer,Central,La Crosse,
2014,Consumer,Central,La Porte,
2015,Consumer,Central,La Porte,
2016,Consumer,Central,La Porte,142.142
2017,Consumer,Central,La Porte,526.45
2014,Consumer,Central,Lafayette,5.9399999999999995
2015,Consumer,Central,Lafayette,
2016,Consumer,Central,Lafayette,
2017,Consumer,Central,Lafayette,739.92
2014,Consumer,Central,Lakeville,249.92000000000002
2015,Consumer,Central,Lakeville,
2016,Consumer,Central,Lakeville,
2017,Consumer,Central,Lakeville,109.52000000000001
2014,Consumer,Central,Lansing,
2015,Consumer,Central,Lansing,1273.6060000000002
2016,Consumer,Central,Lansing,67
2017,Consumer,Central,Lansing,
2014,Consumer,Central,Laredo,40.544000000000004
2015,Consumer,Central,Laredo,
2016,Consumer,Central,Laredo,374.182
2017,Consumer,Central,Laredo,
2014,Consumer,Central,Lawrence,
2015,Consumer,Central,Lawrence,508.11000000000007
2016,Consumer,Central,Lawrence,35.88
2017,Consumer,Central,Lawrence,794.07
2014,Consumer,Central,Lawton,475.42
2015,Consumer,Central,Lawton,
2016,Consumer,Central,Lawton,
2017,Consumer,Central,Lawton,582.07
2014,Consumer,Central,League City,
2015,Consumer,Central,League City,
2016,Consumer,Central,League City,
2017,Consumer,Central,League City,321.202
2014,Consumer,Central,Lubbock,25.16
2015,Consumer,Central,Lubbock,546.7920000000001
2016,Consumer,Central,Lubbock,
2017,Consumer,Central,Lubbock,
2014,Consumer,Central,Madison,3520.36
2015,Consumer,Central,Madison,
