Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Country,Orders.Sub-Category,Sum(Orders.Profit)
2014,Qtr 2,United States,Accessories,1038.4554999999998
2015,Qtr 2,United States,Accessories,1238.1835999999998
2016,Qtr 2,United States,Accessories,1684.7750999999994
2017,Qtr 2,United States,Accessories,2575.8228999999988
2014,Qtr 2,United States,Appliances,959.8454999999998
2015,Qtr 2,United States,Appliances,-523.312600000001
2016,Qtr 2,United States,Appliances,521.5242999999999
2017,Qtr 2,United States,Appliances,1445.0907999999997
2014,Qtr 2,United States,Art,406.8376999999998
2015,Qtr 2,United States,Art,323.3574
2016,Qtr 2,United States,Art,365.35349999999994
2017,Qtr 2,United States,Art,579.4465999999999
2014,Qtr 2,United States,Binders,2161.8373
2015,Qtr 2,United States,Binders,3373.4824999999987
2016,Qtr 2,United States,Binders,-1643.0190000000002
2017,Qtr 2,United States,Binders,2719.977999999999
2014,Qtr 2,United States,Bookcases,-214.3451
2015,Qtr 2,United States,Bookcases,-279.89830000000006
2016,Qtr 2,United States,Bookcases,416.30459999999994
2017,Qtr 2,United States,Bookcases,109.38829999999993
2014,Qtr 2,United States,Chairs,1072.0673000000002
2015,Qtr 2,United States,Chairs,968.0627999999997
2016,Qtr 2,United States,Chairs,1601.4947999999993
2017,Qtr 2,United States,Chairs,1270.9527999999987
2014,Qtr 2,United States,Copiers,464.98850000000004
2015,Qtr 2,United States,Copiers,2241.9406
2016,Qtr 2,United States,Copiers,1564.9882999999988
2017,Qtr 2,United States,Copiers,1049.985
2014,Qtr 2,United States,Envelopes,316.0028
2015,Qtr 2,United States,Envelopes,354.28349999999995
2016,Qtr 2,United States,Envelopes,193.43089999999998
2017,Qtr 2,United States,Envelopes,247.08599999999998
2014,Qtr 2,United States,Fasteners,28.43779999999999
2015,Qtr 2,United States,Fasteners,17.6771
2016,Qtr 2,United States,Fasteners,54.276399999999995
2017,Qtr 2,United States,Fasteners,19.0085
2014,Qtr 2,United States,Furnishings,351.87749999999994
2015,Qtr 2,United States,Furnishings,1057.3146999999997
2016,Qtr 2,United States,Furnishings,359.7669000000002
2017,Qtr 2,United States,Furnishings,937.2551999999994
2014,Qtr 2,United States,Labels,344.25750000000005
2015,Qtr 2,United States,Labels,171.65800000000004
2016,Qtr 2,United States,Labels,263.2686
2017,Qtr 2,United States,Labels,325.52959999999996
2014,Qtr 2,United States,Machines,-142.0174
2015,Qtr 2,United States,Machines,927.4447999999995
2016,Qtr 2,United States,Machines,4580.507099999998
2017,Qtr 2,United States,Machines,-1166.7751000000012
2014,Qtr 2,United States,Paper,911.9930000000002
2015,Qtr 2,United States,Paper,956.2088000000006
2016,Qtr 2,United States,Paper,2913.0705000000003
2017,Qtr 2,United States,Paper,2441.7446
2014,Qtr 2,United States,Phones,3262.9792000000007
2015,Qtr 2,United States,Phones,1552.4182999999996
2016,Qtr 2,United States,Phones,2712.5184
2017,Qtr 2,United States,Phones,2102.291
2014,Qtr 2,United States,Storage,543.1238
2015,Qtr 2,United States,Storage,689.7557999999998
2016,Qtr 2,United States,Storage,1154.0078000000003
2017,Qtr 2,United States,Storage,2018.1876999999993
2014,Qtr 2,United States,Supplies,106.51020000000005
2015,Qtr 2,United States,Supplies,41.24939999999999
2016,Qtr 2,United States,Supplies,-57.40329999999997
2017,Qtr 2,United States,Supplies,107.23780000000002
2014,Qtr 2,United States,Tables,-408.78190000000075
2015,Qtr 2,United States,Tables,-918.9040000000002
2016,Qtr 2,United States,Tables,-294.52550000000053
2017,Qtr 2,United States,Tables,-1283.0212
