Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales)
2014,Qtr 1,Furniture,Bookcases,2716.5009999999997
2014,Qtr 2,Furniture,Bookcases,1708.7035999999998
2014,Qtr 3,Furniture,Bookcases,4676.4188
2014,Qtr 4,Furniture,Bookcases,10935.0542
2014,Qtr 1,Furniture,Chairs,10091.3
2014,Qtr 2,Furniture,Chairs,13341.776
2014,Qtr 3,Furniture,Chairs,22804.367
2014,Qtr 4,Furniture,Chairs,31004.132999999998
2014,Qtr 1,Furniture,Furnishings,1584.8780000000004
2014,Qtr 2,Furniture,Furnishings,2196.9620000000004
2014,Qtr 3,Furniture,Furnishings,4861.336
2014,Qtr 4,Furniture,Furnishings,5183.057999999999
2014,Qtr 1,Furniture,Tables,8263.460000000001
2014,Qtr 2,Furniture,Tables,10816.307999999999
2014,Qtr 3,Furniture,Tables,9615.756500000001
2014,Qtr 4,Furniture,Tables,17392.841
2014,Qtr 1,Office Supplies,Appliances,905.462
2014,Qtr 2,Office Supplies,Appliances,3726.4219999999996
2014,Qtr 3,Office Supplies,Appliances,4591.7570000000005
2014,Qtr 4,Office Supplies,Appliances,6089.983999999999
2014,Qtr 1,Office Supplies,Art,663.922
2014,Qtr 2,Office Supplies,Art,1542.2479999999998
2014,Qtr 3,Office Supplies,Art,1219.5620000000001
2014,Qtr 4,Office Supplies,Art,2632.249999999999
2014,Qtr 1,Office Supplies,Binders,2679.445
2014,Qtr 2,Office Supplies,Binders,9633.848999999995
2014,Qtr 3,Office Supplies,Binders,19929.495000000006
2014,Qtr 4,Office Supplies,Binders,11245.476
2014,Qtr 1,Office Supplies,Envelopes,547.5600000000001
2014,Qtr 2,Office Supplies,Envelopes,718.106
2014,Qtr 3,Office Supplies,Envelopes,721.5679999999999
2014,Qtr 4,Office Supplies,Envelopes,1868.516
2014,Qtr 1,Office Supplies,Fasteners,97.65
2014,Qtr 2,Office Supplies,Fasteners,159.552
2014,Qtr 3,Office Supplies,Fasteners,205.696
2014,Qtr 4,Office Supplies,Fasteners,198.42999999999998
2014,Qtr 1,Office Supplies,Labels,255.21200000000002
2014,Qtr 2,Office Supplies,Labels,744.1580000000001
2014,Qtr 3,Office Supplies,Labels,617.702
2014,Qtr 4,Office Supplies,Labels,1224.322
2014,Qtr 1,Office Supplies,Paper,1580.83
2014,Qtr 2,Office Supplies,Paper,2194.733999999999
2014,Qtr 3,Office Supplies,Paper,4259.074000000001
2014,Qtr 4,Office Supplies,Paper,6800.318000000002
2014,Qtr 1,Office Supplies,Storage,7541.361999999996
2014,Qtr 2,Office Supplies,Storage,8242.428
2014,Qtr 3,Office Supplies,Storage,13585.685999999998
2014,Qtr 4,Office Supplies,Storage,20959.566000000006
2014,Qtr 1,Office Supplies,Supplies,257.24
2014,Qtr 2,Office Supplies,Supplies,4282.237999999999
2014,Qtr 3,Office Supplies,Supplies,8793.427999999998
2014,Qtr 4,Office Supplies,Supplies,1061.1639999999998
2014,Qtr 1,Technology,Accessories,3057.814
2014,Qtr 2,Technology,Accessories,3908.5200000000004
2014,Qtr 3,Technology,Accessories,7705.984
2014,Qtr 4,Technology,Accessories,10341.954000000002
2014,Qtr 1,Technology,Copiers,
2014,Qtr 2,Technology,Copiers,2999.93
2014,Qtr 3,Technology,Copiers,4109.928
2014,Qtr 4,Technology,Copiers,3739.924
2014,Qtr 1,Technology,Machines,25314.658
2014,Qtr 2,Technology,Machines,979.729
2014,Qtr 3,Technology,Machines,22420.282
2014,Qtr 4,Technology,Machines,13308.704000000002
2014,Qtr 1,Technology,Phones,8890.502
2014,Qtr 2,Technology,Phones,19343.095999999994
2014,Qtr 3,Technology,Phones,13515.171999999999
2014,Qtr 4,Technology,Phones,35642.036
