Country,Region,Year,Value Column Name,Value
"USA","Americas","2017","PY","293000"
"USA","Americas","2017","PL","350000"
"USA","Americas","2017","FC","404000"
"USA","Americas","2017","AC","359000"
"USA","Americas","2017","AC - PY","66000"
"USA","Americas","2017","(AC - PY)%","0.22525597269624573"
"USA","Americas","2017","AC - PL","9000"
"USA","Americas","2017","(AC - PL)%","0.02571428571428571"
"USA","Americas","2017","AC - FC","-45000"
"USA","Americas","2017","(AC - FC)%","-0.11138613861386139"
"USA","Americas","2017","PL - PY","57000"
"USA","Americas","2017","(PL - PY)%","0.19453924914675766"
"USA","Americas","2017","FC - PY","111000"
"USA","Americas","2017","(FC - PY)%","0.3788395904436859"
"USA","Americas","2017","FC - PL","54000"
"USA","Americas","2017","(FC - PL)%","0.15428571428571428"
"USA","Americas","2018","PY","341000"
"USA","Americas","2018","PL","133000"
"USA","Americas","2018","FC","242000"
"USA","Americas","2018","AC","275000"
"USA","Americas","2018","AC - PY","-66000"
"USA","Americas","2018","(AC - PY)%","-0.1935483870967742"
"USA","Americas","2018","AC - PL","142000"
"USA","Americas","2018","(AC - PL)%","1.0676691729323309"
"USA","Americas","2018","AC - FC","33000"
"USA","Americas","2018","(AC - FC)%","0.13636363636363635"
"USA","Americas","2018","PL - PY","-208000"
"USA","Americas","2018","(PL - PY)%","-0.6099706744868035"
"USA","Americas","2018","FC - PY","-99000"
"USA","Americas","2018","(FC - PY)%","-0.2903225806451613"
"USA","Americas","2018","FC - PL","109000"
"USA","Americas","2018","(FC - PL)%","0.8195488721804511"
"USA","Americas","2019","PY","286000"
"USA","Americas","2019","PL","259000"
"USA","Americas","2019","FC","392000"
"USA","Americas","2019","AC","321000"
"USA","Americas","2019","AC - PY","35000"
"USA","Americas","2019","(AC - PY)%","0.12237762237762238"
"USA","Americas","2019","AC - PL","62000"
"USA","Americas","2019","(AC - PL)%","0.23938223938223938"
"USA","Americas","2019","AC - FC","-71000"
"USA","Americas","2019","(AC - FC)%","-0.18112244897959184"
"USA","Americas","2019","PL - PY","-27000"
"USA","Americas","2019","(PL - PY)%","-0.0944055944055944"
"USA","Americas","2019","FC - PY","106000"
"USA","Americas","2019","(FC - PY)%","0.3706293706293706"
"USA","Americas","2019","FC - PL","133000"
"USA","Americas","2019","(FC - PL)%","0.5135135135135135"
"Brazil","Americas","2017","PY","297000"
"Brazil","Americas","2017","PL","381000"
"Brazil","Americas","2017","FC","280000"
"Brazil","Americas","2017","AC","233000"
"Brazil","Americas","2017","AC - PY","-64000"
"Brazil","Americas","2017","(AC - PY)%","-0.21548821548821548"
"Brazil","Americas","2017","AC - PL","-148000"
"Brazil","Americas","2017","(AC - PL)%","-0.3884514435695538"
"Brazil","Americas","2017","AC - FC","-47000"
"Brazil","Americas","2017","(AC - FC)%","-0.16785714285714284"
"Brazil","Americas","2017","PL - PY","84000"
"Brazil","Americas","2017","(PL - PY)%","0.2828282828282828"
"Brazil","Americas","2017","FC - PY","-17000"
"Brazil","Americas","2017","(FC - PY)%","-0.05723905723905724"
"Brazil","Americas","2017","FC - PL","-101000"
"Brazil","Americas","2017","(FC - PL)%","-0.2650918635170604"
"Brazil","Americas","2018","PY","-44000"
"Brazil","Americas","2018","PL","273000"
"Brazil","Americas","2018","FC","160000"
"Brazil","Americas","2018","AC","280000"
"Brazil","Americas","2018","AC - PY","324000"
"Brazil","Americas","2018","(AC - PY)%","7.363636363636363"
"Brazil","Americas","2018","AC - PL","7000"
"Brazil","Americas","2018","(AC - PL)%","0.02564102564102564"
"Brazil","Americas","2018","AC - FC","120000"
