Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.State,Sum(Orders.Sales)
2014,Furniture,Alabama,3590.6200000000003
2015,Furniture,Alabama,2238.7599999999998
2016,Furniture,Alabama,350.98
2017,Furniture,Alabama,152.12
2014,Furniture,Arizona,1383.673
2015,Furniture,Arizona,3873.4330000000004
2016,Furniture,Arizona,3766.0180000000005
2017,Furniture,Arizona,4502.167
2014,Furniture,Arkansas,2381.82
2015,Furniture,Arkansas,301.96
2016,Furniture,Arkansas,503.77
2017,Furniture,Arkansas,
2014,Furniture,California,32962.946999999986
2015,Furniture,California,32500.028499999997
2016,Furniture,California,49927.255499999985
2017,Furniture,California,40674.370499999975
2014,Furniture,Colorado,1721.994
2015,Furniture,Colorado,2002.508
2016,Furniture,Colorado,6742.897999999999
2017,Furniture,Colorado,2775.637
2014,Furniture,Connecticut,1231.37
2015,Furniture,Connecticut,22.200000000000003
2016,Furniture,Connecticut,2150.877
2017,Furniture,Connecticut,1770.5400000000004
2014,Furniture,Delaware,1170.91
2015,Furniture,Delaware,2419.786
2016,Furniture,Delaware,292.32000000000005
2017,Furniture,Delaware,876.3030000000001
2014,Furniture,District of Columbia,
2015,Furniture,District of Columbia,1267.53
2016,Furniture,District of Columbia,41.37
2017,Furniture,District of Columbia,37.68
2014,Furniture,Florida,4040.0825000000004
2015,Furniture,Florida,5524.006500000001
2016,Furniture,Florida,3057.2175
2017,Furniture,Florida,10365.7315
2014,Furniture,Georgia,235.99
2015,Furniture,Georgia,1421.55
2016,Furniture,Georgia,2961.37
2017,Furniture,Georgia,3702.57
2014,Furniture,Idaho,338.352
2015,Furniture,Idaho,1051.78
2016,Furniture,Idaho,1128.3899999999999
2017,Furniture,Idaho,76.96000000000001
2014,Furniture,Illinois,5480.269
2015,Furniture,Illinois,6142.452
2016,Furniture,Illinois,7886.874
2017,Furniture,Illinois,8764.927000000001
2014,Furniture,Indiana,668.1600000000001
2015,Furniture,Indiana,1612.3500000000001
2016,Furniture,Indiana,4974.01
2017,Furniture,Indiana,4242.19
2014,Furniture,Iowa,1184.72
2015,Furniture,Iowa,1408.1
2016,Furniture,Iowa,
2017,Furniture,Iowa,49.49000000000001
2014,Furniture,Kansas,40.56
2015,Furniture,Kansas,
2016,Furniture,Kansas,70.56
2017,Furniture,Kansas,
2014,Furniture,Kentucky,2573.82
2015,Furniture,Kentucky,1122.8300000000002
2016,Furniture,Kentucky,3433.9300000000003
2017,Furniture,Kentucky,4996.259999999999
2014,Furniture,Louisiana,181.88
2015,Furniture,Louisiana,632.64
2016,Furniture,Louisiana,
2017,Furniture,Louisiana,2148.51
2014,Furniture,Maine,
2015,Furniture,Maine,
2016,Furniture,Maine,109.48
2017,Furniture,Maine,
2014,Furniture,Maryland,827.72
2015,Furniture,Maryland,875.88
2016,Furniture,Maryland,2713.1829999999995
2017,Furniture,Maryland,4732.469999999999
2014,Furniture,Massachusetts,4300.186
2015,Furniture,Massachusetts,2198.4579999999996
2016,Furniture,Massachusetts,1539.194
2017,Furniture,Massachusetts,2881.2259999999997
2014,Furniture,Michigan,1123.8999999999999
2015,Furniture,Michigan,5067.07
2016,Furniture,Michigan,8526.2
2017,Furniture,Michigan,7603.93
2014,Furniture,Minnesota,2481.76
2015,Furniture,Minnesota,2936.4
2016,Furniture,Minnesota,711.78
2017,Furniture,Minnesota,1481.4099999999999
2014,Furniture,Mississippi,85.98
2015,Furniture,Mississippi,6.16
2016,Furniture,Mississippi,3359.31
