Superstore 2023.Region	Superstore 2023.Category	Superstore 2023.Sub-Category	Superstore 2023.Order Date	Superstore 2023.ProfitM	Sum(Superstore 2023.Sales)
Central	Furniture	Bookcases	Monday, January 13, 2020		
East	Furniture	Bookcases	Monday, January 13, 2020		
South	Furniture	Bookcases	Monday, January 13, 2020		
West	Furniture	Bookcases	Monday, January 13, 2020	3.9294	333.999
Central	Furniture	Bookcases	Tuesday, January 14, 2020		
East	Furniture	Bookcases	Tuesday, January 14, 2020	-53.2856	61.96
South	Furniture	Bookcases	Tuesday, January 14, 2020		
West	Furniture	Bookcases	Tuesday, January 14, 2020		
Central	Furniture	Bookcases	Sunday, January 19, 2020		
East	Furniture	Bookcases	Sunday, January 19, 2020		
South	Furniture	Bookcases	Sunday, January 19, 2020		
West	Furniture	Bookcases	Sunday, January 19, 2020	-320.597	181.47
Central	Furniture	Bookcases	Sunday, January 26, 2020	39.7488	141.96
East	Furniture	Bookcases	Sunday, January 26, 2020		
South	Furniture	Bookcases	Sunday, January 26, 2020		
West	Furniture	Bookcases	Sunday, January 26, 2020		
Central	Furniture	Bookcases	Friday, January 31, 2020		
East	Furniture	Bookcases	Friday, January 31, 2020		
South	Furniture	Bookcases	Friday, January 31, 2020		
West	Furniture	Bookcases	Friday, January 31, 2020	3.4196	290.666
Central	Furniture	Bookcases	Tuesday, March 03, 2020		
East	Furniture	Bookcases	Tuesday, March 03, 2020	-199.617	302.45
South	Furniture	Bookcases	Tuesday, March 03, 2020		
West	Furniture	Bookcases	Tuesday, March 03, 2020		
Central	Furniture	Bookcases	Wednesday, March 18, 2020		
East	Furniture	Bookcases	Wednesday, March 18, 2020		
South	Furniture	Bookcases	Wednesday, March 18, 2020		
West	Furniture	Bookcases	Wednesday, March 18, 2020	70.49	1198.33
Central	Furniture	Bookcases	Monday, March 30, 2020		
East	Furniture	Bookcases	Monday, March 30, 2020		
South	Furniture	Bookcases	Monday, March 30, 2020		
West	Furniture	Bookcases	Monday, March 30, 2020	-12.098	205.666
Central	Furniture	Bookcases	Sunday, April 12, 2020		
East	Furniture	Bookcases	Sunday, April 12, 2020		
South	Furniture	Bookcases	Sunday, April 12, 2020		
West	Furniture	Bookcases	Sunday, April 12, 2020	-18.147	308.499
Central	Furniture	Bookcases	Sunday, May 10, 2020		
East	Furniture	Bookcases	Sunday, May 10, 2020	-216.9783	349.965
South	Furniture	Bookcases	Sunday, May 10, 2020		
West	Furniture	Bookcases	Sunday, May 10, 2020		
Central	Furniture	Bookcases	Tuesday, May 26, 2020		
East	Furniture	Bookcases	Tuesday, May 26, 2020		
South	Furniture	Bookcases	Tuesday, May 26, 2020		
West	Furniture	Bookcases	Tuesday, May 26, 2020	27.3568	290.666
Central	Furniture	Bookcases	Thursday, June 04, 2020		
East	Furniture	Bookcases	Thursday, June 04, 2020	-44.196	353.568
South	Furniture	Bookcases	Thursday, June 04, 2020		
West	Furniture	Bookcases	Thursday, June 04, 2020		
Central	Furniture	Bookcases	Sunday, June 14, 2020	57.4938	212.94
East	Furniture	Bookcases	Sunday, June 14, 2020		
South	Furniture	Bookcases	Sunday, June 14, 2020		
West	Furniture	Bookcases	Sunday, June 14, 2020		
Central	Furniture	Bookcases	Saturday, June 20, 2020	-19.8744	193.0656
East	Furniture	Bookcases	Saturday, June 20, 2020		
South	Furniture	Bookcases	Saturday, June 20, 2020		
West	Furniture	Bookcases	Saturday, June 20, 2020		
Central	Furniture	Bookcases	Thursday, July 09, 2020		
East	Furniture	Bookcases	Thursday, July 09, 2020		
South	Furniture	Bookcases	Thursday, July 09, 2020		
West	Furniture	Bookcases	Thursday, July 09, 2020	7.049	119.833
Central	Furniture	Bookcases	Thursday, July 30, 2020		
East	Furniture	Bookcases	Thursday, July 30, 2020		
South	Furniture	Bookcases	Thursday, July 30, 2020		
West	Furniture	Bookcases	Thursday, July 30, 2020	259.8896	1367.84
Central	Furniture	Bookcases	Saturday, August 08, 2020		
East	Furniture	Bookcases	Saturday, August 08, 2020		
South	Furniture	Bookcases	Saturday, August 08, 2020	-7.7728	155.456
West	Furniture	Bookcases	Saturday, August 08, 2020		
Central	Furniture	Bookcases	Wednesday, August 19, 2020		
East	Furniture	Bookcases	Wednesday, August 19, 2020		
South	Furniture	Bookcases	Wednesday, August 19, 2020	172.4814	638.82
West	Furniture	Bookcases	Wednesday, August 19, 2020		
Central	Furniture	Bookcases	Sunday, September 20, 2020	-70.49	493.43
East	Furniture	Bookcases	Sunday, September 20, 2020	26.2744	1164.508
South	Furniture	Bookcases	Sunday, September 20, 2020		
West	Furniture	Bookcases	Sunday, September 20, 2020		
Central	Furniture	Bookcases	Wednesday, September 23, 2020		
East	Furniture	Bookcases	Wednesday, September 23, 2020		
South	Furniture	Bookcases	Wednesday, September 23, 2020		
West	Furniture	Bookcases	Wednesday, September 23, 2020	20.5176	435.999
Central	Furniture	Bookcases	Friday, September 25, 2020	-97.2312	300.5328
East	Furniture	Bookcases	Friday, September 25, 2020		
South	Furniture	Bookcases	Friday, September 25, 2020		
West	Furniture	Bookcases	Friday, September 25, 2020		
Central	Furniture	Bookcases	Wednesday, October 28, 2020		
East	Furniture	Bookcases	Wednesday, October 28, 2020		
South	Furniture	Bookcases	Wednesday, October 28, 2020		
West	Furniture	Bookcases	Wednesday, October 28, 2020	-36.294	616.998
Central	Furniture	Bookcases	Monday, November 09, 2020		
East	Furniture	Bookcases	Monday, November 09, 2020		
South	Furniture	Bookcases	Monday, November 09, 2020		
West	Furniture	Bookcases	Monday, November 09, 2020	10.4784	222.666
Central	Furniture	Bookcases	Wednesday, November 11, 2020		
East	Furniture	Bookcases	Wednesday, November 11, 2020	-250.5408	521.96
South	Furniture	Bookcases	Wednesday, November 11, 2020		
West	Furniture	Bookcases	Wednesday, November 11, 2020		
Central	Furniture	Bookcases	Thursday, November 12, 2020	-12.9987	67.9932
East	Furniture	Bookcases	Thursday, November 12, 2020		
South	Furniture	Bookcases	Thursday, November 12, 2020		
West	Furniture	Bookcases	Thursday, November 12, 2020		
Central	Furniture	Bookcases	Monday, November 16, 2020		
East	Furniture	Bookcases	Monday, November 16, 2020		
South	Furniture	Bookcases	Monday, November 16, 2020		
West	Furniture	Bookcases	Monday, November 16, 2020	25.1979	305.9745
Central	Furniture	Bookcases	Tuesday, November 17, 2020		
East	Furniture	Bookcases	Tuesday, November 17, 2020	-50.098	4007.84
South	Furniture	Bookcases	Tuesday, November 17, 2020		
West	Furniture	Bookcases	Tuesday, November 17, 2020		
Central	Furniture	Bookcases	Wednesday, November 18, 2020	-30.294	424.116
East	Furniture	Bookcases	Wednesday, November 18, 2020		
South	Furniture	Bookcases	Wednesday, November 18, 2020		
West	Furniture	Bookcases	Wednesday, November 18, 2020		
Central	Furniture	Bookcases	Thursday, November 19, 2020		
East	Furniture	Bookcases	Thursday, November 19, 2020	235.9524	1025.88
South	Furniture	Bookcases	Thursday, November 19, 2020		
West	Furniture	Bookcases	Thursday, November 19, 2020		
Central	Furniture	Bookcases	Wednesday, November 25, 2020		
East	Furniture	Bookcases	Wednesday, November 25, 2020	-37.9434	275.952
South	Furniture	Bookcases	Wednesday, November 25, 2020		
West	Furniture	Bookcases	Wednesday, November 25, 2020		
Central	Furniture	Bookcases	Saturday, November 28, 2020		
East	Furniture	Bookcases	Saturday, November 28, 2020		
South	Furniture	Bookcases	Saturday, November 28, 2020		
West	Furniture	Bookcases	Saturday, November 28, 2020	-4.8392	411.332
Central	Furniture	Bookcases	Wednesday, December 02, 2020		
East	Furniture	Bookcases	Wednesday, December 02, 2020	-110.49	883.92
South	Furniture	Bookcases	Wednesday, December 02, 2020		
West	Furniture	Bookcases	Wednesday, December 02, 2020		
Central	Furniture	Bookcases	Saturday, December 12, 2020		
East	Furniture	Bookcases	Saturday, December 12, 2020		
South	Furniture	Bookcases	Saturday, December 12, 2020		
West	Furniture	Bookcases	Saturday, December 12, 2020	11.9988	254.9745
Central	Furniture	Bookcases	Thursday, December 31, 2020		
East	Furniture	Bookcases	Thursday, December 31, 2020	275.3368	1915.448
South	Furniture	Bookcases	Thursday, December 31, 2020		
West	Furniture	Bookcases	Thursday, December 31, 2020		
Central	Furniture	Bookcases	Saturday, January 02, 2021		
East	Furniture	Bookcases	Saturday, January 02, 2021	-244.323	452.45
South	Furniture	Bookcases	Saturday, January 02, 2021		
West	Furniture	Bookcases	Saturday, January 02, 2021		
Central	Furniture	Bookcases	Sunday, January 03, 2021	-437.5404	1352.3976
East	Furniture	Bookcases	Sunday, January 03, 2021		
South	Furniture	Bookcases	Sunday, January 03, 2021		
West	Furniture	Bookcases	Sunday, January 03, 2021		
Central	Furniture	Bookcases	Saturday, February 06, 2021		
East	Furniture	Bookcases	Saturday, February 06, 2021	82.3368	283.92
South	Furniture	Bookcases	Saturday, February 06, 2021		
West	Furniture	Bookcases	Saturday, February 06, 2021		
Central	Furniture	Bookcases	Monday, March 01, 2021	-36.1176	1227.9984
East	Furniture	Bookcases	Monday, March 01, 2021		
South	Furniture	Bookcases	Monday, March 01, 2021		
West	Furniture	Bookcases	Monday, March 01, 2021		
Central	Furniture	Bookcases	Monday, March 08, 2021	97.4586	512.94
East	Furniture	Bookcases	Monday, March 08, 2021		
South	Furniture	Bookcases	Monday, March 08, 2021		
West	Furniture	Bookcases	Monday, March 08, 2021		
Central	Furniture	Bookcases	Saturday, March 13, 2021		
East	Furniture	Bookcases	Saturday, March 13, 2021		
South	Furniture	Bookcases	Saturday, March 13, 2021		
West	Furniture	Bookcases	Saturday, March 13, 2021	39.7488	141.96
Central	Furniture	Bookcases	Friday, March 19, 2021	-67.6704	383.4656
East	Furniture	Bookcases	Friday, March 19, 2021		
South	Furniture	Bookcases	Friday, March 19, 2021		
West	Furniture	Bookcases	Friday, March 19, 2021		
Central	Furniture	Bookcases	Wednesday, March 24, 2021	-35.9058	359.058
East	Furniture	Bookcases	Wednesday, March 24, 2021		
South	Furniture	Bookcases	Wednesday, March 24, 2021		
West	Furniture	Bookcases	Wednesday, March 24, 2021		
Central	Furniture	Bookcases	Monday, April 05, 2021		
East	Furniture	Bookcases	Monday, April 05, 2021	-211.47	352.45
South	Furniture	Bookcases	Monday, April 05, 2021		
West	Furniture	Bookcases	Monday, April 05, 2021		
Central	Furniture	Bookcases	Friday, April 16, 2021		
East	Furniture	Bookcases	Friday, April 16, 2021		
South	Furniture	Bookcases	Friday, April 16, 2021	125.5824	523.26
West	Furniture	Bookcases	Friday, April 16, 2021		
Central	Furniture	Bookcases	Friday, May 14, 2021		
East	Furniture	Bookcases	Friday, May 14, 2021		
South	Furniture	Bookcases	Friday, May 14, 2021		
West	Furniture	Bookcases	Friday, May 14, 2021	41.9965	509.9575
Central	Furniture	Bookcases	Monday, May 31, 2021		
East	Furniture	Bookcases	Monday, May 31, 2021		
South	Furniture	Bookcases	Monday, May 31, 2021		
West	Furniture	Bookcases	Monday, May 31, 2021	140.686	1406.86
Central	Furniture	Bookcases	Monday, June 28, 2021		
East	Furniture	Bookcases	Monday, June 28, 2021	-376.6932	482.94
South	Furniture	Bookcases	Monday, June 28, 2021		
West	Furniture	Bookcases	Monday, June 28, 2021		
Central	Furniture	Bookcases	Tuesday, July 06, 2021		
East	Furniture	Bookcases	Tuesday, July 06, 2021	60.392	301.96
South	Furniture	Bookcases	Tuesday, July 06, 2021		
West	Furniture	Bookcases	Tuesday, July 06, 2021		
Central	Furniture	Bookcases	Wednesday, July 14, 2021		
East	Furniture	Bookcases	Wednesday, July 14, 2021		
South	Furniture	Bookcases	Wednesday, July 14, 2021		
West	Furniture	Bookcases	Wednesday, July 14, 2021	-191.646	127.764
Central	Furniture	Bookcases	Saturday, July 17, 2021		
East	Furniture	Bookcases	Saturday, July 17, 2021		
South	Furniture	Bookcases	Saturday, July 17, 2021	5.798	231.92
West	Furniture	Bookcases	Saturday, July 17, 2021	-13.7976	195.466
Central	Furniture	Bookcases	Tuesday, July 20, 2021	-178.6776	1298.374
East	Furniture	Bookcases	Tuesday, July 20, 2021		
South	Furniture	Bookcases	Tuesday, July 20, 2021		
West	Furniture	Bookcases	Tuesday, July 20, 2021		
Central	Furniture	Bookcases	Sunday, July 25, 2021		
East	Furniture	Bookcases	Sunday, July 25, 2021		
South	Furniture	Bookcases	Sunday, July 25, 2021		
West	Furniture	Bookcases	Sunday, July 25, 2021	56.392	704.9
Central	Furniture	Bookcases	Friday, August 06, 2021	-114.0174	369.1992
East	Furniture	Bookcases	Friday, August 06, 2021		
South	Furniture	Bookcases	Friday, August 06, 2021		
West	Furniture	Bookcases	Friday, August 06, 2021		
Central	Furniture	Bookcases	Monday, August 09, 2021	48.118	687.4
East	Furniture	Bookcases	Monday, August 09, 2021		
South	Furniture	Bookcases	Monday, August 09, 2021		
West	Furniture	Bookcases	Monday, August 09, 2021		
Central	Furniture	Bookcases	Monday, August 16, 2021		
East	Furniture	Bookcases	Monday, August 16, 2021	-204.9996	301.47
South	Furniture	Bookcases	Monday, August 16, 2021		
West	Furniture	Bookcases	Monday, August 16, 2021		
Central	Furniture	Bookcases	Saturday, August 21, 2021		
East	Furniture	Bookcases	Saturday, August 21, 2021		
South	Furniture	Bookcases	Saturday, August 21, 2021		
West	Furniture	Bookcases	Saturday, August 21, 2021	34.494	586.398
Central	Furniture	Bookcases	Saturday, August 28, 2021		
East	Furniture	Bookcases	Saturday, August 28, 2021		
South	Furniture	Bookcases	Saturday, August 28, 2021		
West	Furniture	Bookcases	Saturday, August 28, 2021	28.9568	307.666
Central	Furniture	Bookcases	Tuesday, August 31, 2021		
East	Furniture	Bookcases	Tuesday, August 31, 2021		
South	Furniture	Bookcases	Tuesday, August 31, 2021		
West	Furniture	Bookcases	Tuesday, August 31, 2021	200.9546	1552.831
Central	Furniture	Bookcases	Sunday, September 05, 2021		
East	Furniture	Bookcases	Sunday, September 05, 2021		
South	Furniture	Bookcases	Sunday, September 05, 2021		
West	Furniture	Bookcases	Sunday, September 05, 2021	-25.5356	704.531
Central	Furniture	Bookcases	Friday, September 10, 2021		
East	Furniture	Bookcases	Friday, September 10, 2021	83.2508	361.96
South	Furniture	Bookcases	Friday, September 10, 2021		
West	Furniture	Bookcases	Friday, September 10, 2021		
Central	Furniture	Bookcases	Wednesday, September 15, 2021		
East	Furniture	Bookcases	Wednesday, September 15, 2021	1.1596	46.384
South	Furniture	Bookcases	Wednesday, September 15, 2021		
West	Furniture	Bookcases	Wednesday, September 15, 2021		
Central	Furniture	Bookcases	Friday, September 17, 2021		
East	Furniture	Bookcases	Friday, September 17, 2021	-1531.5248	9316.054
South	Furniture	Bookcases	Friday, September 17, 2021		
West	Furniture	Bookcases	Friday, September 17, 2021		
Central	Furniture	Bookcases	Sunday, September 19, 2021		
East	Furniture	Bookcases	Sunday, September 19, 2021		
South	Furniture	Bookcases	Sunday, September 19, 2021	4.3372	61.96
West	Furniture	Bookcases	Sunday, September 19, 2021		
Central	Furniture	Bookcases	Tuesday, September 21, 2021	31.0912	194.32
East	Furniture	Bookcases	Tuesday, September 21, 2021		
South	Furniture	Bookcases	Tuesday, September 21, 2021		
West	Furniture	Bookcases	Tuesday, September 21, 2021		
Central	Furniture	Bookcases	Sunday, October 03, 2021		
East	Furniture	Bookcases	Sunday, October 03, 2021	-15.6156	35.49
South	Furniture	Bookcases	Sunday, October 03, 2021		
West	Furniture	Bookcases	Sunday, October 03, 2021	18.4548	120.666
Central	Furniture	Bookcases	Tuesday, October 05, 2021		
East	Furniture	Bookcases	Tuesday, October 05, 2021		
South	Furniture	Bookcases	Tuesday, October 05, 2021		
