Orders.Order Date.Variation.Date Hierarchy.Year,Sum(Orders.Sales),Sum(Orders.Profit),Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Segment
2014,1110.6116,-120.65839999999996,Furniture,Bookcases,Central,Consumer
2015,4136.7688,-608.6298000000002,Furniture,Bookcases,Central,Consumer
2016,4697.1992,-522.1548,Furniture,Bookcases,Central,Consumer
2017,3016.2743999999993,-245.68300000000013,Furniture,Bookcases,Central,Consumer
2014,209.95319999999998,26.750099999999996,Furniture,Bookcases,Central,Corporate
2015,2198.6304,-174.12800000000004,Furniture,Bookcases,Central,Corporate
2016,3687.7408,54.11400000000006,Furniture,Bookcases,Central,Corporate
2017,2293.1764000000003,-289.44820000000004,Furniture,Bookcases,Central,Corporate
2014,513.4728,-39.73740000000003,Furniture,Bookcases,Central,Home Office
2015,1962.3228,-102.43460000000003,Furniture,Bookcases,Central,Home Office
2016,,,Furniture,Bookcases,Central,Home Office
2017,331.02639999999997,24.10579999999998,Furniture,Bookcases,Central,Home Office
2014,6759.801000000001,-395.4879000000005,Furniture,Bookcases,East,Consumer
2015,11367.880000000001,-1514.0249000000001,Furniture,Bookcases,East,Consumer
2016,3546.9269999999997,-446.0228000000002,Furniture,Bookcases,East,Consumer
2017,5632.525999999999,163.46839999999975,Furniture,Bookcases,East,Consumer
2014,3485.738,-70.80500000000015,Furniture,Bookcases,East,Corporate
2015,5934.681999999999,485.8235999999999,Furniture,Bookcases,East,Corporate
2016,2042.8160000000003,269.9486,Furniture,Bookcases,East,Corporate
2017,1705.696,279.9958,Furniture,Bookcases,East,Corporate
2014,617.912,40.70739999999998,Furniture,Bookcases,East,Home Office
2015,2350.878,40.77659999999992,Furniture,Bookcases,East,Home Office
2016,374.47800000000007,-22.011600000000016,Furniture,Bookcases,East,Home Office
2017,,,Furniture,Bookcases,East,Home Office
2014,794.2760000000001,164.70860000000002,Furniture,Bookcases,South,Consumer
2015,813.6120000000001,89.2884,Furniture,Bookcases,South,Consumer
2016,2839.756,480.5709999999999,Furniture,Bookcases,South,Consumer
2017,4268.918,485.444,Furniture,Bookcases,South,Consumer
2014,,,Furniture,Bookcases,South,Corporate
2015,363.024,13.991999999999997,Furniture,Bookcases,South,Corporate
2016,289.568,10.858799999999974,Furniture,Bookcases,South,Corporate
2017,501.212,43.51579999999999,Furniture,Bookcases,South,Corporate
2014,,,Furniture,Bookcases,South,Home Office
2015,61.96,4.337199999999996,Furniture,Bookcases,South,Home Office
2016,579.9000000000001,61.293599999999955,Furniture,Bookcases,South,Home Office
2017,387.136,-14.51760000000003,Furniture,Bookcases,South,Home Office
2014,1489.4415,-302.8688,Furniture,Bookcases,West,Consumer
2015,6704.628000000001,-1267.6758000000004,Furniture,Bookcases,West,Consumer
2016,6066.1990000000005,327.8037999999998,Furniture,Bookcases,West,Consumer
2017,5387.9105,-723.7162000000001,Furniture,Bookcases,West,Consumer
2014,3325.9764999999998,278.5208999999999,Furniture,Bookcases,West,Corporate
2015,2649.1865,277.4451,Furniture,Bookcases,West,Corporate
2016,1267.1715,-99.43860000000011,Furniture,Bookcases,West,Corporate
2017,4051.353,-468.6947,Furniture,Bookcases,West,Corporate
2014,1729.495,72.69980000000004,Furniture,Bookcases,West,Home Office
2015,,,Furniture,Bookcases,West,Home Office
2016,883.711,97.509,Furniture,Bookcases,West,Home Office
2017,2449.051,161.90380000000005,Furniture,Bookcases,West,Home Office
2014,11023.306000000002,577.9794999999997,Furniture,Chairs,Central,Consumer
2015,13440.148000000001,1255.3317999999992,Furniture,Chairs,Central,Consumer
2016,6618.043000000001,322.0644999999999,Furniture,Chairs,Central,Consumer
2017,11851.878000000002,765.5254999999993,Furniture,Chairs,Central,Consumer
2014,3891.2039999999997,-231.84699999999987,Furniture,Chairs,Central,Corporate
2015,1837.4019999999998,219.14689999999985,Furniture,Chairs,Central,Corporate
2016,13987.673000000003,1293.1130999999993,Furniture,Chairs,Central,Corporate
2017,8273.273000000001,1926.4707,Furniture,Chairs,Central,Corporate
2014,5839.542,353.1291999999998,Furniture,Chairs,Central,Home Office
2015,2630.955,202.46910000000003,Furniture,Chairs,Central,Home Office
2016,2743.908,-110.93960000000003,Furniture,Chairs,Central,Home Office
2017,3093.314,20.27839999999982,Furniture,Chairs,Central,Home Office
2014,14298.381000000001,1494.901,Furniture,Chairs,East,Consumer
2015,9866.753,1149.8792000000003,Furniture,Chairs,East,Consumer
2016,16826.879999999997,1226.2762999999995,Furniture,Chairs,East,Consumer
2017,18653.118999999995,1046.3387,Furniture,Chairs,East,Consumer
2014,5396.138999999999,882.9467999999999,Furniture,Chairs,East,Corporate
2015,6039.421,592.9418000000001,Furniture,Chairs,East,Corporate
2016,4260.718,271.0239999999999,Furniture,Chairs,East,Corporate
2017,7808.952,973.6752,Furniture,Chairs,East,Corporate
2014,2313.748,341.5362,Furniture,Chairs,East,Home Office
2015,4103.098,735.9805999999998,Furniture,Chairs,East,Home Office
2016,1922.885,285.50079999999997,Furniture,Chairs,East,Home Office
2017,4770.589000000001,356.76999999999964,Furniture,Chairs,East,Home Office
2014,5961.312,729.7823999999999,Furniture,Chairs,South,Consumer
2015,5815.340000000001,1070.8517999999997,Furniture,Chairs,South,Consumer
2016,4130.094,910.1379999999999,Furniture,Chairs,South,Consumer
2017,10897.480000000001,1306.2624999999998,Furniture,Chairs,South,Consumer
2014,3397.228,543.5437999999998,Furniture,Chairs,South,Corporate
2015,3134.476,-101.90270000000027,Furniture,Chairs,South,Corporate
2016,2079.2479999999996,335.4869999999999,Furniture,Chairs,South,Corporate
2017,2755.92,406.8263999999999,Furniture,Chairs,South,Corporate
2014,3713.7400000000002,1031.3877999999997,Furniture,Chairs,South,Home Office
2015,1166.92,131.27849999999995,Furniture,Chairs,South,Home Office
2016,121.78,30.444999999999993,Furniture,Chairs,South,Home Office
2017,2002.908,217.98879999999997,Furniture,Chairs,South,Home Office
2014,12922.439999999999,686.3086999999995,Furniture,Chairs,West,Consumer
2015,8760.64,397.0047999999999,Furniture,Chairs,West,Consumer
2016,12582.424000000003,214.8520999999994,Furniture,Chairs,West,Consumer
2017,9214.504000000004,81.83509999999978,Furniture,Chairs,West,Consumer
2014,5310.408,269.6639999999999,Furniture,Chairs,West,Corporate
2015,7319.928000000002,111.08749999999964,Furniture,Chairs,West,Corporate
2016,14118.592000000004,601.6498999999994,Furniture,Chairs,West,Corporate
2017,9530.296,250.82909999999944,Furniture,Chairs,West,Corporate
2014,3174.1279999999997,275.7146,Furniture,Chairs,West,Home Office
2015,7619.447999999999,464.3467999999999,Furniture,Chairs,West,Home Office
2016,4526.400000000001,383.5427999999999,Furniture,Chairs,West,Home Office
2017,6702.12,290.7488999999994,Furniture,Chairs,West,Home Office
2014,2153.268,-144.59579999999997,Furniture,Furnishings,Central,Consumer
2015,1618.0380000000005,-299.73350000000005,Furniture,Furnishings,Central,Consumer
2016,3118.8700000000003,-417.3794000000001,Furniture,Furnishings,Central,Consumer
2017,2609.814,-592.3437000000002,Furniture,Furnishings,Central,Consumer
2014,254.368,-111.01229999999998,Furniture,Furnishings,Central,Corporate
2015,313.892,-220.79289999999997,Furniture,Furnishings,Central,Corporate
2016,977.9979999999999,-313.74610000000007,Furniture,Furnishings,Central,Corporate
2017,1597.6979999999999,-563.8070000000001,Furniture,Furnishings,Central,Corporate
2014,128.46,9.099000000000004,Furniture,Furnishings,Central,Home Office
2015,596.63,-237.17239999999995,Furniture,Furnishings,Central,Home Office
2016,1018.8240000000002,-851.2000000000003,Furniture,Furnishings,Central,Home Office
2017,866.5100000000001,-163.53270000000003,Furniture,Furnishings,Central,Home Office
2014,2305.5599999999995,350.49669999999986,Furniture,Furnishings,East,Consumer
2015,2110.936,498.2005999999999,Furniture,Furnishings,East,Consumer
2016,5338.15,1375.4659000000006,Furniture,Furnishings,East,Consumer
2017,3422.4220000000005,796.9738,Furniture,Furnishings,East,Consumer
2014,1025.22,294.2906,Furniture,Furnishings,East,Corporate
2015,1935.9920000000002,148.73139999999987,Furniture,Furnishings,East,Corporate
2016,3429.38,592.6106999999998,Furniture,Furnishings,East,Corporate
2017,3592.734,920.5978999999998,Furniture,Furnishings,East,Corporate
2014,426.53600000000006,99.59359999999998,Furniture,Furnishings,East,Home Office
2015,1222.986,90.14199999999991,Furniture,Furnishings,East,Home Office
2016,819.61,167.0991,Furniture,Furnishings,East,Home Office
2017,3441.8539999999994,547.2047999999999,Furniture,Furnishings,East,Home Office
