Category,Sub-Category,Value Column Name,Value
"Office Supplies","Binders","Sales","203412.73300000004"
"Office Supplies","Binders","Profit","30221.763299999973"
"Office Supplies","Binders","Quantity","5974"
"Office Supplies","Binders","Discount","567"
"Office Supplies","Binders","Discount - Sales","-202845.73300000004"
"Office Supplies","Binders","(Discount - Sales)%","-0.997212563876225"
"Office Supplies","Binders","Discount - Profit","-29654.763299999973"
"Office Supplies","Binders","(Discount - Profit)%","-0.9812386856990571"
"Office Supplies","Binders","Discount - Quantity","-5407"
"Office Supplies","Binders","(Discount - Quantity)%","-0.9050887177770338"
"Office Supplies","Binders","Profit - Sales","-173190.96970000007"
"Office Supplies","Binders","(Profit - Sales)%","-0.8514263937449779"
"Office Supplies","Binders","Quantity - Sales","-197438.73300000004"
"Office Supplies","Binders","(Quantity - Sales)%","-0.9706311403819544"
"Office Supplies","Binders","Quantity - Profit","-24247.763299999973"
"Office Supplies","Binders","(Quantity - Profit)%","-0.8023278807163444"
"Office Supplies","Binders","Formula Measure","-197438.73300000004"
"Office Supplies","Binders","Static Measure","112.25"
"Office Supplies","Binders","Rank of Profit","2"
"Office Supplies","Binders","Overall Rank of Profit","5"
"Office Supplies","Paper","Sales","78479.20599999995"
"Office Supplies","Paper","Profit","34053.56929999999"
"Office Supplies","Paper","Quantity","5178"
"Office Supplies","Paper","Discount","102.60000000000001"
"Office Supplies","Paper","Discount - Sales","-78376.60599999994"
"Office Supplies","Paper","(Discount - Sales)%","-0.9986926473236744"
"Office Supplies","Paper","Discount - Profit","-33950.96929999999"
"Office Supplies","Paper","(Discount - Profit)%","-0.9969870999689892"
"Office Supplies","Paper","Discount - Quantity","-5075.4"
"Office Supplies","Paper","(Discount - Quantity)%","-0.9801853997682503"
"Office Supplies","Paper","Profit - Sales","-44425.63669999996"
"Office Supplies","Paper","(Profit - Sales)%","-0.5660816280429747"
"Office Supplies","Paper","Quantity - Sales","-73301.20599999995"
"Office Supplies","Paper","(Quantity - Sales)%","-0.934020739200649"
"Office Supplies","Paper","Quantity - Profit","-28875.56929999999"
"Office Supplies","Paper","(Quantity - Profit)%","-0.8479454545753007"
"Office Supplies","Paper","Formula Measure","-73301.20599999995"
"Office Supplies","Paper","Static Measure","0"
"Office Supplies","Paper","Rank of Profit","1"
"Office Supplies","Paper","Overall Rank of Profit","4"
"Office Supplies","Appliances","Sales","107532.1610000001"
"Office Supplies","Appliances","Profit","18138.00540000003"
"Office Supplies","Appliances","Quantity","1729"
"Office Supplies","Appliances","Discount","77.59999999999987"
"Office Supplies","Appliances","Discount - Sales","-107454.56100000009"
"Office Supplies","Appliances","(Discount - Sales)%","-0.9992783554307999"
"Office Supplies","Appliances","Discount - Profit","-18060.405400000032"
"Office Supplies","Appliances","(Discount - Profit)%","-0.9957216905448711"
"Office Supplies","Appliances","Discount - Quantity","-1651.4"
"Office Supplies","Appliances","(Discount - Quantity)%","-0.9551185656448815"
"Office Supplies","Appliances","Profit - Sales","-89394.15560000006"
"Office Supplies","Appliances","(Profit - Sales)%","-0.8313248312753612"
"Office Supplies","Appliances","Quantity - Sales","-105803.1610000001"
"Office Supplies","Appliances","(Quantity - Sales)%","-0.9839210894310959"
"Office Supplies","Appliances","Quantity - Profit","-16409.00540000003"
"Office Supplies","Appliances","(Quantity - Profit)%","-0.9046752957742534"
"Office Supplies","Appliances","Formula Measure","-105803.1610000001"
"Office Supplies","Appliances","Static Measure","0.1245"
"Office Supplies","Appliances","Rank of Profit","4"
"Office Supplies","Appliances","Overall Rank of Profit","8"
"Office Supplies","Storage","Sales","223843.60799999998"
"Office Supplies","Storage","Profit","21278.82639999999"
"Office Supplies","Storage","Quantity","3158"
"Office Supplies","Storage","Discount","63.2"
"Office Supplies","Storage","Discount - Sales","-223780.40799999997"
"Office Supplies","Storage","(Discount - Sales)%","-0.9997176600191325"
"Office Supplies","Storage","Discount - Profit","-21215.62639999999"
"Office Supplies","Storage","(Discount - Profit)%","-0.9970299113864662"
"Office Supplies","Storage","Discount - Quantity","-3094.8"
"Office Supplies","Storage","(Discount - Quantity)%","-0.9799873337555415"
"Office Supplies","Storage","Profit - Sales","-202564.7816"
"Office Supplies","Storage","(Profit - Sales)%","-0.9049388696415223"
"Office Supplies","Storage","Quantity - Sales","-220685.60799999998"
"Office Supplies","Storage","(Quantity - Sales)%","-0.9858919357661533"
"Office Supplies","Storage","Quantity - Profit","-18120.82639999999"
"Office Supplies","Storage","(Quantity - Profit)%","-0.8515895594693135"
"Office Supplies","Storage","Formula Measure","-220685.60799999998"
"Office Supplies","Storage","Static Measure","125.264"
"Office Supplies","Storage","Rank of Profit","3"
"Office Supplies","Storage","Overall Rank of Profit","7"
"Office Supplies","Art","Sales","27118.791999999998"
"Office Supplies","Art","Profit","6527.786999999998"
"Office Supplies","Art","Quantity","3000"
"Office Supplies","Art","Discount","59.60000000000001"
"Office Supplies","Art","Discount - Sales","-27059.192"
"Office Supplies","Art","(Discount - Sales)%","-0.9978022619886608"
"Office Supplies","Art","Discount - Profit","-6468.186999999998"
"Office Supplies","Art","(Discount - Profit)%","-0.990869800132878"
"Office Supplies","Art","Discount - Quantity","-2940.4"
"Office Supplies","Art","(Discount - Quantity)%","-0.9801333333333333"
"Office Supplies","Art","Profit - Sales","-20591.004999999997"
"Office Supplies","Art","(Profit - Sales)%","-0.7592891674525916"
"Office Supplies","Art","Quantity - Sales","-24118.791999999998"
"Office Supplies","Art","(Quantity - Sales)%","-0.8893756034560831"
"Office Supplies","Art","Quantity - Profit","-3527.7869999999984"
"Office Supplies","Art","(Quantity - Profit)%","-0.5404261811851396"
