Region,Country,Year,Value Column Name,Value
"Americas","USA","2017","PY","293000"
"Americas","USA","2017","AC","359000"
"Americas","USA","2017","AC - PY","66000"
"Americas","USA","2017","(AC - PY)%","0.22525597269624573"
"Americas","USA","2018","PY","341000"
"Americas","USA","2018","AC","275000"
"Americas","USA","2018","AC - PY","-66000"
"Americas","USA","2018","(AC - PY)%","-0.1935483870967742"
"Americas","USA","2019","PY","286000"
"Americas","USA","2019","AC","321000"
"Americas","USA","2019","AC - PY","35000"
"Americas","USA","2019","(AC - PY)%","0.12237762237762238"
"Americas","Brazil","2017","PY","297000"
"Americas","Brazil","2017","AC","233000"
"Americas","Brazil","2017","AC - PY","-64000"
"Americas","Brazil","2017","(AC - PY)%","-0.21548821548821548"
"Americas","Brazil","2018","PY","-44000"
"Americas","Brazil","2018","AC","280000"
"Americas","Brazil","2018","AC - PY","324000"
"Americas","Brazil","2018","(AC - PY)%","7.363636363636363"
"Americas","Brazil","2019","PY","238000"
"Americas","Brazil","2019","AC","367000"
"Americas","Brazil","2019","AC - PY","129000"
"Americas","Brazil","2019","(AC - PY)%","0.542016806722689"
"Americas","Canada","2017","PY","208000"
"Americas","Canada","2017","AC","239000"
"Americas","Canada","2017","AC - PY","31000"
"Americas","Canada","2017","(AC - PY)%","0.14903846153846154"
"Americas","Canada","2018","PY","-18000"
"Americas","Canada","2018","AC","279000"
"Americas","Canada","2018","AC - PY","297000"
"Americas","Canada","2018","(AC - PY)%","16.5"
"Americas","Canada","2019","PY","232000"
"Americas","Canada","2019","AC","236000"
"Americas","Canada","2019","AC - PY","4000"
"Americas","Canada","2019","(AC - PY)%","0.017241379310344827"
"Americas","Other","2017","PY","111000"
"Americas","Other","2017","AC","97000"
"Americas","Other","2017","AC - PY","-14000"
"Americas","Other","2017","(AC - PY)%","-0.12612612612612611"
"Americas","Other","2018","PY","93000"
"Americas","Other","2018","AC","67000"
"Americas","Other","2018","AC - PY","-26000"
"Americas","Other","2018","(AC - PY)%","-0.27956989247311825"
"Americas","Other","2019","PY","85000"
"Americas","Other","2019","AC","125000"
