Year,Region,Country,City,AC,PY,PL,FC,BU
2017,Americas,Brazil,Manaus,56000,72000,134000,130000,122000
2017,Americas,Brazil,Rio,138000,104000,146000,87000,127000
2017,Americas,Brazil,Salvador,39000,121000,101000,63000,130000
2017,Americas,Canada,Montreal,51000,107000,38000,70000,89000
2017,Americas,Canada,Toronto,78000,59000,98000,127000,39000
2017,Americas,Canada,Vancouver,110000,42000,113000,117000,114000
2017,Americas,Other,Chicago,97000,111000,38000,79000,133000
2017,Americas,USA,California,131000,90000,92000,144000,121000
2017,Americas,USA,New York,116000,92000,114000,136000,123000
2017,Americas,USA,Texas,112000,111000,144000,124000,118000
2017,Asia-Pacific,Australia,Brisbane,231000,266000,204000,275000,225000
2017,Asia-Pacific,Australia,Melbourne,11000,9000,12000,14000,16000
2017,Asia-Pacific,Australia,Sydney,62000,54000,66000,58000,75000
2017,Asia-Pacific,China,Beijing,48000,104000,35000,137000,78000
2017,Asia-Pacific,China,Chengdu,62000,96000,130000,94000,103000
2017,Asia-Pacific,China,Shangai,134000,108000,129000,80000,136000
2017,Asia-Pacific,Japan,Hiroshima,40000,117000,78000,39000,86000
2017,Asia-Pacific,Japan,Tokyo,119000,112000,69000,150000,99000
2017,Asia-Pacific,Japan,Yokohoma,47000,35000,85000,65000,121000
2017,Asia-Pacific,Other,Seoul,50000,134000,111000,118000,93000
2017,Europe,Belgium,Brussels,0,0,115000,101000,141000
2017,Europe,Belgium,Flanders,88000,118000,77000,150000,35000
2017,Europe,France,Marseille,118000,107000,99000,99000,90000
2017,Europe,France,Paris,0,89000,100000,92000,131000
2017,Europe,Germany,Berlin,0,0,127000,86000,76000
2017,Europe,Germany,Frankfurt,107000,0,133000,121000,118000
2017,Europe,Other,Finland,142000,77000,64000,77000,122000
2017,Europe,Poland,Lublin,0,0,82000,63000,80000
2017,Europe,Poland,Warsaw,103000,0,90000,145000,64000
2017,Europe,Sweden,Gothenburg,0,112000,135000,54000,109000
2017,Europe,Sweden,Malmo,61000,80000,140000,38000,120000
2017,Europe,Sweden,Stockholm,115000,84000,130000,45000,99000
2018,Americas,Brazil,Manaus,129000,-122000,139000,81000,144000
2018,Americas,Brazil,Rio,105000,78000,70000,36000,53000
2018,Americas,Brazil,Salvador,46000,0,64000,43000,126000
2018,Americas,Canada,Montreal,49000,-120000,37000,64000,144000
2018,Americas,Canada,Toronto,96000,0,42000,108000,52000
2018,Americas,Canada,Vancouver,134000,102000,87000,79000,41000
2018,Americas,Other,Chicago,67000,93000,,147000,56000
2018,Americas,USA,California,131000,81000,60000,85000,129000
2018,Americas,USA,New York,99000,119000,,82000,60000
2018,Americas,USA,Texas,45000,141000,73000,75000,128000
2018,Asia-Pacific,Australia,Brisbane,149000,46000,71000,131000,82000
2018,Asia-Pacific,Australia,Melbourne,69000,96000,130000,63000,103000
2018,Asia-Pacific,Australia,Sydney,117000,38000,109000,101000,115000
2018,Asia-Pacific,China,Beijing,115000,92000,133000,149000,133000
2018,Asia-Pacific,China,Chengdu,48000,117000,41000,138000,65000
2018,Asia-Pacific,China,Shangai,124000,109000,63000,126000,92000
2018,Asia-Pacific,Japan,Hiroshima,92000,62000,87000,121000,136000
2018,Asia-Pacific,Japan,Tokyo,89000,59000,116000,145000,141000
2018,Asia-Pacific,Japan,Yokohoma,68000,66000,62000,144000,131000
2018,Asia-Pacific,Other,Seoul,78000,78000,52000,55000,130000
2018,Europe,Belgium,Brussels,64000,78000,94000,76000,64000
2018,Europe,Belgium,Flanders,134000,95000,141000,135000,83000
2018,Europe,France,Marseille,0,0,0,43000,101000
