Region,Country,Year,Value Column Name,Value
"Americas","USA","2017","Sum of PY","293000"
"Americas","USA","2017","Sum of AC","359000"
"Americas","USA","2017","Sum of AC - Sum of PY","66000"
"Americas","USA","2017","(Sum of AC - Sum of PY)%","0.22525597269624573"
"Americas","USA","2018","Sum of PY","341000"
"Americas","USA","2018","Sum of AC","275000"
"Americas","USA","2018","Sum of AC - Sum of PY","-66000"
"Americas","USA","2018","(Sum of AC - Sum of PY)%","-0.1935483870967742"
"Americas","USA","2019","Sum of PY","286000"
"Americas","USA","2019","Sum of AC","321000"
"Americas","USA","2019","Sum of AC - Sum of PY","35000"
"Americas","USA","2019","(Sum of AC - Sum of PY)%","0.12237762237762238"
"Americas","Brazil","2017","Sum of PY","297000"
"Americas","Brazil","2017","Sum of AC","233000"
"Americas","Brazil","2017","Sum of AC - Sum of PY","-64000"
"Americas","Brazil","2017","(Sum of AC - Sum of PY)%","-0.21548821548821548"
"Americas","Brazil","2018","Sum of PY","-44000"
"Americas","Brazil","2018","Sum of AC","280000"
"Americas","Brazil","2018","Sum of AC - Sum of PY","324000"
"Americas","Brazil","2018","(Sum of AC - Sum of PY)%","7.363636363636363"
"Americas","Brazil","2019","Sum of PY","238000"
"Americas","Brazil","2019","Sum of AC","367000"
"Americas","Brazil","2019","Sum of AC - Sum of PY","129000"
"Americas","Brazil","2019","(Sum of AC - Sum of PY)%","0.542016806722689"
"Americas","Canada","2017","Sum of PY","208000"
"Americas","Canada","2017","Sum of AC","239000"
"Americas","Canada","2017","Sum of AC - Sum of PY","31000"
"Americas","Canada","2017","(Sum of AC - Sum of PY)%","0.14903846153846154"
"Americas","Canada","2018","Sum of PY","-18000"
"Americas","Canada","2018","Sum of AC","279000"
"Americas","Canada","2018","Sum of AC - Sum of PY","297000"
"Americas","Canada","2018","(Sum of AC - Sum of PY)%","16.5"
"Americas","Canada","2019","Sum of PY","232000"
"Americas","Canada","2019","Sum of AC","236000"
"Americas","Canada","2019","Sum of AC - Sum of PY","4000"
