Country,City,Year,Value Column Name,Value
"USA","California","2017","Sum of PY","90000"
"USA","California","2017","Sum of PL","92000"
"USA","California","2017","Sum of AC","131000"
"USA","California","2017","Sum of AC - Sum of PY","41000"
"USA","California","2017","(Sum of AC - Sum of PY)%","0.45555555555555555"
"USA","California","2017","Sum of AC - Sum of PL","39000"
"USA","California","2017","(Sum of AC - Sum of PL)%","0.42391304347826086"
"USA","California","2017","Sum of PL - Sum of PY","2000"
"USA","California","2017","(Sum of PL - Sum of PY)%","0.022222222222222223"
"USA","California","2017","Sum of BU",""
"USA","California","2018","Sum of PY","81000"
"USA","California","2018","Sum of PL","60000"
"USA","California","2018","Sum of AC","131000"
"USA","California","2018","Sum of AC - Sum of PY","50000"
"USA","California","2018","(Sum of AC - Sum of PY)%","0.6172839506172839"
"USA","California","2018","Sum of AC - Sum of PL","71000"
"USA","California","2018","(Sum of AC - Sum of PL)%","1.1833333333333333"
"USA","California","2018","Sum of PL - Sum of PY","-21000"
"USA","California","2018","(Sum of PL - Sum of PY)%","-0.25925925925925924"
"USA","California","2018","Sum of BU",""
"USA","California","2019","Sum of PY","139000"
"USA","California","2019","Sum of PL","66000"
"USA","California","2019","Sum of AC","113000"
"USA","California","2019","Sum of AC - Sum of PY","-26000"
"USA","California","2019","(Sum of AC - Sum of PY)%","-0.18705035971223022"
"USA","California","2019","Sum of AC - Sum of PL","47000"
"USA","California","2019","(Sum of AC - Sum of PL)%","0.7121212121212122"
"USA","California","2019","Sum of PL - Sum of PY","-73000"
"USA","California","2019","(Sum of PL - Sum of PY)%","-0.5251798561151079"
"USA","California","2019","Sum of BU",""
"USA","New York","2017","Sum of PY","92000"
"USA","New York","2017","Sum of PL","114000"
"USA","New York","2017","Sum of AC","116000"
"USA","New York","2017","Sum of AC - Sum of PY","24000"
"USA","New York","2017","(Sum of AC - Sum of PY)%","0.2608695652173913"
"USA","New York","2017","Sum of AC - Sum of PL","2000"
"USA","New York","2017","(Sum of AC - Sum of PL)%","0.017543859649122806"
"USA","New York","2017","Sum of PL - Sum of PY","22000"
"USA","New York","2017","(Sum of PL - Sum of PY)%","0.2391304347826087"
"USA","New York","2017","Sum of BU",""
"USA","New York","2018","Sum of PY","119000"
"USA","New York","2018","Sum of PL",
"USA","New York","2018","Sum of AC","99000"
"USA","New York","2018","Sum of AC - Sum of PY","-20000"
"USA","New York","2018","(Sum of AC - Sum of PY)%","-0.16806722689075632"
"USA","New York","2018","Sum of AC - Sum of PL","99000"
"USA","New York","2018","(Sum of AC - Sum of PL)%",
"USA","New York","2018","Sum of PL - Sum of PY","-119000"
"USA","New York","2018","(Sum of PL - Sum of PY)%","-1"
"USA","New York","2018","Sum of BU",""
"USA","New York","2019","Sum of PY","96000"
"USA","New York","2019","Sum of PL","69000"
"USA","New York","2019","Sum of AC","91000"
"USA","New York","2019","Sum of AC - Sum of PY","-5000"
"USA","New York","2019","(Sum of AC - Sum of PY)%","-0.05208333333333334"
"USA","New York","2019","Sum of AC - Sum of PL","22000"
"USA","New York","2019","(Sum of AC - Sum of PL)%","0.3188405797101449"
"USA","New York","2019","Sum of PL - Sum of PY","-27000"
"USA","New York","2019","(Sum of PL - Sum of PY)%","-0.28125"
"USA","New York","2019","Sum of BU",""
"USA","Texas","2017","Sum of PY","111000"
"USA","Texas","2017","Sum of PL","144000"
"USA","Texas","2017","Sum of AC","112000"
"USA","Texas","2017","Sum of AC - Sum of PY","1000"
"USA","Texas","2017","(Sum of AC - Sum of PY)%","0.009009009009009009"
"USA","Texas","2017","Sum of AC - Sum of PL","-32000"
"USA","Texas","2017","(Sum of AC - Sum of PL)%","-0.2222222222222222"
"USA","Texas","2017","Sum of PL - Sum of PY","33000"
"USA","Texas","2017","(Sum of PL - Sum of PY)%","0.2972972972972973"
"USA","Texas","2017","Sum of BU",""
"USA","Texas","2018","Sum of PY","141000"
"USA","Texas","2018","Sum of PL","73000"
"USA","Texas","2018","Sum of AC","45000"
"USA","Texas","2018","Sum of AC - Sum of PY","-96000"
"USA","Texas","2018","(Sum of AC - Sum of PY)%","-0.6808510638297872"
"USA","Texas","2018","Sum of AC - Sum of PL","-28000"
"USA","Texas","2018","(Sum of AC - Sum of PL)%","-0.3835616438356164"
"USA","Texas","2018","Sum of PL - Sum of PY","-68000"
"USA","Texas","2018","(Sum of PL - Sum of PY)%","-0.48226950354609927"
"USA","Texas","2018","Sum of BU",""
"USA","Texas","2019","Sum of PY","51000"
"USA","Texas","2019","Sum of PL","124000"
"USA","Texas","2019","Sum of AC","117000"
"USA","Texas","2019","Sum of AC - Sum of PY","66000"
"USA","Texas","2019","(Sum of AC - Sum of PY)%","1.2941176470588234"
"USA","Texas","2019","Sum of AC - Sum of PL","-7000"
"USA","Texas","2019","(Sum of AC - Sum of PL)%","-0.0564516129032258"
"USA","Texas","2019","Sum of PL - Sum of PY","73000"
"USA","Texas","2019","(Sum of PL - Sum of PY)%","1.4313725490196076"
"USA","Texas","2019","Sum of BU",""
"Brazil","Rio","2017","Sum of PY","104000"
"Brazil","Rio","2017","Sum of PL","146000"
"Brazil","Rio","2017","Sum of AC","138000"
"Brazil","Rio","2017","Sum of AC - Sum of PY","34000"
"Brazil","Rio","2017","(Sum of AC - Sum of PY)%","0.3269230769230769"
"Brazil","Rio","2017","Sum of AC - Sum of PL","-8000"
"Brazil","Rio","2017","(Sum of AC - Sum of PL)%","-0.0547945205479452"
"Brazil","Rio","2017","Sum of PL - Sum of PY","42000"
"Brazil","Rio","2017","(Sum of PL - Sum of PY)%","0.40384615384615385"
"Brazil","Rio","2017","Sum of BU",""
"Brazil","Rio","2018","Sum of PY","78000"
"Brazil","Rio","2018","Sum of PL","70000"
"Brazil","Rio","2018","Sum of AC","105000"
"Brazil","Rio","2018","Sum of AC - Sum of PY","27000"
"Brazil","Rio","2018","(Sum of AC - Sum of PY)%","0.34615384615384615"
"Brazil","Rio","2018","Sum of AC - Sum of PL","35000"
"Brazil","Rio","2018","(Sum of AC - Sum of PL)%","0.5"
"Brazil","Rio","2018","Sum of PL - Sum of PY","-8000"
"Brazil","Rio","2018","(Sum of PL - Sum of PY)%","-0.10256410256410256"
"Brazil","Rio","2018","Sum of BU",""
"Brazil","Rio","2019","Sum of PY","131000"
"Brazil","Rio","2019","Sum of PL","119000"
"Brazil","Rio","2019","Sum of AC","99000"
"Brazil","Rio","2019","Sum of AC - Sum of PY","-32000"
"Brazil","Rio","2019","(Sum of AC - Sum of PY)%","-0.24427480916030533"
"Brazil","Rio","2019","Sum of AC - Sum of PL","-20000"
"Brazil","Rio","2019","(Sum of AC - Sum of PL)%","-0.16806722689075632"
"Brazil","Rio","2019","Sum of PL - Sum of PY","-12000"
"Brazil","Rio","2019","(Sum of PL - Sum of PY)%","-0.09160305343511449"
"Brazil","Rio","2019","Sum of BU",""
"Brazil","Manaus","2017","Sum of PY","72000"
"Brazil","Manaus","2017","Sum of PL","134000"
"Brazil","Manaus","2017","Sum of AC","56000"
"Brazil","Manaus","2017","Sum of AC - Sum of PY","-16000"
"Brazil","Manaus","2017","(Sum of AC - Sum of PY)%","-0.2222222222222222"
"Brazil","Manaus","2017","Sum of AC - Sum of PL","-78000"
