Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Qtr 1,2015,Furniture,Bookcases,4714.1896,-602.0130000000004
Qtr 2,2015,Furniture,Bookcases,3275.4674999999997,-279.89830000000006
Qtr 3,2015,Furniture,Bookcases,17350.5572,-1705.2543999999998
Qtr 4,2015,Furniture,Bookcases,13203.358199999997,-168.0645000000007
Qtr 1,2015,Furniture,Chairs,9446.913000000002,570.4531999999997
Qtr 2,2015,Furniture,Chairs,13891.441999999995,968.0627999999997
Qtr 3,2015,Furniture,Chairs,18272.499,2130.7211999999986
Qtr 4,2015,Furniture,Chairs,30123.675,2559.1788999999994
Qtr 1,2015,Furniture,Furnishings,2912.1760000000004,324.25899999999996
Qtr 2,2015,Furniture,Furnishings,7022.307999999998,1057.3146999999997
Qtr 3,2015,Furniture,Furnishings,4457.988,860.5155
Qtr 4,2015,Furniture,Furnishings,6697.24,809.7296999999996
Qtr 1,2015,Furniture,Tables,10300.82,-1456.9471000000003
Qtr 2,2015,Furniture,Tables,3375.6105,-918.9040000000002
Qtr 3,2015,Furniture,Tables,9504.991,-748.4285000000003
Qtr 4,2015,Furniture,Tables,15969.001999999999,-385.5223000000002
Qtr 1,2015,Office Supplies,Appliances,2119.8039999999996,-39.107500000000016
Qtr 2,2015,Office Supplies,Appliances,6610.725999999999,-523.312600000001
Qtr 3,2015,Office Supplies,Appliances,3321.588,694.2234999999998
Qtr 4,2015,Office Supplies,Appliances,11189.171000000002,2380.0922999999993
Qtr 1,2015,Office Supplies,Art,700.1940000000001,169.44740000000002
Qtr 2,2015,Office Supplies,Art,1567.8720000000003,323.3574
Qtr 3,2015,Office Supplies,Art,1756.818,407.5025
Qtr 4,2015,Office Supplies,Art,2211.9500000000003,584.7508999999999
Qtr 1,2015,Office Supplies,Binders,11269.445999999996,5235.425100000002
Qtr 2,2015,Office Supplies,Binders,11218.133000000002,3373.4824999999987
Qtr 3,2015,Office Supplies,Binders,6295.6140000000005,272.71450000000016
Qtr 4,2015,Office Supplies,Binders,8669.905,-1284.9507000000003
Qtr 1,2015,Office Supplies,Envelopes,597.348,284.64329999999995
Qtr 2,2015,Office Supplies,Envelopes,841.788,354.28349999999995
Qtr 3,2015,Office Supplies,Envelopes,1180.74,513.5864
Qtr 4,2015,Office Supplies,Envelopes,1892.3119999999994,807.6773999999998
Qtr 1,2015,Office Supplies,Fasteners,74.238,28.217299999999998
Qtr 2,2015,Office Supplies,Fasteners,72.27000000000001,17.6771
Qtr 3,2015,Office Supplies,Fasteners,136.426,45.33979999999999
Qtr 4,2015,Office Supplies,Fasteners,262.29,80.70339999999999
Qtr 1,2015,Office Supplies,Labels,781.7139999999999,368.11859999999996
Qtr 2,2015,Office Supplies,Labels,423.48600000000005,171.65800000000004
Qtr 3,2015,Office Supplies,Labels,676.602,312.8239
Qtr 4,2015,Office Supplies,Labels,1074.66,470.42810000000003
Qtr 1,2015,Office Supplies,Paper,2316.8320000000003,1000.3266
Qtr 2,2015,Office Supplies,Paper,2432.764000000001,956.2088000000006
Qtr 3,2015,Office Supplies,Paper,4028.164,1793.7208000000003
Qtr 4,2015,Office Supplies,Paper,6509.878000000002,2819.9138000000003
Qtr 1,2015,Office Supplies,Storage,5077.498000000001,746.0945000000002
Qtr 2,2015,Office Supplies,Storage,8621.948000000002,689.7557999999998
Qtr 3,2015,Office Supplies,Storage,17307.246,1434.177799999999
Qtr 4,2015,Office Supplies,Storage,14041.556,635.4319999999998
Qtr 1,2015,Office Supplies,Supplies,122.32000000000001,18.68159999999999
Qtr 2,2015,Office Supplies,Supplies,531.054,41.24939999999999
Qtr 3,2015,Office Supplies,Supplies,1057.616,-113.66950000000001
Qtr 4,2015,Office Supplies,Supplies,241.49200000000002,28.860099999999996
Qtr 1,2015,Technology,Accessories,3149.7279999999996,670.5037999999997
Qtr 2,2015,Technology,Accessories,4600.2480000000005,1238.1835999999998
Qtr 3,2015,Technology,Accessories,11973.883999999998,3099.461799999999
Qtr 4,2015,Technology,Accessories,20800.100000000002,5189.126000000001
Qtr 1,2015,Technology,Copiers,4269.914000000001,1858.4616999999998
Qtr 2,2015,Technology,Copiers,6379.83,2241.9406
Qtr 3,2015,Technology,Copiers,5119.912000000001,1600.9739
Qtr 4,2015,Technology,Copiers,10409.794000000002,4228.9226
Qtr 1,2015,Technology,Machines,3107.9760000000006,-734.4027000000003
Qtr 2,2015,Technology,Machines,4824.756,927.4447999999995
Qtr 3,2015,Technology,Machines,4973.276,2044.9754999999998
Qtr 4,2015,Technology,Machines,14857.689,739.4679999999989
Qtr 1,2015,Technology,Phones,7890.6280000000015,822.7797999999996
Qtr 2,2015,Technology,Phones,13434.484000000002,1552.4182999999996
Qtr 3,2015,Technology,Phones,22845.654,4210.234699999999
Qtr 4,2015,Technology,Phones,24142.936,3813.374600000001
