Orders.Region,Orders.Category,Orders.Sub-Category,Min(Orders.Order Date),Sum(Orders.Sales)
South,Furniture,Bookcases,2014-08-18T18:30:00.000Z,794.2760000000001
South,Furniture,Furnishings,2014-12-15T18:30:00.000Z,3160.502000000001
South,Furniture,Tables,2014-12-19T18:30:00.000Z,9940.9445
South,Furniture,Chairs,2014-12-22T18:30:00.000Z,13072.28
South,Technology,Copiers,2014-05-01T18:30:00.000Z,479.98400000000004
South,Technology,Machines,2014-09-18T18:30:00.000Z,27594.725000000002
South,Technology,Phones,2014-11-30T18:30:00.000Z,17248.963999999996
South,Technology,Accessories,2014-12-26T18:30:00.000Z,5595.290000000001
South,Office Supplies,Labels,2014-10-31T18:30:00.000Z,401.0419999999999
South,Office Supplies,Envelopes,2014-12-11T18:30:00.000Z,251.85399999999998
South,Office Supplies,Fasteners,2014-12-15T18:30:00.000Z,165.79200000000003
South,Office Supplies,Supplies,2014-12-18T18:30:00.000Z,4247.307999999999
South,Office Supplies,Appliances,2014-12-19T18:30:00.000Z,2119.7219999999998
South,Office Supplies,Binders,2014-12-20T18:30:00.000Z,8307.445999999998
South,Office Supplies,Art,2014-12-22T18:30:00.000Z,566.1320000000001
South,Office Supplies,Paper,2014-12-26T18:30:00.000Z,3184.5760000000005
South,Office Supplies,Storage,2014-12-29T18:30:00.000Z,6715.006
Central,Furniture,Bookcases,2014-11-17T18:30:00.000Z,1834.0375999999997
Central,Furniture,Tables,2014-12-05T18:30:00.000Z,7785.477999999999
Central,Furniture,Chairs,2014-12-25T18:30:00.000Z,20754.052
Central,Furniture,Furnishings,2014-12-28T18:30:00.000Z,2536.096
Central,Office Supplies,Supplies,2014-12-12T18:30:00.000Z,440.458
Central,Office Supplies,Fasteners,2014-12-13T18:30:00.000Z,121.816
Central,Office Supplies,Labels,2014-12-19T18:30:00.000Z,1048.472
Central,Office Supplies,Appliances,2014-12-22T18:30:00.000Z,3659.204999999999
Central,Office Supplies,Paper,2014-12-22T18:30:00.000Z,2346.7760000000003
Central,Office Supplies,Storage,2014-12-28T18:30:00.000Z,11093.385999999997
Central,Office Supplies,Binders,2014-12-29T18:30:00.000Z,15870.938000000002
Central,Office Supplies,Art,2014-12-30T18:30:00.000Z,821.9540000000002
Central,Office Supplies,Envelopes,2014-12-30T18:30:00.000Z,1598.6860000000001
Central,Technology,Copiers,2014-10-13T18:30:00.000Z,3269.926
Central,Technology,Machines,2014-11-27T18:30:00.000Z,16292.161999999998
Central,Technology,Phones,2014-12-29T18:30:00.000Z,9925.752
Central,Technology,Accessories,2014-12-30T18:30:00.000Z,4438.97
East,Furniture,Tables,2014-12-29T18:30:00.000Z,10603.704
East,Furniture,Bookcases,2014-12-30T18:30:00.000Z,10863.451000000001
East,Furniture,Chairs,2014-12-30T18:30:00.000Z,22008.267999999993
East,Furniture,Furnishings,2014-12-30T18:30:00.000Z,3757.3160000000003
East,Office Supplies,Supplies,2014-11-10T18:30:00.000Z,467.87200000000007
East,Office Supplies,Fasteners,2014-11-26T18:30:00.000Z,96.912
East,Office Supplies,Envelopes,2014-12-08T18:30:00.000Z,1347.622
East,Office Supplies,Art,2014-12-27T18:30:00.000Z,1290.202
East,Office Supplies,Storage,2014-12-27T18:30:00.000Z,16207.261999999997
East,Office Supplies,Appliances,2014-12-29T18:30:00.000Z,5779.202
East,Office Supplies,Binders,2014-12-29T18:30:00.000Z,6346.627
East,Office Supplies,Labels,2014-12-30T18:30:00.000Z,516.142
East,Office Supplies,Paper,2014-12-30T18:30:00.000Z,3917.1480000000015
East,Technology,Copiers,2014-12-08T18:30:00.000Z,4099.9259999999995
East,Technology,Machines,2014-12-13T18:30:00.000Z,14636.385000000002
East,Technology,Phones,2014-12-29T18:30:00.000Z,20688.649999999998
East,Technology,Accessories,2014-12-30T18:30:00.000Z,6053.768
West,Furniture,Bookcases,2014-12-11T18:30:00.000Z,6544.9130000000005
West,Furniture,Tables,2014-12-11T18:30:00.000Z,17758.239000000005
West,Furniture,Chairs,2014-12-26T18:30:00.000Z,21406.97599999999
West,Furniture,Furnishings,2014-12-28T18:30:00.000Z,4372.32
West,Office Supplies,Envelopes,2014-11-22T18:30:00.000Z,657.588
West,Office Supplies,Art,2014-12-21T18:30:00.000Z,3379.694
West,Office Supplies,Appliances,2014-12-26T18:30:00.000Z,3755.495999999999
West,Office Supplies,Fasteners,2014-12-26T18:30:00.000Z,276.808
West,Office Supplies,Supplies,2014-12-27T18:30:00.000Z,9238.432000000003
West,Office Supplies,Labels,2014-12-28T18:30:00.000Z,875.738
West,Office Supplies,Paper,2014-12-28T18:30:00.000Z,5386.456
West,Office Supplies,Storage,2014-12-28T18:30:00.000Z,16313.388000000003
West,Office Supplies,Binders,2014-12-29T18:30:00.000Z,12963.254000000003
West,Technology,Copiers,2014-09-20T18:30:00.000Z,2999.946
West,Technology,Accessories,2014-12-23T18:30:00.000Z,8926.244
West,Technology,Machines,2014-12-28T18:30:00.000Z,3500.1010000000006
West,Technology,Phones,2014-12-30T18:30:00.000Z,29527.43999999999
