Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Country,Orders.Segment,Sum(Orders.Quantity),Sum(Orders.Sales),Sum(Orders.Profit)
2014,Central,United States,Consumer,1039,67316.46759999997,-1418.8213000000012
2015,Central,United States,Consumer,941,49662.2578,1762.3234
2016,Central,United States,Consumer,1093,66707.03320000002,5239.8101
2017,Central,United States,Consumer,1446,68345.67539999992,2980.735900000004
2014,Central,United States,Corporate,388,19901.942199999994,-620.9317000000008
2015,Central,United States,Corporate,523,29079.723400000003,5991.175399999999
2016,Central,United States,Corporate,836,60714.11380000003,12442.3537
2017,Central,United States,Corporate,857,48300.0334,891.3045999999907
2014,Central,United States,Home Office,299,16619.754800000002,2579.3063999999995
2015,Central,United States,Home Office,351,24132.2408,3963.3032000000026
2016,Central,United States,Home Office,430,20008.229,2216.9990999999973
2017,Central,United States,Home Office,577,30452.419400000006,3678.8037
2014,East,United States,Consumer,1049,76503.56399999997,11420.913199999999
2015,East,United States,Consumer,1168,85033.258,10041.217200000021
2016,East,United States,Consumer,1447,93917.96600000006,6108.110999999987
2017,East,United States,Consumer,1683,95453.37899999996,13620.742900000003
2014,East,United States,Corporate,667,37640.071,1174.8736000000017
2015,East,United States,Corporate,731,44717.04700000001,6015.0779000000075
2016,East,United States,Corporate,872,53295.289000000004,7848.910899999998
2017,East,United States,Corporate,1088,64756.93999999996,8583.716499999993
2014,East,United States,Home Office,270,14536.821999999996,4463.8227
2015,East,United States,Home Office,483,26581.752000000008,5034.717899999998
2016,East,United States,Home Office,520,33472.56700000001,6184.574199999995
2017,East,United States,Home Office,640,52872.58500000002,11026.101999999997
2014,South,United States,Consumer,594,32310.811499999993,3199.6725999999962
2015,South,United States,Consumer,726,49206.226500000004,5724.2477
2016,South,United States,Consumer,841,53104.20599999999,10674.794699999991
2017,South,United States,Consumer,1017,60959.72699999996,7314.857800000006
2014,South,United States,Corporate,525,34684.71999999996,7702.153899999997
2015,South,United States,Corporate,496,18107.330000000005,1896.3235999999981
2016,South,United States,Corporate,457,26694.8905,4097.505199999997
2017,South,United States,Corporate,538,42398.99199999999,1519.2405000000017
2014,South,United States,Home Office,217,36850.312,977.293499999997
2015,South,United States,Home Office,122,4046.424,698.0226999999995
2016,South,United States,Home Office,316,13811.127000000002,2930.508499999999
2017,South,United States,Home Office,360,19547.1385,14.809599999999705
2014,West,United States,Consumer,1371,89965.9695,11118.085899999996
2015,West,United States,Consumer,1437,82634.19099999998,10932.37819999999
2016,West,United States,Consumer,1533,83134.69399999999,13748.237399999978
2017,West,United States,Consumer,2136,107145.9184999999,21651.90250000001
2014,West,United States,Corporate,751,36208.14050000001,5257.181099999996
2015,West,United States,Corporate,663,36853.206500000015,6785.7479
2016,West,United States,Corporate,941,66402.06849999998,6606.399200000001
2017,West,United States,Corporate,1275,86391.85900000001,15788.1017
2014,West,United States,Home Office,411,21708.923000000003,3690.4242000000004
2015,West,United States,Home Office,338,20478.852,2774.068600000002
2016,West,United States,Home Office,551,37943.41399999999,3696.9703000000018
2017,West,United States,Home Office,859,56590.58799999997,6368.951899999995
