Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Region,Orders.Segment,Sum(Orders.Quantity),Sum(Orders.Profit)
2014,Furniture,Central,Consumer,222,-1060.0020000000002
2015,Furniture,Central,Consumer,233,240.83999999999867
2016,Furniture,Central,Consumer,235,-1795.4188999999992
2017,Furniture,Central,Consumer,262,-1379.8533000000011
2014,Furniture,Central,Corporate,67,-456.5388999999998
2015,Furniture,Central,Corporate,89,75.92149999999981
2016,Furniture,Central,Corporate,241,2184.412699999999
2017,Furniture,Central,Corporate,145,518.1985999999997
2014,Furniture,Central,Home Office,70,411.31679999999983
2015,Furniture,Central,Home Office,89,-547.7988000000001
2016,Furniture,Central,Home Office,80,-642.5010000000002
2017,Furniture,Central,Home Office,94,-419.62610000000024
2014,Furniture,East,Consumer,229,614.7415999999995
2015,Furniture,East,Consumer,231,-1207.069000000001
2016,Furniture,East,Consumer,341,1391.4354999999994
2017,Furniture,East,Consumer,313,1239.0040999999983
2014,Furniture,East,Corporate,150,-1416.8705
2015,Furniture,East,Corporate,157,501.33899999999943
2016,Furniture,East,Corporate,166,-11.072900000000494
2017,Furniture,East,Corporate,250,1268.7301
2014,Furniture,East,Home Office,71,302.4708
2015,Furniture,East,Home Office,87,658.3167999999996
2016,Furniture,East,Home Office,85,32.750099999999904
2017,Furniture,East,Home Office,134,-327.60980000000035
2014,Furniture,South,Consumer,141,941.0952999999995
2015,Furniture,South,Consumer,146,-641.2975000000006
2016,Furniture,South,Consumer,193,2970.6835999999994
2017,Furniture,South,Consumer,215,1346.251200000001
2014,Furniture,South,Corporate,94,1326.6590999999994
2015,Furniture,South,Corporate,128,670.5617999999997
2016,Furniture,South,Corporate,96,-131.11350000000056
2017,Furniture,South,Corporate,97,-914.0771000000001
2014,Furniture,South,Home Office,38,1732.8249999999998
2015,Furniture,South,Home Office,18,179.34209999999993
2016,Furniture,South,Home Office,60,306.84619999999995
2017,Furniture,South,Home Office,65,-1016.5701000000001
2014,Furniture,West,Consumer,270,1139.9821999999992
2015,Furniture,West,Consumer,333,285.41129999999947
2016,Furniture,West,Consumer,373,2038.3566999999994
2017,Furniture,West,Consumer,429,866.9178000000013
2014,Furniture,West,Corporate,176,908.0502999999994
2015,Furniture,West,Corporate,159,1718.4856
