Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Orders.Segment,Sum(Orders.Discount)
2014,Central,Furniture,Consumer,20.220000000000013
2015,Central,Furniture,Consumer,15.640000000000004
2016,Central,Furniture,Consumer,19.180000000000007
2017,Central,Furniture,Consumer,24.920000000000023
2014,Central,Furniture,Corporate,7.219999999999998
2015,Central,Furniture,Corporate,8.16
2016,Central,Furniture,Corporate,13.24
2017,Central,Furniture,Corporate,9.180000000000001
2014,Central,Furniture,Home Office,4.22
2015,Central,Furniture,Home Office,4.139999999999999
2016,Central,Furniture,Home Office,7.799999999999998
2017,Central,Furniture,Home Office,9.12
2014,Central,Office Supplies,Consumer,47.49999999999994
2015,Central,Office Supplies,Consumer,40.999999999999986
2016,Central,Office Supplies,Consumer,42.89999999999995
2017,Central,Office Supplies,Consumer,64.59999999999985
2014,Central,Office Supplies,Corporate,20.300000000000015
2015,Central,Office Supplies,Corporate,20.700000000000017
2016,Central,Office Supplies,Corporate,25.000000000000014
2017,Central,Office Supplies,Corporate,41.299999999999976
2014,Central,Office Supplies,Home Office,11.700000000000003
2015,Central,Office Supplies,Home Office,11.200000000000001
2016,Central,Office Supplies,Home Office,12.200000000000005
2017,Central,Office Supplies,Home Office,21.000000000000014
2014,Central,Technology,Consumer,6.800000000000003
2015,Central,Technology,Consumer,7.0000000000000036
2016,Central,Technology,Consumer,7.5000000000000036
2017,Central,Technology,Consumer,8.200000000000003
2014,Central,Technology,Corporate,3.5999999999999996
2015,Central,Technology,Corporate,4.400000000000001
2016,Central,Technology,Corporate,4.000000000000001
2017,Central,Technology,Corporate,4.300000000000001
2014,Central,Technology,Home Office,1.9
2015,Central,Technology,Home Office,2.3
2016,Central,Technology,Home Office,2.0999999999999996
2017,Central,Technology,Home Office,3.8000000000000003
2014,East,Furniture,Consumer,9.700000000000001
2015,East,Furniture,Consumer,9.700000000000001
2016,East,Furniture,Consumer,13.900000000000006
2017,East,Furniture,Consumer,14.600000000000007
2014,East,Furniture,Corporate,7.4
2015,East,Furniture,Corporate,6.699999999999999
2016,East,Furniture,Corporate,7.200000000000001
2017,East,Furniture,Corporate,7.799999999999998
2014,East,Furniture,Home Office,2.8000000000000003
2015,East,Furniture,Home Office,3.2
2016,East,Furniture,Home Office,3.1999999999999997
2017,East,Furniture,Home Office,6.3999999999999995
2014,East,Office Supplies,Consumer,28.999999999999964
2015,East,Office Supplies,Consumer,24.699999999999974
2016,East,Office Supplies,Consumer,29.899999999999956
2017,East,Office Supplies,Consumer,43.199999999999996
2014,East,Office Supplies,Corporate,13.799999999999997
2015,East,Office Supplies,Corporate,14.799999999999997
2016,East,Office Supplies,Corporate,19.899999999999984
2017,East,Office Supplies,Corporate,25.799999999999972
2014,East,Office Supplies,Home Office,5.300000000000001
2015,East,Office Supplies,Home Office,10.5
2016,East,Office Supplies,Home Office,15.199999999999996
2017,East,Office Supplies,Home Office,12.599999999999998
2014,East,Technology,Consumer,9.800000000000004
2015,East,Technology,Consumer,9.400000000000004
2016,East,Technology,Consumer,9.100000000000003
2017,East,Technology,Consumer,13.600000000000009
2014,East,Technology,Corporate,3.4999999999999996
2015,East,Technology,Corporate,5.4
2016,East,Technology,Corporate,6.200000000000002
2017,East,Technology,Corporate,8.100000000000003
2014,East,Technology,Home Office,0.4
2015,East,Technology,Home Office,2.4
2016,East,Technology,Home Office,4.8
2017,East,Technology,Home Office,3.9999999999999996
