Category,Ship Mode,Value Column Name,Value
"Office Supplies","Standard Class","Sum of Quantity","13907"
"Office Supplies","Standard Class","Sum of Sales","427941.2389999995"
"Office Supplies","Second Class","Sum of Quantity","4480"
"Office Supplies","Second Class","Sum of Sales","160683.00300000014"
"Office Supplies","First Class","Sum of Quantity","3372"
"Office Supplies","First Class","Sum of Sales","101332.30900000008"
"Office Supplies","Same Day","Sum of Quantity","1147"
"Office Supplies","Same Day","Sum of Sales","29090.480999999952"
"Furniture","Standard Class","Sum of Quantity","4768"
"Furniture","Standard Class","Sum of Sales","435831.4690000009"
"Furniture","Second Class","Sum of Quantity","1569"
"Furniture","Second Class","Sum of Sales","156289.0243999998"
"Furniture","First Class","Sum of Quantity","1238"
"Furniture","First Class","Sum of Sales","110730.52289999984"
"Furniture","Same Day","Sum of Quantity","453"
"Furniture","Same Day","Sum of Sales","39148.77900000001"
"Technology","Standard Class","Sum of Quantity","4122"
"Technology","Standard Class","Sum of Sales","494443.0350000011"
"Technology","Second Class","Sum of Quantity","1374"
"Technology","Second Class","Sum of Sales","142221.542"
"Technology","First Class","Sum of Quantity","1083"
"Technology","First Class","Sum of Sales","139365.5910000001"
"Technology","Same Day","Sum of Quantity","360"
"Technology","Same Day","Sum of Sales","60123.86499999999"
