Orders.Ship Date.Variation.Date Hierarchy.Year,Sum(Orders.Sales),Orders.City,Orders.Colors
2014,,Aberdeen,
2015,,Aberdeen,
2016,,Aberdeen,
2017,25.5,Aberdeen,
2018,,Aberdeen,
2014,,Abilene,
2015,,Abilene,
2016,,Abilene,
2017,1.3919999999999997,Abilene,
2018,,Abilene,
2014,170.91,Akron,
2015,427.54799999999994,Akron,
2016,804.228,Akron,
2017,1305.5559999999998,Akron,
2018,,Akron,
2014,,Akron,White
2015,,Akron,White
2016,,Akron,White
2017,21.744000000000003,Akron,White
2018,,Akron,White
2014,558.2259999999999,Albuquerque,
2015,57.266000000000005,Albuquerque,
2016,,Albuquerque,
2017,1482.1380000000001,Albuquerque,
2018,122.53,Albuquerque,
2014,5221.089999999999,Alexandria,
2015,192.22,Alexandria,
2016,81.19999999999999,Alexandria,
2017,25.060000000000002,Alexandria,
2018,,Alexandria,
2014,,Allen,
2015,290.20599999999996,Allen,
2016,,Allen,
2017,,Allen,
2018,,Allen,
2014,,Allentown,
2015,837.444,Allentown,
2016,15.808000000000002,Allentown,
2017,,Allentown,
2018,,Allentown,
2014,,Altoona,
2015,20.451,Altoona,
2016,,Altoona,
2017,,Altoona,
2018,,Altoona,
2014,,Amarillo,
2015,3024.478,Amarillo,
2016,543.252,Amarillo,
2017,205.33279999999996,Amarillo,
2018,,Amarillo,
2014,,Anaheim,
2015,2386.322,Anaheim,
2016,3231.412,Anaheim,
2017,2268.0159999999996,Anaheim,
2018,101.12,Anaheim,
2014,,Andover,
2015,,Andover,
2016,435.85,Andover,
2017,,Andover,
2018,,Andover,
2014,,Ann Arbor,
2015,889.2729999999999,Ann Arbor,
2016,,Ann Arbor,
2017,,Ann Arbor,
2018,,Ann Arbor,
2014,,Antioch,
2015,,Antioch,
2016,19.44,Antioch,
2017,,Antioch,
2018,,Antioch,
2014,193.152,Apopka,
2015,,Apopka,
2016,711.4020000000002,Apopka,
2017,,Apopka,
2018,,Apopka,
2014,129.3,Apple Valley,
2015,,Apple Valley,
2016,563.92,Apple Valley,
2017,1359.801,Apple Valley,
2018,,Apple Valley,
2014,21.560000000000002,Appleton,
2015,,Appleton,
2016,1649.75,Appleton,
2017,,Appleton,
2018,,Appleton,
2014,1510.6869999999997,Arlington,
2015,6070.821000000001,Arlington,
2016,10903.476,Arlington,
2017,1724.6579999999997,Arlington,
2018,,Arlington,
2014,,Arlington,White
2015,,Arlington,White
2016,,Arlington,White
2017,4.89,Arlington,White
2018,,Arlington,White
2014,,Arlington Heights,
2015,,Arlington Heights,
2016,14.111999999999998,Arlington Heights,
2017,,Arlington Heights,
2018,,Arlington Heights,
2014,,Arvada,Black
2015,,Arvada,Black
2016,6.264,Arvada,Black
2017,,Arvada,Black
2018,,Arvada,Black
2014,,Arvada,Orange
2015,,Arvada,Orange
2016,15.136000000000003,Arvada,Orange
2017,,Arvada,Orange
2018,,Arvada,Orange
2014,,Arvada,Red
2015,,Arvada,Red
2016,466.76800000000003,Arvada,Red
2017,,Arvada,Red
2018,,Arvada,Red
2014,,Arvada,Yellow
2015,,Arvada,Yellow
2016,15.232,Arvada,Yellow
2017,,Arvada,Yellow
2018,,Arvada,Yellow
2014,24.144000000000002,Asheville,
2015,,Asheville,
2016,1363.96,Asheville,
2017,87.27200000000002,Asheville,
2018,,Asheville,
2014,1233.45,Athens,
2015,,Athens,
2016,201.26999999999998,Athens,
2017,286.09,Athens,
2018,,Athens,
2014,266.44,Atlanta,
2015,7755.0599999999995,Atlanta,
2016,3443.6900000000005,Atlanta,
2017,5732.65,Atlanta,
2018,,Atlanta,
2014,,Atlantic City,
2015,,Atlantic City,
2016,23.36,Atlantic City,
2017,,Atlantic City,
2018,,Atlantic City,
2014,,Auburn,
2015,692.19,Auburn,
2016,1874.2379999999996,Auburn,
2017,588.7400000000001,Auburn,
2018,,Auburn,
2014,561.683,Aurora,
2015,1771.069,Aurora,
2016,3719.976,Aurora,
2017,5225.612,Aurora,
2018,,Aurora,
2014,,Aurora,Black
2015,36.882000000000005,Aurora,Black
2016,,Aurora,Black
2017,,Aurora,Black
2018,,Aurora,Black
2014,,Aurora,Red
2015,238.89600000000002,Aurora,Red
2016,,Aurora,Red
2017,,Aurora,Red
2018,,Aurora,Red
2014,,Aurora,Yellow
2015,102.35999999999999,Aurora,Yellow
2016,,Aurora,Yellow
2017,,Aurora,Yellow
2018,,Aurora,Yellow
2014,758.3520000000001,Austin,
2015,544.428,Austin,
2016,1523.6580000000001,Austin,
2017,3142.744,Austin,
2018,,Austin,
2014,,Austin,White
2015,88.80000000000001,Austin,White
2016,,Austin,White
2017,,Austin,White
2018,,Austin,White
2014,892.568,Avondale,
2015,54.24,Avondale,
2016,,Avondale,
2017,,Avondale,
2018,,Avondale,
2014,,Bakersfield,
2015,214.618,Bakersfield,
2016,87.274,Bakersfield,
2017,1075.3980000000001,Bakersfield,
2018,,Bakersfield,
2014,651.0699999999999,Baltimore,
2015,1161.99,Baltimore,
2016,1091.262,Baltimore,
2017,3252.5200000000004,Baltimore,
2018,,Baltimore,
2014,617.12,Bangor,
2015,,Bangor,
2016,547.3299999999999,Bangor,
2017,,Bangor,
2018,,Bangor,
2014,,Bartlett,
2015,88.96000000000001,Bartlett,
2016,,Bartlett,
2017,,Bartlett,
2018,,Bartlett,
2014,,Bayonne,
2015,183.4,Bayonne,
2016,,Bayonne,
2017,,Bayonne,
2018,,Bayonne,
2014,,Baytown,
2015,10.368000000000002,Baytown,
2016,,Baytown,
2017,,Baytown,
2018,,Baytown,
2014,459.348,Beaumont,
2015,,Beaumont,
2016,,Beaumont,
2017,12.768,Beaumont,
2018,,Beaumont,
2014,,Bedford,
2015,20.96,Bedford,
2016,,Bedford,
2017,205.29600000000002,Bedford,
2018,,Bedford,
2014,,Belleville,
2015,,Belleville,
2016,227.96,Belleville,
2017,399.96999999999997,Belleville,
2018,,Belleville,
2014,,Belleville,Blue
2015,,Belleville,Blue
2016,32.400000000000006,Belleville,Blue
2017,,Belleville,Blue
2018,,Belleville,Blue
2014,,Belleville,Orange
2015,,Belleville,Orange
2016,56.91,Belleville,Orange
2017,,Belleville,Orange
2018,,Belleville,Orange
2014,,Belleville,Red
2015,,Belleville,Red
2016,77.6,Belleville,Red
2017,,Belleville,Red
2018,,Belleville,Red
2014,,Belleville,White
2015,,Belleville,White
2016,1082.48,Belleville,White
2017,,Belleville,White
2018,,Belleville,White
2014,,Belleville,Yellow
2015,,Belleville,Yellow
2016,14.28,Belleville,Yellow
2017,,Belleville,Yellow
2018,,Belleville,Yellow
2014,12.96,Bellevue,
2015,25.52,Bellevue,
2016,25.349999999999998,Bellevue,
2017,39.792,Bellevue,
2018,,Bellevue,
2014,,Bellingham,
2015,,Bellingham,
2016,,Bellingham,
2017,3790.24,Bellingham,
2018,,Bellingham,
2014,,Bethlehem,
2015,132.94,Bethlehem,
2016,1556.6940000000002,Bethlehem,
2017,,Bethlehem,
2018,,Bethlehem,
