Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Orders.Sub-Category,Orders.Segment,CountNonNull(Orders.Postal Code)
2014,Central,Furniture,Bookcases,Consumer,3
2015,Central,Furniture,Bookcases,Consumer,6
2016,Central,Furniture,Bookcases,Consumer,7
2017,Central,Furniture,Bookcases,Consumer,8
2014,Central,Furniture,Bookcases,Corporate,2
2015,Central,Furniture,Bookcases,Corporate,5
2016,Central,Furniture,Bookcases,Corporate,5
2017,Central,Furniture,Bookcases,Corporate,6
2014,Central,Furniture,Bookcases,Home Office,2
2015,Central,Furniture,Bookcases,Home Office,4
2016,Central,Furniture,Bookcases,Home Office,
2017,Central,Furniture,Bookcases,Home Office,2
2014,Central,Furniture,Chairs,Consumer,17
2015,Central,Furniture,Chairs,Consumer,23
2016,Central,Furniture,Chairs,Consumer,17
2017,Central,Furniture,Chairs,Consumer,24
2014,Central,Furniture,Chairs,Corporate,6
2015,Central,Furniture,Chairs,Corporate,5
2016,Central,Furniture,Chairs,Corporate,20
2017,Central,Furniture,Chairs,Corporate,14
2014,Central,Furniture,Chairs,Home Office,9
2015,Central,Furniture,Chairs,Home Office,6
2016,Central,Furniture,Chairs,Home Office,5
2017,Central,Furniture,Chairs,Home Office,8
2014,Central,Furniture,Furnishings,Consumer,26
2015,Central,Furniture,Furnishings,Consumer,22
2016,Central,Furniture,Furnishings,Consumer,29
2017,Central,Furniture,Furnishings,Consumer,31
2014,Central,Furniture,Furnishings,Corporate,9
2015,Central,Furniture,Furnishings,Corporate,12
2016,Central,Furniture,Furnishings,Corporate,21
2017,Central,Furniture,Furnishings,Corporate,16
2014,Central,Furniture,Furnishings,Home Office,5
2015,Central,Furniture,Furnishings,Home Office,5
2016,Central,Furniture,Furnishings,Home Office,15
2017,Central,Furniture,Furnishings,Home Office,14
2014,Central,Furniture,Tables,Consumer,11
2015,Central,Furniture,Tables,Consumer,6
2016,Central,Furniture,Tables,Consumer,10
2017,Central,Furniture,Tables,Consumer,15
2014,Central,Furniture,Tables,Corporate,2
2015,Central,Furniture,Tables,Corporate,4
2016,Central,Furniture,Tables,Corporate,5
2017,Central,Furniture,Tables,Corporate,5
2014,Central,Furniture,Tables,Home Office,2
2015,Central,Furniture,Tables,Home Office,4
2016,Central,Furniture,Tables,Home Office,2
2017,Central,Furniture,Tables,Home Office,6
2014,Central,Office Supplies,Appliances,Consumer,14
2015,Central,Office Supplies,Appliances,Consumer,15
2016,Central,Office Supplies,Appliances,Consumer,9
2017,Central,Office Supplies,Appliances,Consumer,28
2014,Central,Office Supplies,Appliances,Corporate,7
2015,Central,Office Supplies,Appliances,Corporate,5
2016,Central,Office Supplies,Appliances,Corporate,12
2017,Central,Office Supplies,Appliances,Corporate,12
2014,Central,Office Supplies,Appliances,Home Office,2
2015,Central,Office Supplies,Appliances,Home Office,6
2016,Central,Office Supplies,Appliances,Home Office,7
2017,Central,Office Supplies,Appliances,Home Office,6
2014,Central,Office Supplies,Art,Consumer,19
2015,Central,Office Supplies,Art,Consumer,14
2016,Central,Office Supplies,Art,Consumer,22
2017,Central,Office Supplies,Art,Consumer,39
2014,Central,Office Supplies,Art,Corporate,5
2015,Central,Office Supplies,Art,Corporate,11
2016,Central,Office Supplies,Art,Corporate,15
2017,Central,Office Supplies,Art,Corporate,13
2014,Central,Office Supplies,Art,Home Office,4
2015,Central,Office Supplies,Art,Home Office,8
2016,Central,Office Supplies,Art,Home Office,9
2017,Central,Office Supplies,Art,Home Office,17
2014,Central,Office Supplies,Binders,Consumer,50
2015,Central,Office Supplies,Binders,Consumer,41
2016,Central,Office Supplies,Binders,Consumer,40
2017,Central,Office Supplies,Binders,Consumer,62
2014,Central,Office Supplies,Binders,Corporate,15
2015,Central,Office Supplies,Binders,Corporate,18
2016,Central,Office Supplies,Binders,Corporate,26
2017,Central,Office Supplies,Binders,Corporate,45
2014,Central,Office Supplies,Binders,Home Office,14
2015,Central,Office Supplies,Binders,Home Office,16
2016,Central,Office Supplies,Binders,Home Office,14
2017,Central,Office Supplies,Binders,Home Office,25
2014,Central,Office Supplies,Envelopes,Consumer,6
2015,Central,Office Supplies,Envelopes,Consumer,6
2016,Central,Office Supplies,Envelopes,Consumer,9
2017,Central,Office Supplies,Envelopes,Consumer,8
2014,Central,Office Supplies,Envelopes,Corporate,6
2015,Central,Office Supplies,Envelopes,Corporate,3
2016,Central,Office Supplies,Envelopes,Corporate,2
2017,Central,Office Supplies,Envelopes,Corporate,4
2014,Central,Office Supplies,Envelopes,Home Office,5
2015,Central,Office Supplies,Envelopes,Home Office,3
2016,Central,Office Supplies,Envelopes,Home Office,2
2017,Central,Office Supplies,Envelopes,Home Office,5
2014,Central,Office Supplies,Fasteners,Consumer,7
2015,Central,Office Supplies,Fasteners,Consumer,6
2016,Central,Office Supplies,Fasteners,Consumer,7
2017,Central,Office Supplies,Fasteners,Consumer,10
2014,Central,Office Supplies,Fasteners,Corporate,5
2015,Central,Office Supplies,Fasteners,Corporate,2
2016,Central,Office Supplies,Fasteners,Corporate,5
2017,Central,Office Supplies,Fasteners,Corporate,6
2014,Central,Office Supplies,Fasteners,Home Office,1
2015,Central,Office Supplies,Fasteners,Home Office,1
2016,Central,Office Supplies,Fasteners,Home Office,3
2017,Central,Office Supplies,Fasteners,Home Office,2
2014,Central,Office Supplies,Labels,Consumer,5
2015,Central,Office Supplies,Labels,Consumer,6
2016,Central,Office Supplies,Labels,Consumer,10
2017,Central,Office Supplies,Labels,Consumer,12
2014,Central,Office Supplies,Labels,Corporate,5
2015,Central,Office Supplies,Labels,Corporate,7
2016,Central,Office Supplies,Labels,Corporate,5
2017,Central,Office Supplies,Labels,Corporate,6
2014,Central,Office Supplies,Labels,Home Office,6
2015,Central,Office Supplies,Labels,Home Office,2
2016,Central,Office Supplies,Labels,Home Office,7
2017,Central,Office Supplies,Labels,Home Office,5
