Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Sales),Sum(Orders.Profit)
January,Furniture,Bookcases,Consumer,2658.2486,-810.6860000000001
February,Furniture,Bookcases,Consumer,1116.594,197.42619999999994
March,Furniture,Bookcases,Consumer,3233.3209999999995,-478.2228000000001
April,Furniture,Bookcases,Consumer,2771.194,271.6822
May,Furniture,Bookcases,Consumer,4236.6143999999995,157.48879999999988
June,Furniture,Bookcases,Consumer,5201.9333,219.5560999999997
July,Furniture,Bookcases,Consumer,4794.129,-4.008999999999936
August,Furniture,Bookcases,Consumer,2019.8768,-166.6474
September,Furniture,Bookcases,Consumer,17067.9386,-1846.4078000000006
October,Furniture,Bookcases,Consumer,4292.3242,-408.2650000000001
November,Furniture,Bookcases,Consumer,14907.842800000002,-436.69390000000055
December,Furniture,Bookcases,Consumer,6332.712299999999,-1130.8596000000005
January,Furniture,Bookcases,Corporate,2609.13,240.77079999999992
February,Furniture,Bookcases,Corporate,,
March,Furniture,Bookcases,Corporate,2177.7412,-170.3190000000002
April,Furniture,Bookcases,Corporate,1209.7006000000001,-7.299800000000047
May,Furniture,Bookcases,Corporate,2052.9673000000003,-396.00540000000007
June,Furniture,Bookcases,Corporate,1121.76,-191.43540000000002
July,Furniture,Bookcases,Corporate,3373.0609999999997,498.1401999999998
August,Furniture,Bookcases,Corporate,2914.2682,63.68720000000013
September,Furniture,Bookcases,Corporate,5362.3193,-166.20920000000004
October,Furniture,Bookcases,Corporate,2308.465,50.82200000000006
November,Furniture,Bookcases,Corporate,7254.4557,927.6228
December,Furniture,Bookcases,Corporate,3622.0559999999996,-211.32400000000015
January,Furniture,Bookcases,Home Office,84.98,18.6956
February,Furniture,Bookcases,Home Office,533.0293999999999,52.56679999999995
March,Furniture,Bookcases,Home Office,1940.8536,-33.08619999999999
April,Furniture,Bookcases,Home Office,739.586,-225.98760000000004
May,Furniture,Bookcases,Home Office,,
June,Furniture,Bookcases,Home Office,2823.9359999999997,203.45060000000007
July,Furniture,Bookcases,Home Office,421.79299999999995,67.441
August,Furniture,Bookcases,Home Office,687.4,48.11799999999998
September,Furniture,Bookcases,Home Office,942.2728,3.1243999999999517
October,Furniture,Bookcases,Home Office,1646.1540000000002,180.6623999999999
November,Furniture,Bookcases,Home Office,1398.722,-37.72520000000004
December,Furniture,Bookcases,Home Office,1022.6161999999999,47.37219999999999
January,Furniture,Chairs,Consumer,8321.135,173.4170999999999
February,Furniture,Chairs,Consumer,4432.81,566.8314999999999
March,Furniture,Chairs,Consumer,8551.483,1131.0379999999998
April,Furniture,Chairs,Consumer,9416.164,790.3655999999997
May,Furniture,Chairs,Consumer,13504.409000000001,735.5245999999997
June,Furniture,Chairs,Consumer,8671.986999999997,647.9569999999997
July,Furniture,Chairs,Consumer,11327.677,355.6760999999997
August,Furniture,Chairs,Consumer,9132.76,-530.3962000000004
September,Furniture,Chairs,Consumer,29694.023,3644.7227000000003
October,Furniture,Chairs,Consumer,14544.785999999996,540.6427000000001
November,Furniture,Chairs,Consumer,23714.024,1092.1757000000002
December,Furniture,Chairs,Consumer,31551.483999999993,4087.377100000001
January,Furniture,Chairs,Corporate,207.84600000000003,2.3093999999999895
February,Furniture,Chairs,Corporate,1358.476,120.80159999999987
March,Furniture,Chairs,Corporate,7508.822000000002,431.75669999999974
April,Furniture,Chairs,Corporate,5087.116000000001,547.9063999999997
May,Furniture,Chairs,Corporate,10539.343,1195.8721999999998
June,Furniture,Chairs,Corporate,8179.254000000001,452.8063999999998
July,Furniture,Chairs,Corporate,9150.468,460.3518999999995
August,Furniture,Chairs,Corporate,8290.916,1008.3613999999998
September,Furniture,Chairs,Corporate,11058.264,1148.6617
October,Furniture,Chairs,Corporate,7161.407999999999,443.66260000000005
November,Furniture,Chairs,Corporate,14953.674,1144.5897999999993
December,Furniture,Chairs,Corporate,15645.291000000001,1387.5763999999995
January,Furniture,Chairs,Home Office,2756.188,725.8913999999996
February,Furniture,Chairs,Home Office,1791.654,76.37339999999986
March,Furniture,Chairs,Home Office,5284.022,189.2366999999998
April,Furniture,Chairs,Home Office,4023.305,321.2940999999999
May,Furniture,Chairs,Home Office,1850.078,-162.22180000000003
June,Furniture,Chairs,Home Office,4672.126000000001,383.0731999999996
July,Furniture,Chairs,Home Office,2538.206,-50.146199999999894
August,Furniture,Chairs,Home Office,916.128,50.69679999999998
September,Furniture,Chairs,Home Office,10824.930999999997,1251.4427
October,Furniture,Chairs,Home Office,2464.256,76.6229999999998
November,Furniture,Chairs,Home Office,9092.315,1007.5279999999996
December,Furniture,Chairs,Home Office,10232.274000000001,1140.3866
January,Furniture,Furnishings,Consumer,2620.0480000000002,373.8166999999999
February,Furniture,Furnishings,Consumer,1253.8439999999998,167.93869999999995
March,Furniture,Furnishings,Consumer,3220.2380000000003,467.80670000000015
April,Furniture,Furnishings,Consumer,2468.1,369.1000999999999
May,Furniture,Furnishings,Consumer,2462.786,278.8890999999999
June,Furniture,Furnishings,Consumer,4047.4199999999996,-11.271500000000195
July,Furniture,Furnishings,Consumer,4217.200000000001,1071.8353999999997
August,Furniture,Furnishings,Consumer,2362.1940000000004,413.40290000000005
September,Furniture,Furnishings,Consumer,7134.091999999995,1671.9316999999996
October,Furniture,Furnishings,Consumer,1762.092,144.3959999999999
November,Furniture,Furnishings,Consumer,8732.041999999996,1425.8648999999994
December,Furniture,Furnishings,Consumer,9339.99,1545.7119999999993
January,Furniture,Furnishings,Corporate,557.628,196.45520000000002
February,Furniture,Furnishings,Corporate,862.712,43.76169999999997
March,Furniture,Furnishings,Corporate,636.0239999999999,167.471
April,Furniture,Furnishings,Corporate,2561.1639999999993,716.8541
May,Furniture,Furnishings,Corporate,2447.662,420.1545999999999
June,Furniture,Furnishings,Corporate,1582.1580000000004,333.43539999999996
July,Furniture,Furnishings,Corporate,2145.262,-62.83640000000014
August,Furniture,Furnishings,Corporate,1238.0240000000001,258.02259999999995
September,Furniture,Furnishings,Corporate,3095.0340000000006,540.5483999999999
