Orders.Category,Orders.Region,Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Quantity),Sum(Orders.Sales)
Furniture,West,11504.950299999988,92.90000000000033,2696,252612.7435000004
Office Supplies,West,52609.84900000001,177.1,7235,220853.24899999998
Technology,West,44303.649599999946,80.20000000000003,2335,251991.83199999962
Furniture,East,3046.1658000000093,92.5999999999998,2214,208291.20400000006
Office Supplies,East,41014.57910000001,244.7,6462,205516.05499999988
Technology,East,47462.03509999992,76.70000000000002,1942,264973.981
Furniture,Central,-2871.04940000001,143.03999999999985,1827,163797.16379999998
Office Supplies,Central,8879.979899999986,359.40000000000117,5409,167026.41500000012
Technology,Central,33697.431999999986,55.89999999999997,1544,170416.3119999999
Furniture,South,6771.206099999998,40.34999999999999,1291,117298.68399999996
Office Supplies,South,19986.39280000002,166.6,3800,125651.31299999994
Technology,South,19991.831400000003,31.6,1118,148771.90799999997
