Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Quantity),Sum(Orders.Sales)
Technology,Phones,44515.73059999999,137.4000000000009,3289,330007.0539999998
Technology,Machines,3384.756899999995,35.199999999999974,440,189238.631
Technology,Accessories,41936.635699999955,60.800000000000004,2976,167380.318
Technology,Copiers,55617.824900000036,11.000000000000007,234,149528.02999999994
Furniture,Chairs,26590.16630000003,104.99999999999945,2356,328449.10300000064
Furniture,Tables,-17725.481100000015,83.34999999999991,1241,206965.53199999995
Furniture,Bookcases,-3472.5560000000046,48.13999999999997,868,114879.9963
Furniture,Furnishings,13059.143600000005,132.39999999999938,3563,91705.16399999989
Office Supplies,Storage,21278.82639999999,63.2,3158,223843.60799999998
Office Supplies,Binders,30221.763299999973,567,5974,203412.73300000004
Office Supplies,Appliances,18138.00540000003,77.59999999999987,1729,107532.1610000001
Office Supplies,Paper,34053.56929999999,102.60000000000001,5178,78479.20599999995
Office Supplies,Supplies,-1189.0994999999998,14.600000000000001,647,46673.53799999997
Office Supplies,Art,6527.786999999998,59.60000000000001,3000,27118.791999999998
Office Supplies,Envelopes,6964.176699999995,20.4,906,16476.402
Office Supplies,Labels,5546.253999999996,25,1400,12486.312000000005
Office Supplies,Fasteners,949.5181999999995,17.8,914,3024.2799999999997
