Category,Segment,Region,Value Column Name,Value
"Technology","Consumer","Central","Sales","72690.73599999999"
"Technology","Consumer","East","Sales","135441.229"
"Technology","Consumer","South","Sales","65276.186000000016"
"Technology","Consumer","West","Sales","132991.74599999996"
"Technology","Corporate","Central","Sales","64772.509999999966"
"Technology","Corporate","East","Sales","69725.566"
"Technology","Corporate","South","Sales","46310.73099999999"
"Technology","Corporate","West","Sales","65641.31199999999"
"Technology","Home Office","Central","Sales","32953.066"
"Technology","Home Office","East","Sales","59807.18599999999"
"Technology","Home Office","South","Sales","37184.991"
"Technology","Home Office","West","Sales","53358.77399999997"
"Furniture","Consumer","Central","Sales","86229.2189999999"
"Furniture","Consumer","East","Sales","114211.80199999992"
"Furniture","Consumer","South","Sales","70800.20399999993"
"Furniture","Consumer","West","Sales","119808.08699999982"
"Furniture","Corporate","Central","Sales","52085.60179999999"
"Furniture","Corporate","East","Sales","64209.045999999995"
"Furniture","Corporate","South","Sales","29645.03149999998"
"Furniture","Corporate","West","Sales","83080.10649999998"
"Furniture","Home Office","Central","Sales","25482.342999999997"
"Furniture","Home Office","East","Sales","29870.355999999996"
"Furniture","Home Office","South","Sales","16853.4485"
"Furniture","Home Office","West","Sales","49724.549999999996"
"Office Supplies","Consumer","Central","Sales","93111.47900000002"
"Office Supplies","Consumer","East","Sales","101255.13600000006"
"Office Supplies","Consumer","South","Sales","59504.580999999984"
"Office Supplies","Consumer","West","Sales","110080.94000000009"
"Office Supplies","Corporate","Central","Sales","41137.70100000002"
"Office Supplies","Corporate","East","Sales","66474.73499999994"
"Office Supplies","Corporate","South","Sales","45930.16999999996"
"Office Supplies","Corporate","West","Sales","77133.85600000006"
"Office Supplies","Home Office","Central","Sales","32777.23500000002"
"Office Supplies","Home Office","East","Sales","37786.18400000001"
"Office Supplies","Home Office","South","Sales","20216.562000000005"
"Office Supplies","Home Office","West","Sales","33638.452999999994"
