Level 0 Description,Category,Sub Category,Value Column Name,Value
"Operating Profit","Beverages","Juices","2020 Gross Sales","2964582958.9599996"
"Operating Profit","Beverages","Juices","2020 Plan","474326004.1000001"
"Operating Profit","Beverages","Juices","Actuals","1256329449.000001"
"Operating Profit","Beverages","Juices","2020 Actuals","437953558.10999864"
"Operating Profit","Beverages","Juices","2020 Actuals - 2020 Gross Sales","-2526629400.850001"
"Operating Profit","Beverages","Juices","(2020 Actuals - 2020 Gross Sales)%","-0.8522714445259996"
"Operating Profit","Beverages","Juices","2020 Actuals - 2020 Plan","-36372445.99000144"
"Operating Profit","Beverages","Juices","(2020 Actuals - 2020 Plan)%","-0.07668237810198826"
"Operating Profit","Beverages","Juices","2020 Actuals - Actuals","-818375890.8900023"
"Operating Profit","Beverages","Juices","(2020 Actuals - Actuals)%","-0.6514022986099737"
"Operating Profit","Beverages","Juices","2020 Plan - 2020 Gross Sales","-2490256954.8599997"
"Operating Profit","Beverages","Juices","(2020 Plan - 2020 Gross Sales)%","-0.8400024520594297"
"Operating Profit","Beverages","Juices","Actuals - 2020 Gross Sales","-1708253509.9599986"
"Operating Profit","Beverages","Juices","(Actuals - 2020 Gross Sales)%","-0.5762205118251331"
"Operating Profit","Beverages","Juices","Actuals - 2020 Plan","782003444.9000008"
"Operating Profit","Beverages","Juices","(Actuals - 2020 Plan)%","1.6486623928278965"
"Operating Profit","Beverages","Soda","2020 Gross Sales","2438756734.77"
"Operating Profit","Beverages","Soda","2020 Plan","318588772.0000006"
"Operating Profit","Beverages","Soda","Actuals","868461678.1199986"
"Operating Profit","Beverages","Soda","2020 Actuals","302503517.22999936"
"Operating Profit","Beverages","Soda","2020 Actuals - 2020 Gross Sales","-2136253217.5400007"
"Operating Profit","Beverages","Soda","(2020 Actuals - 2020 Gross Sales)%","-0.8759599459359244"
"Operating Profit","Beverages","Soda","2020 Actuals - 2020 Plan","-16085254.770001233"
"Operating Profit","Beverages","Soda","(2020 Actuals - 2020 Plan)%","-0.05048908242755398"
"Operating Profit","Beverages","Soda","2020 Actuals - Actuals","-565958160.8899992"
"Operating Profit","Beverages","Soda","(2020 Actuals - Actuals)%","-0.6516789112850165"
"Operating Profit","Beverages","Soda","2020 Plan - 2020 Gross Sales","-2120167962.7699995"
"Operating Profit","Beverages","Soda","(2020 Plan - 2020 Gross Sales)%","-0.8693642676787742"
"Operating Profit","Beverages","Soda","Actuals - 2020 Gross Sales","-1570295056.6500015"
"Operating Profit","Beverages","Soda","(Actuals - 2020 Gross Sales)%","-0.6438916330857808"
"Operating Profit","Beverages","Soda","Actuals - 2020 Plan","549872906.119998"
"Operating Profit","Beverages","Soda","(Actuals - 2020 Plan)%","1.7259644860302765"
"Operating Profit","Beverages","Tea & Coffee","2020 Gross Sales","802917130.9299998"
"Operating Profit","Beverages","Tea & Coffee","2020 Plan","89527095.52"
"Operating Profit","Beverages","Tea & Coffee","Actuals","297806326.5200025"
"Operating Profit","Beverages","Tea & Coffee","2020 Actuals","104849652.75000001"
"Operating Profit","Beverages","Tea & Coffee","2020 Actuals - 2020 Gross Sales","-698067478.1799998"
"Operating Profit","Beverages","Tea & Coffee","(2020 Actuals - 2020 Gross Sales)%","-0.8694141042568675"
"Operating Profit","Beverages","Tea & Coffee","2020 Actuals - 2020 Plan","15322557.23000002"
"Operating Profit","Beverages","Tea & Coffee","(2020 Actuals - 2020 Plan)%","0.17114994227168936"
"Operating Profit","Beverages","Tea & Coffee","2020 Actuals - Actuals","-192956673.77000248"
"Operating Profit","Beverages","Tea & Coffee","(2020 Actuals - Actuals)%","-0.6479267113791229"
"Operating Profit","Beverages","Tea & Coffee","2020 Plan - 2020 Gross Sales","-713390035.4099998"
"Operating Profit","Beverages","Tea & Coffee","(2020 Plan - 2020 Gross Sales)%","-0.8884977140588558"
"Operating Profit","Beverages","Tea & Coffee","Actuals - 2020 Gross Sales","-505110804.40999734"
"Operating Profit","Beverages","Tea & Coffee","(Actuals - 2020 Gross Sales)%","-0.6290945664902423"
"Operating Profit","Beverages","Tea & Coffee","Actuals - 2020 Plan","208279231.0000025"
"Operating Profit","Beverages","Tea & Coffee","(Actuals - 2020 Plan)%","2.3264379324522344"
"Operating Profit","Water","Mineral Water","2020 Gross Sales","784448793.0599998"
"Operating Profit","Water","Mineral Water","2020 Plan","263006412.5000002"
"Operating Profit","Water","Mineral Water","Actuals","768948071.409998"
"Operating Profit","Water","Mineral Water","2020 Actuals","264283120.61000037"
"Operating Profit","Water","Mineral Water","2020 Actuals - 2020 Gross Sales","-520165672.44999945"
"Operating Profit","Water","Mineral Water","(2020 Actuals - 2020 Gross Sales)%","-0.6630970396689918"
"Operating Profit","Water","Mineral Water","2020 Actuals - 2020 Plan","1276708.1100001633"
"Operating Profit","Water","Mineral Water","(2020 Actuals - 2020 Plan)%","0.004854285102269749"
"Operating Profit","Water","Mineral Water","2020 Actuals - Actuals","-504664950.7999977"
"Operating Profit","Water","Mineral Water","(2020 Actuals - Actuals)%","-0.6563056330638921"
"Operating Profit","Water","Mineral Water","2020 Plan - 2020 Gross Sales","-521442380.5599996"
"Operating Profit","Water","Mineral Water","(2020 Plan - 2020 Gross Sales)%","-0.6647245622317074"
"Operating Profit","Water","Mineral Water","Actuals - 2020 Gross Sales","-15500721.650001764"
"Operating Profit","Water","Mineral Water","(Actuals - 2020 Gross Sales)%","-0.019760017208435128"
"Operating Profit","Water","Mineral Water","Actuals - 2020 Plan","505941658.9099978"
"Operating Profit","Water","Mineral Water","(Actuals - 2020 Plan)%","1.923685639832061"
"Operating Profit","Water","Sparkling Water","2020 Gross Sales","149317841.35999998"
"Operating Profit","Water","Sparkling Water","2020 Plan","43796371.20999992"
"Operating Profit","Water","Sparkling Water","Actuals","133798497.50999975"
"Operating Profit","Water","Sparkling Water","2020 Actuals","47775470.43999998"
"Operating Profit","Water","Sparkling Water","2020 Actuals - 2020 Gross Sales","-101542370.92"
"Operating Profit","Water","Sparkling Water","(2020 Actuals - 2020 Gross Sales)%","-0.6800417819809287"
"Operating Profit","Water","Sparkling Water","2020 Actuals - 2020 Plan","3979099.230000064"
"Operating Profit","Water","Sparkling Water","(2020 Actuals - 2020 Plan)%","0.09085454159936258"
"Operating Profit","Water","Sparkling Water","2020 Actuals - Actuals","-86023027.06999977"
"Operating Profit","Water","Sparkling Water","(2020 Actuals - Actuals)%","-0.6429296940615542"
"Operating Profit","Water","Sparkling Water","2020 Plan - 2020 Gross Sales","-105521470.15000007"
"Operating Profit","Water","Sparkling Water","(2020 Plan - 2020 Gross Sales)%","-0.7066903002943338"
"Operating Profit","Water","Sparkling Water","Actuals - 2020 Gross Sales","-15519343.850000232"
"Operating Profit","Water","Sparkling Water","(Actuals - 2020 Gross Sales)%","-0.10393495987250208"
"Operating Profit","Water","Sparkling Water","Actuals - 2020 Plan","90002126.29999983"
"Operating Profit","Water","Sparkling Water","(Actuals - 2020 Plan)%","2.0550133221870643"
