Sub Category,Region,Value Column Name,Value
"Juices","International","2020 Gross Sales","1030167268.5700002"
"Juices","International","2020 Plan","177601425.13000014"
"Juices","International","Actuals","477817211.7999958"
"Juices","International","2020 Actuals","163946088.0100001"
"Juices","International","2020 Actuals - 2020 Gross Sales","-866221180.5600001"
"Juices","International","(2020 Actuals - 2020 Gross Sales)%","-0.840854885403632"
"Juices","International","2020 Actuals - 2020 Plan","-13655337.120000035"
"Juices","International","(2020 Actuals - 2020 Plan)%","-0.07688754248455294"
"Juices","International","2020 Actuals - Actuals","-313871123.7899957"
"Juices","International","(2020 Actuals - Actuals)%","-0.6568853445182622"
"Juices","International","2020 Plan - 2020 Gross Sales","-852565843.44"
"Juices","International","(2020 Plan - 2020 Gross Sales)%","-0.82759942919121"
"Juices","International","Actuals - 2020 Gross Sales","-552350056.7700044"
"Juices","International","(Actuals - 2020 Gross Sales)%","-0.5361751179851936"
"Juices","International","Actuals - 2020 Plan","300215786.66999567"
"Juices","International","(Actuals - 2020 Plan)%","1.6903906398850383"
"Juices","United States","2020 Gross Sales","1934415690.3899999"
"Juices","United States","2020 Plan","296724578.97000015"
"Juices","United States","Actuals","778512237.1999984"
"Juices","United States","2020 Actuals","274007470.09999985"
"Juices","United States","2020 Actuals - 2020 Gross Sales","-1660408220.29"
"Juices","United States","(2020 Actuals - 2020 Gross Sales)%","-0.8583512988127402"
"Juices","United States","2020 Actuals - 2020 Plan","-22717108.870000303"
"Juices","United States","(2020 Actuals - 2020 Plan)%","-0.07655957908460653"
"Juices","United States","2020 Actuals - Actuals","-504504767.09999853"
"Juices","United States","(2020 Actuals - Actuals)%","-0.6480370416713079"
"Juices","United States","2020 Plan - 2020 Gross Sales","-1637691111.4199996"
"Juices","United States","(2020 Plan - 2020 Gross Sales)%","-0.8466076446525425"
"Juices","United States","Actuals - 2020 Gross Sales","-1155903453.1900015"
"Juices","United States","(Actuals - 2020 Gross Sales)%","-0.5975465660935362"
"Juices","United States","Actuals - 2020 Plan","481787658.22999823"
"Juices","United States","(Actuals - 2020 Plan)%","1.6236863825113341"
"Soda","International","2020 Gross Sales","975391868.6700001"
"Soda","International","2020 Plan","139578905.31000036"
"Soda","International","Actuals","369913923.0699996"
"Soda","International","2020 Actuals","139978749.81999952"
"Soda","International","2020 Actuals - 2020 Gross Sales","-835413118.8500006"
"Soda","International","(2020 Actuals - 2020 Gross Sales)%","-0.856489730623992"
"Soda","International","2020 Actuals - 2020 Plan","399844.509999156"
"Soda","International","(2020 Actuals - 2020 Plan)%","0.0028646485592583922"
"Soda","International","2020 Actuals - Actuals","-229935173.25000006"
"Soda","International","(2020 Actuals - Actuals)%","-0.6215910213427921"
"Soda","International","2020 Plan - 2020 Gross Sales","-835812963.3599997"
"Soda","International","(2020 Plan - 2020 Gross Sales)%","-0.8568996627987847"
"Soda","International","Actuals - 2020 Gross Sales","-605477945.6000005"
"Soda","International","(Actuals - 2020 Gross Sales)%","-0.6207535299895443"
"Soda","International","Actuals - 2020 Plan","230335017.75999922"
"Soda","International","(Actuals - 2020 Plan)%","1.6502136712451811"
"Soda","United States","2020 Gross Sales","1463364866.1"
"Soda","United States","2020 Plan","179009866.68999985"
"Soda","United States","Actuals","498547755.0499999"
"Soda","United States","2020 Actuals","162524767.40999982"
"Soda","United States","2020 Actuals - 2020 Gross Sales","-1300840098.69"
"Soda","United States","(2020 Actuals - 2020 Gross Sales)%","-0.8889376319091608"
"Soda","United States","2020 Actuals - 2020 Plan","-16485099.280000031"
"Soda","United States","(2020 Actuals - 2020 Plan)%","-0.09209045057023638"
"Soda","United States","2020 Actuals - Actuals","-336022987.6400001"
"Soda","United States","(2020 Actuals - Actuals)%","-0.6740036119635119"
"Soda","United States","2020 Plan - 2020 Gross Sales","-1284354999.41"
"Soda","United States","(2020 Plan - 2020 Gross Sales)%","-0.8776724309590148"
"Soda","United States","Actuals - 2020 Gross Sales","-964817111.05"
"Soda","United States","(Actuals - 2020 Gross Sales)%","-0.65931411461403"
"Soda","United States","Actuals - 2020 Plan","319537888.36"
"Soda","United States","(Actuals - 2020 Plan)%","1.7850294750141311"
"Mineral Water","International","2020 Gross Sales","282802252.71"
"Mineral Water","International","2020 Plan","100105554.29"
"Mineral Water","International","Actuals","286817233.4299997"
"Mineral Water","International","2020 Actuals","98512545.92999989"
"Mineral Water","International","2020 Actuals - 2020 Gross Sales","-184289706.7800001"
"Mineral Water","International","(2020 Actuals - 2020 Gross Sales)%","-0.6516557241465126"
"Mineral Water","International","2020 Actuals - 2020 Plan","-1593008.3600001186"
"Mineral Water","International","(2020 Actuals - 2020 Plan)%","-0.015913286443480102"
"Mineral Water","International","2020 Actuals - Actuals","-188304687.49999982"
"Mineral Water","International","(2020 Actuals - Actuals)%","-0.6565319846652703"
"Mineral Water","International","2020 Plan - 2020 Gross Sales","-182696698.41999996"
"Mineral Water","International","(2020 Plan - 2020 Gross Sales)%","-0.6460227833027433"
"Mineral Water","International","Actuals - 2020 Gross Sales","4014980.7199997306"
"Mineral Water","International","(Actuals - 2020 Gross Sales)%","0.014197131322418777"
"Mineral Water","International","Actuals - 2020 Plan","186711679.1399997"
"Mineral Water","International","(Actuals - 2020 Plan)%","1.8651480476208817"
"Mineral Water","United States","2020 Gross Sales","501646540.35"
"Mineral Water","United States","2020 Plan","162900858.2099999"
"Mineral Water","United States","Actuals","482130837.9800004"
"Mineral Water","United States","2020 Actuals","165770574.6799999"
