Category,Sub Category,Value Column Name,Value
"Beverages","Juices","2020 Gross Sales","2964582958.9599996"
"Beverages","Juices","2020 Plan","474326004.1000001"
"Beverages","Juices","Actuals","1256329449.000001"
"Beverages","Juices","2020 Actuals","437953558.10999864"
"Beverages","Juices","2020 Actuals - 2020 Gross Sales","-2526629400.850001"
"Beverages","Juices","(2020 Actuals - 2020 Gross Sales)%","-0.8522714445259996"
"Beverages","Juices","2020 Actuals - 2020 Plan","-36372445.99000144"
"Beverages","Juices","(2020 Actuals - 2020 Plan)%","-0.07668237810198826"
"Beverages","Juices","2020 Actuals - Actuals","-818375890.8900023"
"Beverages","Juices","(2020 Actuals - Actuals)%","-0.6514022986099737"
"Beverages","Juices","2020 Plan - 2020 Gross Sales","-2490256954.8599997"
"Beverages","Juices","(2020 Plan - 2020 Gross Sales)%","-0.8400024520594297"
"Beverages","Juices","Actuals - 2020 Gross Sales","-1708253509.9599986"
"Beverages","Juices","(Actuals - 2020 Gross Sales)%","-0.5762205118251331"
"Beverages","Juices","Actuals - 2020 Plan","782003444.9000008"
"Beverages","Juices","(Actuals - 2020 Plan)%","1.6486623928278965"
"Beverages","Soda","2020 Gross Sales","2438756734.77"
"Beverages","Soda","2020 Plan","318588772.0000006"
"Beverages","Soda","Actuals","868461678.1199986"
"Beverages","Soda","2020 Actuals","302503517.22999936"
"Beverages","Soda","2020 Actuals - 2020 Gross Sales","-2136253217.5400007"
"Beverages","Soda","(2020 Actuals - 2020 Gross Sales)%","-0.8759599459359244"
"Beverages","Soda","2020 Actuals - 2020 Plan","-16085254.770001233"
"Beverages","Soda","(2020 Actuals - 2020 Plan)%","-0.05048908242755398"
"Beverages","Soda","2020 Actuals - Actuals","-565958160.8899992"
"Beverages","Soda","(2020 Actuals - Actuals)%","-0.6516789112850165"
"Beverages","Soda","2020 Plan - 2020 Gross Sales","-2120167962.7699995"
"Beverages","Soda","(2020 Plan - 2020 Gross Sales)%","-0.8693642676787742"
"Beverages","Soda","Actuals - 2020 Gross Sales","-1570295056.6500015"
"Beverages","Soda","(Actuals - 2020 Gross Sales)%","-0.6438916330857808"
"Beverages","Soda","Actuals - 2020 Plan","549872906.119998"
"Beverages","Soda","(Actuals - 2020 Plan)%","1.7259644860302765"
"Beverages","Tea & Coffee","2020 Gross Sales","802917130.9299998"
"Beverages","Tea & Coffee","2020 Plan","89527095.52"
"Beverages","Tea & Coffee","Actuals","297806326.5200025"
"Beverages","Tea & Coffee","2020 Actuals","104849652.75000001"
"Beverages","Tea & Coffee","2020 Actuals - 2020 Gross Sales","-698067478.1799998"
"Beverages","Tea & Coffee","(2020 Actuals - 2020 Gross Sales)%","-0.8694141042568675"
"Beverages","Tea & Coffee","2020 Actuals - 2020 Plan","15322557.23000002"
"Beverages","Tea & Coffee","(2020 Actuals - 2020 Plan)%","0.17114994227168936"
"Beverages","Tea & Coffee","2020 Actuals - Actuals","-192956673.77000248"
"Beverages","Tea & Coffee","(2020 Actuals - Actuals)%","-0.6479267113791229"
"Beverages","Tea & Coffee","2020 Plan - 2020 Gross Sales","-713390035.4099998"
"Beverages","Tea & Coffee","(2020 Plan - 2020 Gross Sales)%","-0.8884977140588558"
"Beverages","Tea & Coffee","Actuals - 2020 Gross Sales","-505110804.40999734"
"Beverages","Tea & Coffee","(Actuals - 2020 Gross Sales)%","-0.6290945664902423"
"Beverages","Tea & Coffee","Actuals - 2020 Plan","208279231.0000025"
"Beverages","Tea & Coffee","(Actuals - 2020 Plan)%","2.3264379324522344"
"Water","Mineral Water","2020 Gross Sales","784448793.0599998"
"Water","Mineral Water","2020 Plan","263006412.5000002"
"Water","Mineral Water","Actuals","768948071.409998"
"Water","Mineral Water","2020 Actuals","264283120.61000037"
"Water","Mineral Water","2020 Actuals - 2020 Gross Sales","-520165672.44999945"
"Water","Mineral Water","(2020 Actuals - 2020 Gross Sales)%","-0.6630970396689918"
"Water","Mineral Water","2020 Actuals - 2020 Plan","1276708.1100001633"
"Water","Mineral Water","(2020 Actuals - 2020 Plan)%","0.004854285102269749"
"Water","Mineral Water","2020 Actuals - Actuals","-504664950.7999977"
"Water","Mineral Water","(2020 Actuals - Actuals)%","-0.6563056330638921"
"Water","Mineral Water","2020 Plan - 2020 Gross Sales","-521442380.5599996"
"Water","Mineral Water","(2020 Plan - 2020 Gross Sales)%","-0.6647245622317074"
"Water","Mineral Water","Actuals - 2020 Gross Sales","-15500721.650001764"
"Water","Mineral Water","(Actuals - 2020 Gross Sales)%","-0.019760017208435128"
"Water","Mineral Water","Actuals - 2020 Plan","505941658.9099978"
"Water","Mineral Water","(Actuals - 2020 Plan)%","1.923685639832061"
"Water","Sparkling Water","2020 Gross Sales","149317841.35999998"
"Water","Sparkling Water","2020 Plan","43796371.20999992"
"Water","Sparkling Water","Actuals","133798497.50999975"
"Water","Sparkling Water","2020 Actuals","47775470.43999998"
"Water","Sparkling Water","2020 Actuals - 2020 Gross Sales","-101542370.92"
"Water","Sparkling Water","(2020 Actuals - 2020 Gross Sales)%","-0.6800417819809287"
"Water","Sparkling Water","2020 Actuals - 2020 Plan","3979099.230000064"
"Water","Sparkling Water","(2020 Actuals - 2020 Plan)%","0.09085454159936258"
