Level 0 Description,Level 1 Description,Level 2 Description,Value Column Name,Value
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","Actuals",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals - Actuals",
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Actuals - Actuals)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Plan - 2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Plan - 2020 Plan)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","(Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Cost of Goods Sold","(Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Cost of Goods Sold","2019 Actuals",
"Operating Profit","Gross Profit","Cost of Goods Sold","2018 Actuals",
"Operating Profit","Gross Profit","Net Revenue","2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","Actuals",
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals",
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals - Actuals",
"Operating Profit","Gross Profit","Net Revenue","(2020 Actuals - Actuals)%",
"Operating Profit","Gross Profit","Net Revenue","2020 Plan - 2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","(2020 Plan - 2020 Plan)%",
"Operating Profit","Gross Profit","Net Revenue","Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","(Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Net Revenue","Actuals - 2020 Plan",
"Operating Profit","Gross Profit","Net Revenue","(Actuals - 2020 Plan)%",
"Operating Profit","Gross Profit","Net Revenue","2019 Actuals",
"Operating Profit","Gross Profit","Net Revenue","2018 Actuals",
"Operating Profit","Operating Expenses","IT Expenses","2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","Actuals",
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals",
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","IT Expenses","2020 Actuals - Actuals",
"Operating Profit","Operating Expenses","IT Expenses","(2020 Actuals - Actuals)%",
"Operating Profit","Operating Expenses","IT Expenses","2020 Plan - 2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","(2020 Plan - 2020 Plan)%",
"Operating Profit","Operating Expenses","IT Expenses","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","IT Expenses","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","IT Expenses","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","IT Expenses","2019 Actuals",
"Operating Profit","Operating Expenses","IT Expenses","2018 Actuals",
"Operating Profit","Operating Expenses","Other Expenses","2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","Actuals",
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals",
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Other Expenses","2020 Actuals - Actuals",
"Operating Profit","Operating Expenses","Other Expenses","(2020 Actuals - Actuals)%",
"Operating Profit","Operating Expenses","Other Expenses","2020 Plan - 2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","(2020 Plan - 2020 Plan)%",
"Operating Profit","Operating Expenses","Other Expenses","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Other Expenses","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Other Expenses","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Other Expenses","2019 Actuals",
"Operating Profit","Operating Expenses","Other Expenses","2018 Actuals",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","Actuals",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Actuals - Actuals",
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Actuals - Actuals)%",
"Operating Profit","Operating Expenses","Personnel Costs","2020 Plan - 2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","(2020 Plan - 2020 Plan)%",
"Operating Profit","Operating Expenses","Personnel Costs","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Personnel Costs","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Personnel Costs","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Personnel Costs","2019 Actuals",
"Operating Profit","Operating Expenses","Personnel Costs","2018 Actuals",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","Actuals",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Actuals - Actuals",
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Actuals - Actuals)%",
"Operating Profit","Operating Expenses","Sales and Marketing","2020 Plan - 2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","(2020 Plan - 2020 Plan)%",
"Operating Profit","Operating Expenses","Sales and Marketing","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Sales and Marketing","Actuals - 2020 Plan",
"Operating Profit","Operating Expenses","Sales and Marketing","(Actuals - 2020 Plan)%",
"Operating Profit","Operating Expenses","Sales and Marketing","2019 Actuals",
"Operating Profit","Operating Expenses","Sales and Marketing","2018 Actuals",
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Plan","-3333300559.5399904"
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Plan","-3333300559.5399904"
"Operating Profit","Gross Profit","Cost of Goods Sold","Actuals","-3333300559.5399904"
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals","-10162499345.01003"
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals - 2020 Plan","-6829198785.47004"
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Actuals - 2020 Plan)%","-2.048779779526542"
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals - 2020 Plan","-6829198785.47004"
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Actuals - 2020 Plan)%","-2.048779779526542"
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Actuals - Actuals","-6829198785.47004"
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Actuals - Actuals)%","-2.048779779526542"
"Operating Profit","Gross Profit","Cost of Goods Sold","2020 Plan - 2020 Plan","0"
"Operating Profit","Gross Profit","Cost of Goods Sold","(2020 Plan - 2020 Plan)%","0"
"Operating Profit","Gross Profit","Cost of Goods Sold","Actuals - 2020 Plan","0"
"Operating Profit","Gross Profit","Cost of Goods Sold","(Actuals - 2020 Plan)%","0"
"Operating Profit","Gross Profit","Cost of Goods Sold","Actuals - 2020 Plan","0"
"Operating Profit","Gross Profit","Cost of Goods Sold","(Actuals - 2020 Plan)%","0"
"Operating Profit","Gross Profit","Cost of Goods Sold","2019 Actuals","-3425412100.7099957"
"Operating Profit","Gross Profit","Cost of Goods Sold","2018 Actuals","-3386525978.570002"
"Operating Profit","Gross Profit","Net Revenue","2020 Plan","-3350561265.7300014"
"Operating Profit","Gross Profit","Net Revenue","2020 Plan","-3350561265.7300014"
"Operating Profit","Gross Profit","Net Revenue","Actuals","6319362259.510001"
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals","6319362259.510001"
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals - 2020 Plan","9669923525.240002"
"Operating Profit","Gross Profit","Net Revenue","(2020 Actuals - 2020 Plan)%","2.886060799468227"
"Operating Profit","Gross Profit","Net Revenue","2020 Actuals - 2020 Plan","9669923525.240002"
"Operating Profit","Gross Profit","Net Revenue","(2020 Actuals - 2020 Plan)%","2.886060799468227"
