Country,Product,Month Name,Value Column Name,Value
"Canada","Paseo","Apr","Discounts","4390.65"
"Canada","Paseo","Apr","Units Sold","2337"
"Canada","Paseo","Apr","Profit","5125.35"
"Canada","Paseo","Apr","Sale Price","22"
"Canada","Paseo","Apr","Sale Price - Discounts","-4368.65"
"Canada","Paseo","Apr","(Sale Price - Discounts)%","-0.9949893523737943"
"Canada","Paseo","Apr","Sale Price - Units Sold","-2315"
"Canada","Paseo","Apr","(Sale Price - Units Sold)%","-0.9905862216516901"
"Canada","Paseo","Apr","Sale Price - Profit","-5103.35"
"Canada","Paseo","Apr","(Sale Price - Profit)%","-0.9957076102119855"
"Canada","Paseo","Apr","Units Sold - Discounts","-2053.6499999999996"
"Canada","Paseo","Apr","(Units Sold - Discounts)%","-0.4677325680707867"
"Canada","Paseo","Apr","Profit - Discounts","734.7000000000007"
"Canada","Paseo","Apr","(Profit - Discounts)%","0.16733285504424192"
"Canada","Paseo","Apr","Profit - Units Sold","2788.3500000000004"
"Canada","Paseo","Apr","(Profit - Units Sold)%","1.1931322207958923"
"Canada","Paseo","Aug","Discounts","11024.55"
"Canada","Paseo","Aug","Units Sold","4953"
"Canada","Paseo","Aug","Profit","25710.45"
"Canada","Paseo","Aug","Sale Price","35"
"Canada","Paseo","Aug","Sale Price - Discounts","-10989.55"
"Canada","Paseo","Aug","(Sale Price - Discounts)%","-0.9968252672444681"
"Canada","Paseo","Aug","Sale Price - Units Sold","-4918"
"Canada","Paseo","Aug","(Sale Price - Units Sold)%","-0.9929335756107409"
"Canada","Paseo","Aug","Sale Price - Profit","-25675.45"
"Canada","Paseo","Aug","(Sale Price - Profit)%","-0.9986386858261913"
"Canada","Paseo","Aug","Units Sold - Discounts","-6071.549999999999"
"Canada","Paseo","Aug","(Units Sold - Discounts)%","-0.550729961767147"
"Canada","Paseo","Aug","Profit - Discounts","14685.900000000001"
"Canada","Paseo","Aug","(Profit - Discounts)%","1.3321087935561997"
"Canada","Paseo","Aug","Profit - Units Sold","20757.45"
"Canada","Paseo","Aug","(Profit - Units Sold)%","4.190884312537856"
"Canada","Paseo","Dec","Discounts","41543.1"
"Canada","Paseo","Dec","Units Sold","15699"
"Canada","Paseo","Dec","Profit","393410.9"
"Canada","Paseo","Dec","Sale Price","842"
"Canada","Paseo","Dec","Sale Price - Discounts","-40701.1"
"Canada","Paseo","Dec","(Sale Price - Discounts)%","-0.9797318929015888"
"Canada","Paseo","Dec","Sale Price - Units Sold","-14857"
"Canada","Paseo","Dec","(Sale Price - Units Sold)%","-0.9463660105739219"
"Canada","Paseo","Dec","Sale Price - Profit","-392568.9"
"Canada","Paseo","Dec","(Sale Price - Profit)%","-0.997859744099617"
"Canada","Paseo","Dec","Units Sold - Discounts","-25844.1"
"Canada","Paseo","Dec","(Units Sold - Discounts)%","-0.6221033095748753"
"Canada","Paseo","Dec","Profit - Discounts","351867.80000000005"
"Canada","Paseo","Dec","(Profit - Discounts)%","8.469945670881568"
"Canada","Paseo","Dec","Profit - Units Sold","377711.9"
"Canada","Paseo","Dec","(Profit - Units Sold)%","24.05961526211861"
"Canada","Paseo","Feb","Discounts","708.9"
"Canada","Paseo","Feb","Units Sold","2655"
"Canada","Paseo","Feb","Profit","14026.1"
"Canada","Paseo","Feb","Sale Price","35"
"Canada","Paseo","Feb","Sale Price - Discounts","-673.9"
"Canada","Paseo","Feb","(Sale Price - Discounts)%","-0.9506277331076315"
"Canada","Paseo","Feb","Sale Price - Units Sold","-2620"
"Canada","Paseo","Feb","(Sale Price - Units Sold)%","-0.9868173258003766"
"Canada","Paseo","Feb","Sale Price - Profit","-13991.1"
"Canada","Paseo","Feb","(Sale Price - Profit)%","-0.9975046520415511"
"Canada","Paseo","Feb","Units Sold - Discounts","1946.1"
"Canada","Paseo","Feb","(Units Sold - Discounts)%","2.7452391028353786"
"Canada","Paseo","Feb","Profit - Discounts","13317.2"
"Canada","Paseo","Feb","(Profit - Discounts)%","18.785724361687123"
"Canada","Paseo","Feb","Profit - Units Sold","11371.1"
"Canada","Paseo","Feb","(Profit - Units Sold)%","4.282900188323917"
"Canada","Paseo","Jan","Discounts","29999.28"
"Canada","Paseo","Jan","Units Sold","5124"
"Canada","Paseo","Jan","Profit","22152.72"
"Canada","Paseo","Jan","Sale Price","307"
"Canada","Paseo","Jan","Sale Price - Discounts","-29692.28"
"Canada","Paseo","Jan","(Sale Price - Discounts)%","-0.9897664210607722"
"Canada","Paseo","Jan","Sale Price - Units Sold","-4817"
"Canada","Paseo","Jan","(Sale Price - Units Sold)%","-0.9400858704137393"
"Canada","Paseo","Jan","Sale Price - Profit","-21845.72"
"Canada","Paseo","Jan","(Sale Price - Profit)%","-0.9861416566453239"
"Canada","Paseo","Jan","Units Sold - Discounts","-24875.28"
"Canada","Paseo","Jan","(Units Sold - Discounts)%","-0.8291959007016169"
"Canada","Paseo","Jan","Profit - Discounts","-7846.559999999998"
"Canada","Paseo","Jan","(Profit - Discounts)%","-0.2615582773986575"
"Canada","Paseo","Jan","Profit - Units Sold","17028.72"
"Canada","Paseo","Jan","(Profit - Units Sold)%","3.3233255269320847"
"Canada","Paseo","Jul","Discounts","86337.57"
"Canada","Paseo","Jul","Units Sold","6130.5"
"Canada","Paseo","Jul","Profit","139301.43"
"Canada","Paseo","Jul","Sale Price","362"
"Canada","Paseo","Jul","Sale Price - Discounts","-85975.57"
"Canada","Paseo","Jul","(Sale Price - Discounts)%","-0.9958071555639103"
"Canada","Paseo","Jul","Sale Price - Units Sold","-5768.5"
"Canada","Paseo","Jul","(Sale Price - Units Sold)%","-0.9409509827909632"
"Canada","Paseo","Jul","Sale Price - Profit","-138939.43"
"Canada","Paseo","Jul","(Sale Price - Profit)%","-0.9974013188522186"
"Canada","Paseo","Jul","Units Sold - Discounts","-80207.07"
"Canada","Paseo","Jul","(Units Sold - Discounts)%","-0.9289938320015261"
"Canada","Paseo","Jul","Profit - Discounts","52963.859999999986"
"Canada","Paseo","Jul","(Profit - Discounts)%","0.6134508997647257"
"Canada","Paseo","Jul","Profit - Units Sold","133170.93"
"Canada","Paseo","Jul","(Profit - Units Sold)%","21.72268656716418"
"Canada","Paseo","Jun","Discounts","175017.75"
"Canada","Paseo","Jun","Units Sold","7827"
"Canada","Paseo","Jun","Profit","147139.25"
"Canada","Paseo","Jun","Sale Price","787"
"Canada","Paseo","Jun","Sale Price - Discounts","-174230.75"
"Canada","Paseo","Jun","(Sale Price - Discounts)%","-0.9955033132353719"
"Canada","Paseo","Jun","Sale Price - Units Sold","-7040"
"Canada","Paseo","Jun","(Sale Price - Units Sold)%","-0.8994506196499298"
"Canada","Paseo","Jun","Sale Price - Profit","-146352.25"
"Canada","Paseo","Jun","(Sale Price - Profit)%","-0.9946513251902535"
"Canada","Paseo","Jun","Units Sold - Discounts","-167190.75"
"Canada","Paseo","Jun","(Units Sold - Discounts)%","-0.9552788217195114"
"Canada","Paseo","Jun","Profit - Discounts","-27878.5"
"Canada","Paseo","Jun","(Profit - Discounts)%","-0.15928955777342585"
"Canada","Paseo","Jun","Profit - Units Sold","139312.25"
"Canada","Paseo","Jun","(Profit - Units Sold)%","17.798933180017887"
"Canada","Paseo","Mar","Discounts","13450.9"
"Canada","Paseo","Mar","Units Sold","4202"
"Canada","Paseo","Mar","Profit","19699.1"
"Canada","Paseo","Mar","Sale Price","145"
"Canada","Paseo","Mar","Sale Price - Discounts","-13305.9"
"Canada","Paseo","Mar","(Sale Price - Discounts)%","-0.9892200521898163"
"Canada","Paseo","Mar","Sale Price - Units Sold","-4057"
"Canada","Paseo","Mar","(Sale Price - Units Sold)%","-0.9654926225606854"
"Canada","Paseo","Mar","Sale Price - Profit","-19554.1"
"Canada","Paseo","Mar","(Sale Price - Profit)%","-0.9926392576310593"
"Canada","Paseo","Mar","Units Sold - Discounts","-9248.9"
"Canada","Paseo","Mar","(Units Sold - Discounts)%","-0.6876045469076417"
"Canada","Paseo","Mar","Profit - Discounts","6248.199999999999"
"Canada","Paseo","Mar","(Profit - Discounts)%","0.46451910281096426"
"Canada","Paseo","Mar","Profit - Units Sold","15497.099999999999"
"Canada","Paseo","Mar","(Profit - Units Sold)%","3.6880295097572584"
"Canada","Paseo","May","Discounts","35885.92"
"Canada","Paseo","May","Units Sold","1959"
"Canada","Paseo","May","Profit","49728.08"
"Canada","Paseo","May","Sale Price","307"
"Canada","Paseo","May","Sale Price - Discounts","-35578.92"
"Canada","Paseo","May","(Sale Price - Discounts)%","-0.9914451127350226"
"Canada","Paseo","May","Sale Price - Units Sold","-1652"
"Canada","Paseo","May","(Sale Price - Units Sold)%","-0.843287391526289"
"Canada","Paseo","May","Sale Price - Profit","-49421.08"
"Canada","Paseo","May","(Sale Price - Profit)%","-0.9938264256331634"
"Canada","Paseo","May","Units Sold - Discounts","-33926.92"
"Canada","Paseo","May","(Units Sold - Discounts)%","-0.945410344781463"
"Canada","Paseo","May","Profit - Discounts","13842.160000000003"
"Canada","Paseo","May","(Profit - Discounts)%","0.38572676971915454"
"Canada","Paseo","May","Profit - Units Sold","47769.08"
"Canada","Paseo","May","(Profit - Units Sold)%","24.38442062276672"
"Canada","Paseo","Nov","Discounts","112594.96"
"Canada","Paseo","Nov","Units Sold","7417"
"Canada","Paseo","Nov","Profit","264153.04"
"Canada","Paseo","Nov","Sale Price","1312"
"Canada","Paseo","Nov","Sale Price - Discounts","-111282.96"
"Canada","Paseo","Nov","(Sale Price - Discounts)%","-0.9883476134278123"
"Canada","Paseo","Nov","Sale Price - Units Sold","-6105"
"Canada","Paseo","Nov","(Sale Price - Units Sold)%","-0.8231090737494944"
"Canada","Paseo","Nov","Sale Price - Profit","-262841.04"
"Canada","Paseo","Nov","(Sale Price - Profit)%","-0.9950331822794847"
"Canada","Paseo","Nov","Units Sold - Discounts","-105177.96"
"Canada","Paseo","Nov","(Units Sold - Discounts)%","-0.9341267140198817"
"Canada","Paseo","Nov","Profit - Discounts","151558.07999999996"
"Canada","Paseo","Nov","(Profit - Discounts)%","1.3460467502275408"
"Canada","Paseo","Nov","Profit - Units Sold","256736.03999999998"
"Canada","Paseo","Nov","(Profit - Units Sold)%","34.61453957125522"
"Canada","Paseo","Oct","Discounts","42338.28"
"Canada","Paseo","Oct","Units Sold","12777"
"Canada","Paseo","Oct","Profit","153492.72"
"Canada","Paseo","Oct","Sale Price","569"
"Canada","Paseo","Oct","Sale Price - Discounts","-41769.28"
"Canada","Paseo","Oct","(Sale Price - Discounts)%","-0.98656062551431"
"Canada","Paseo","Oct","Sale Price - Units Sold","-12208"
"Canada","Paseo","Oct","(Sale Price - Units Sold)%","-0.9554668545041872"
"Canada","Paseo","Oct","Sale Price - Profit","-152923.72"
"Canada","Paseo","Oct","(Sale Price - Profit)%","-0.9962929837975377"
"Canada","Paseo","Oct","Units Sold - Discounts","-29561.28"
"Canada","Paseo","Oct","(Units Sold - Discounts)%","-0.6982163658986619"
"Canada","Paseo","Oct","Profit - Discounts","111154.44"
"Canada","Paseo","Oct","(Profit - Discounts)%","2.625388655372868"
"Canada","Paseo","Oct","Profit - Units Sold","140715.72"
"Canada","Paseo","Oct","(Profit - Units Sold)%","11.013204977694295"
"Canada","Paseo","Sep","Discounts","7799.15"
"Canada","Paseo","Sep","Units Sold","7111"
"Canada","Paseo","Sep","Profit","31078.85"
"Canada","Paseo","Sep","Sale Price","57"
"Canada","Paseo","Sep","Sale Price - Discounts","-7742.15"
"Canada","Paseo","Sep","(Sale Price - Discounts)%","-0.9926915112544316"
"Canada","Paseo","Sep","Sale Price - Units Sold","-7054"
"Canada","Paseo","Sep","(Sale Price - Units Sold)%","-0.9919842497539024"
"Canada","Paseo","Sep","Sale Price - Profit","-31021.85"
"Canada","Paseo","Sep","(Sale Price - Profit)%","-0.998165955304009"
"Canada","Paseo","Sep","Units Sold - Discounts","-688.1499999999996"
"Canada","Paseo","Sep","(Units Sold - Discounts)%","-0.08823397421513877"
"Canada","Paseo","Sep","Profit - Discounts","23279.699999999997"
"Canada","Paseo","Sep","(Profit - Discounts)%","2.9849022008808648"
"Canada","Paseo","Sep","Profit - Units Sold","23967.85"
"Canada","Paseo","Sep","(Profit - Units Sold)%","3.3705315708057935"
"Canada","VTT","Apr","Discounts","3302.25"
"Canada","VTT","Apr","Units Sold","943.5"
"Canada","VTT","Apr","Profit","81612.75"
"Canada","VTT","Apr","Sale Price","350"
"Canada","VTT","Apr","Sale Price - Discounts","-2952.25"
"Canada","VTT","Apr","(Sale Price - Discounts)%","-0.8940116587175411"
"Canada","VTT","Apr","Sale Price - Units Sold","-593.5"
"Canada","VTT","Apr","(Sale Price - Units Sold)%","-0.6290408055113937"
"Canada","VTT","Apr","Sale Price - Profit","-81262.75"
"Canada","VTT","Apr","(Sale Price - Profit)%","-0.9957114543989757"
"Canada","VTT","Apr","Units Sold - Discounts","-2358.75"
"Canada","VTT","Apr","(Units Sold - Discounts)%","-0.7142857142857143"
"Canada","VTT","Apr","Profit - Discounts","78310.5"
"Canada","VTT","Apr","(Profit - Discounts)%","23.714285714285715"
"Canada","VTT","Apr","Profit - Units Sold","80669.25"
"Canada","VTT","Apr","(Profit - Units Sold)%","85.5"
"Canada","VTT","Aug","Discounts","16866"
"Canada","VTT","Aug","Units Sold","1874"
"Canada","VTT","Aug","Profit","76834"
"Canada","VTT","Aug","Sale Price","300"
"Canada","VTT","Aug","Sale Price - Discounts","-16566"
"Canada","VTT","Aug","(Sale Price - Discounts)%","-0.9822127356812522"
"Canada","VTT","Aug","Sale Price - Units Sold","-1574"
"Canada","VTT","Aug","(Sale Price - Units Sold)%","-0.83991462113127"
"Canada","VTT","Aug","Sale Price - Profit","-76534"
"Canada","VTT","Aug","(Sale Price - Profit)%","-0.9960954785641774"
"Canada","VTT","Aug","Units Sold - Discounts","-14992"
"Canada","VTT","Aug","(Units Sold - Discounts)%","-0.8888888888888888"
"Canada","VTT","Aug","Profit - Discounts","59968"
"Canada","VTT","Aug","(Profit - Discounts)%","3.5555555555555554"
"Canada","VTT","Aug","Profit - Units Sold","74960"
"Canada","VTT","Aug","(Profit - Units Sold)%","40"
"Canada","VTT","Dec","Discounts","51445.68"
"Canada","VTT","Dec","Units Sold","8564"
"Canada","VTT","Dec","Profit","105333.32"
"Canada","VTT","Dec","Sale Price","452"
"Canada","VTT","Dec","Sale Price - Discounts","-50993.68"
"Canada","VTT","Dec","(Sale Price - Discounts)%","-0.991214033909164"
"Canada","VTT","Dec","Sale Price - Units Sold","-8112"
"Canada","VTT","Dec","(Sale Price - Units Sold)%","-0.9472209248014947"
"Canada","VTT","Dec","Sale Price - Profit","-104881.32"
"Canada","VTT","Dec","(Sale Price - Profit)%","-0.9957088602163114"
"Canada","VTT","Dec","Units Sold - Discounts","-42881.68"
"Canada","VTT","Dec","(Units Sold - Discounts)%","-0.8335331557479655"
"Canada","VTT","Dec","Profit - Discounts","53887.64000000001"
"Canada","VTT","Dec","(Profit - Discounts)%","1.047466764945084"
"Canada","VTT","Dec","Profit - Units Sold","96769.32"
"Canada","VTT","Dec","(Profit - Units Sold)%","11.299546940681926"
"Canada","VTT","Feb","Discounts","0"
"Canada","VTT","Feb","Units Sold","2001"
"Canada","VTT","Feb","Profit","100050"
"Canada","VTT","Feb","Sale Price","300"
"Canada","VTT","Feb","Sale Price - Discounts","300"
"Canada","VTT","Feb","(Sale Price - Discounts)%",
"Canada","VTT","Feb","Sale Price - Units Sold","-1701"
"Canada","VTT","Feb","(Sale Price - Units Sold)%","-0.8500749625187406"
"Canada","VTT","Feb","Sale Price - Profit","-99750"
"Canada","VTT","Feb","(Sale Price - Profit)%","-0.9970014992503748"
"Canada","VTT","Feb","Units Sold - Discounts","2001"
"Canada","VTT","Feb","(Units Sold - Discounts)%",
"Canada","VTT","Feb","Profit - Discounts","100050"
"Canada","VTT","Feb","(Profit - Discounts)%",
"Canada","VTT","Feb","Profit - Units Sold","98049"
"Canada","VTT","Feb","(Profit - Units Sold)%","49"
"Canada","VTT","Jan","Discounts","2725.38"
"Canada","VTT","Jan","Units Sold","3244.5"
"Canada","VTT","Jan","Profit","26475.12"
"Canada","VTT","Jan","Sale Price","12"
"Canada","VTT","Jan","Sale Price - Discounts","-2713.38"
"Canada","VTT","Jan","(Sale Price - Discounts)%","-0.9955969442793298"
"Canada","VTT","Jan","Sale Price - Units Sold","-3232.5"
"Canada","VTT","Jan","(Sale Price - Units Sold)%","-0.9963014331946369"
"Canada","VTT","Jan","Sale Price - Profit","-26463.12"
"Canada","VTT","Jan","(Sale Price - Profit)%","-0.9995467442640487"
"Canada","VTT","Jan","Units Sold - Discounts","519.1199999999999"
"Canada","VTT","Jan","(Units Sold - Discounts)%","0.19047619047619044"
"Canada","VTT","Jan","Profit - Discounts","23749.739999999998"
"Canada","VTT","Jan","(Profit - Discounts)%","8.714285714285714"
"Canada","VTT","Jan","Profit - Units Sold","23230.62"
"Canada","VTT","Jan","(Profit - Units Sold)%","7.159999999999999"
"Canada","VTT","Jul","Discounts","2596.5"
"Canada","VTT","Jul","Units Sold","865.5"
"Canada","VTT","Jul","Profit","6058.5"
"Canada","VTT","Jul","Sale Price","20"
"Canada","VTT","Jul","Sale Price - Discounts","-2576.5"
"Canada","VTT","Jul","(Sale Price - Discounts)%","-0.9922973233198537"
"Canada","VTT","Jul","Sale Price - Units Sold","-845.5"
